Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVAX","NOVAVAX INC","Health Care","Equity","3,640,661.29","1.58","3,640,661.29","13,769.00","670002401","US6700024010","BJDQXG4","264.41","United States","NASDAQ","USD","1.00","USD","-"
"SBNY","SIGNATURE BANK","Financials","Equity","2,219,991.96","0.96","2,219,991.96","12,531.00","82669G104","US82669G1040","B00JQL9","177.16","United States","NASDAQ","USD","1.00","USD","-"
"IIVI","II VI INC","Information Technology","Equity","2,152,380.38","0.93","2,152,380.38","24,509.00","902104108","US9021041085","2452698","87.82","United States","NASDAQ","USD","1.00","USD","-"
"LPLA","LPL FINANCIAL HOLDINGS INC","Financials","Equity","2,121,520.24","0.92","2,121,520.24","18,548.00","50212V100","US50212V1008","B75JX34","114.38","United States","NASDAQ","USD","1.00","USD","-"
"EWBC","EAST WEST BANCORP INC","Financials","Equity","2,095,249.32","0.91","2,095,249.32","33,116.00","27579R104","US27579R1041","2487407","63.27","United States","NASDAQ","USD","1.00","USD","-"
"LAD","LITHIA MOTORS INC CLASS A","Consumer Discretionary","Equity","2,082,585.01","0.90","2,082,585.01","6,173.00","536797103","US5367971034","2515030","337.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WEX","WEX INC","Information Technology","Equity","2,028,459.52","0.88","2,028,459.52","10,324.00","96208T104","US96208T1043","B8383P2","196.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DCI","DONALDSON INC","Industrials","Equity","1,810,372.90","0.78","1,810,372.90","29,533.00","257651109","US2576511099","2276467","61.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"STOR","STORE CAPITAL CORP","Real Estate","Equity","1,774,841.10","0.77","1,774,841.10","55,291.00","862121100","US8621211007","BSKRKJ5","32.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MIDD","MIDDLEBY CORP","Industrials","Equity","1,771,181.40","0.77","1,771,181.40","13,010.00","596278101","US5962781010","2590930","136.14","United States","NASDAQ","USD","1.00","USD","-"
"WAL","WESTERN ALLIANCE","Financials","Equity","1,707,135.93","0.74","1,707,135.93","23,589.00","957638109","US9576381092","B0CCGJ4","72.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"USFD","US FOODS HOLDING CORP","Consumer Staples","Equity","1,698,956.16","0.74","1,698,956.16","51,546.00","912008109","US9120081099","BYVFC94","32.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AGCO","AGCO CORP","Industrials","Equity","1,687,765.52","0.73","1,687,765.52","14,386.00","001084102","US0010841023","2010278","117.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FLIR","FLIR SYSTEMS INC","Information Technology","Equity","1,659,619.98","0.72","1,659,619.98","30,609.00","302445101","US3024451011","2344717","54.22","United States","NASDAQ","USD","1.00","USD","-"
"LECO","LINCOLN ELECTRIC HOLDINGS INC","Industrials","Equity","1,621,739.20","0.70","1,621,739.20","13,880.00","533900106","US5339001068","2516851","116.84","United States","NASDAQ","USD","1.00","USD","-"
"CUBE","CUBESMART REIT","Real Estate","Equity","1,617,456.75","0.70","1,617,456.75","45,575.00","229663109","US2296631094","B6SW913","35.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WWD","WOODWARD INC","Industrials","Equity","1,609,294.10","0.70","1,609,294.10","13,630.00","980745103","US9807451037","2948089","118.07","United States","NASDAQ","USD","1.00","USD","-"
"BERY","BERRY GLOBAL GROUP INC","Materials","Equity","1,595,029.21","0.69","1,595,029.21","31,159.00","08579W103","US08579W1036","B8BR3H3","51.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BC","BRUNSWICK CORP","Consumer Discretionary","Equity","1,587,320.85","0.69","1,587,320.85","18,285.00","117043109","US1170431092","2149309","86.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ITT","ITT INC","Industrials","Equity","1,576,376.22","0.68","1,576,376.22","20,166.00","45073V108","US45073V1089","BZBY209","78.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PFGC","PERFORMANCE FOOD GROUP","Consumer Staples","Equity","1,572,585.90","0.68","1,572,585.90","31,165.00","71377A103","US71377A1034","BYVYD43","50.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PACB","PACIFIC BIOSCIENCES OF CALIFORNIA","Health Care","Equity","1,566,534.51","0.68","1,566,534.51","44,447.00","69404D108","US69404D1081","B4N8MH9","35.24","United States","NASDAQ","USD","1.00","USD","-"
"PII","POLARIS INC","Consumer Discretionary","Equity","1,563,252.76","0.68","1,563,252.76","13,537.00","731068102","US7310681025","2692933","115.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"THO","THOR INDUSTRIES INC","Consumer Discretionary","Equity","1,547,697.05","0.67","1,547,697.05","13,135.00","885160101","US8851601018","2889876","117.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MAT","MATTEL INC","Consumer Discretionary","Equity","1,495,481.12","0.65","1,495,481.12","81,232.00","577081102","US5770811025","2572303","18.41","United States","NASDAQ","USD","1.00","USD","-"
"CDK","CDK GLOBAL INC","Information Technology","Equity","1,486,358.16","0.64","1,486,358.16","28,518.00","12508E101","US12508E1010","BQXTWQ5","52.12","United States","NASDAQ","USD","1.00","USD","-"
"PB","PROSPERITY BANCSHARES INC","Financials","Equity","1,484,543.60","0.64","1,484,543.60","21,688.00","743606105","US7436061052","2310257","68.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPCE","VIRGIN GALACTIC HOLDINGS INC SHS C","Industrials","Equity","1,478,435.14","0.64","1,478,435.14","30,433.00","92766K106","US92766K1060","BKWBFH2","48.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HTA","HEALTHCARE TRUST OF AMERICA REIT I","Real Estate","Equity","1,477,846.61","0.64","1,477,846.61","51,013.00","42225P501","US42225P5017","BT9QF28","28.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CLGX","CORELOGIC INC","Industrials","Equity","1,459,653.92","0.63","1,459,653.92","18,232.00","21871D103","US21871D1037","B5541Y2","80.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NTNX","NUTANIX INC CLASS A","Information Technology","Equity","1,444,524.40","0.63","1,444,524.40","44,365.00","67059N108","US67059N1081","BYQBFT8","32.56","United States","NASDAQ","USD","1.00","USD","-"
"SRCL","STERICYCLE INC","Industrials","Equity","1,426,100.32","0.62","1,426,100.32","21,368.00","858912108","US8589121081","2860826","66.74","United States","NASDAQ","USD","1.00","USD","-"
"HELE","HELEN OF TROY LTD","Consumer Discretionary","Equity","1,420,258.14","0.62","1,420,258.14","5,943.00","G4388N106","BMG4388N1065","2419530","238.98","United States","NASDAQ","USD","1.00","USD","-"
"CACI","CACI INTERNATIONAL INC CLASS A","Information Technology","Equity","1,417,280.48","0.61","1,417,280.48","5,896.00","127190304","US1271903049","2159267","240.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KRC","KILROY REALTY REIT CORP","Real Estate","Equity","1,407,974.56","0.61","1,407,974.56","24,478.00","49427F108","US49427F1084","2495529","57.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LSI","LIFE STORAGE INC","Real Estate","Equity","1,407,544.68","0.61","1,407,544.68","17,086.00","53223X107","US53223X1072","BDCSFJ6","82.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FRT","FEDERAL REALTY INVESTMENT TRUST RE","Real Estate","Equity","1,401,524.41","0.61","1,401,524.41","16,067.00","313747206","US3137472060","2333931","87.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BJ","BJS WHOLESALE CLUB HOLDINGS INC","Consumer Staples","Equity","1,396,055.57","0.60","1,396,055.57","32,641.00","05550J101","US05550J1016","BFZNZF8","42.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IRDM","IRIDIUM COMMUNICATIONS INC","Communication","Equity","1,387,776.25","0.60","1,387,776.25","27,895.00","46269C102","US46269C1027","B2QH310","49.75","United States","NASDAQ","USD","1.00","USD","-"
"SYNH","SYNEOS HEALTH INC CLASS A","Health Care","Equity","1,371,970.73","0.59","1,371,970.73","17,797.00","87166B102","US87166B1026","BFMZ4V6","77.09","United States","NASDAQ","USD","1.00","USD","-"
