Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"PLUG","PLUG POWER INC","Industrials","Equity","22,480,277.16","2.83","22,480,277.16","352,964.00","72919P202","US72919P2020","2508386","63.69","United States","NASDAQ","USD","1.00","USD","-"
"CRSP","CRISPR THERAPEUTICS AG","Health Care","Equity","9,074,897.70","1.14","9,074,897.70","49,027.00","-","CH0334081137","BDHF4K6","185.10","United States","NASDAQ","USD","1.00","USD","-"
"AAXN","AXON ENTERPRISE INC","Industrials","Equity","8,336,676.60","1.05","8,336,676.60","51,290.00","05464C101","US05464C1018","BDT5S35","162.54","United States","NASDAQ","USD","1.00","USD","-"
"MKSI","MKS INSTRUMENTS INC","Information Technology","Equity","8,234,419.20","1.04","8,234,419.20","44,520.00","55306N104","US55306N1046","2404871","184.96","United States","NASDAQ","USD","1.00","USD","-"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","7,719,411.42","0.97","7,719,411.42","297,129.00","69608A108","US69608A1088","BN78DQ4","25.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NTRA","NATERA INC","Health Care","Equity","7,520,733.22","0.95","7,520,733.22","62,678.00","632307104","US6323071042","BYQRG48","119.99","United States","NASDAQ","USD","1.00","USD","-"
"FSLY","FASTLY INC CLASS A","Information Technology","Equity","7,051,371.21","0.89","7,051,371.21","67,717.00","31188V100","US31188V1008","BJN4MY9","104.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NVTA","INVITAE CORP","Health Care","Equity","6,889,685.88","0.87","6,889,685.88","129,676.00","46185L103","US46185L1035","BVVCNT1","53.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RARE","ULTRAGENYX PHARMACEUTICAL INC","Health Care","Equity","6,680,984.91","0.84","6,680,984.91","50,199.00","90400D108","US90400D1081","BJ62Z18","133.09","United States","NASDAQ","USD","1.00","USD","-"
"ARWR","ARROWHEAD PHARMACEUTICALS INC","Health Care","Equity","6,636,458.70","0.84","6,636,458.70","82,935.00","04280A100","US04280A1007","BYQBFJ8","80.02","United States","NASDAQ","USD","1.00","USD","-"
"TWST","TWIST BIOSCIENCE CORP","Health Care","Equity","6,459,757.71","0.81","6,459,757.71","33,207.00","90184D100","US90184D1000","BGKG6G7","194.53","United States","NASDAQ","USD","1.00","USD","-"
"PFPT","PROOFPOINT INC","Information Technology","Equity","6,425,174.34","0.81","6,425,174.34","46,539.00","743424103","US7434241037","B6VDQC3","138.06","United States","NASDAQ","USD","1.00","USD","-"
