Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAL","AMERICAN AIRLINES GROUP INC","Industrials","Equity","3,744,725.49","1.14","3,744,725.49","218,097.00","02376R102","US02376R1023","BCV7KT2","17.17","United States","NASDAQ","USD","1.00","USD","-"
"DVN","DEVON ENERGY CORP","Energy","Equity","3,477,273.76","1.06","3,477,273.76","211,256.00","25179M103","US25179M1036","2480677","16.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FANG","DIAMONDBACK ENERGY INC","Energy","Equity","3,197,826.21","0.97","3,197,826.21","56,409.00","25278X109","US25278X1090","B7Y8YR3","56.69","United States","NASDAQ","USD","1.00","USD","-"
"TPR","TAPESTRY INC","Consumer Discretionary","Equity","3,132,150.72","0.95","3,132,150.72","99,056.00","876030107","US8760301072","BF09HX3","31.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NLSN","NIELSEN HOLDINGS PLC","Industrials","Equity","2,846,583.74","0.86","2,846,583.74","127,478.00","-","GB00BWFY5505","BWFY550","22.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMA","COMERICA INC","Financials","Equity","2,840,895.20","0.86","2,840,895.20","49,666.00","200340107","US2003401070","2212870","57.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BLDR","BUILDERS FIRSTSOURCE INC","Industrials","Equity","2,801,774.25","0.85","2,801,774.25","73,249.00","12008R107","US12008R1077","B0BV2M7","38.25","United States","NASDAQ","USD","1.00","USD","-"
"IVZ","INVESCO LTD","Financials","Equity","2,769,293.23","0.84","2,769,293.23","134,497.00","-","BMG491BT1088","B28XP76","20.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FHN","FIRST HORIZON CORP","Financials","Equity","2,751,678.45","0.84","2,751,678.45","198,105.00","320517105","US3205171057","2341484","13.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RHI","ROBERT HALF","Industrials","Equity","2,747,250.00","0.83","2,747,250.00","40,700.00","770323103","US7703231032","2110703","67.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JLL","JONES LANG LASALLE INC","Real Estate","Equity","2,679,590.67","0.81","2,679,590.67","18,327.00","48020Q107","US48020Q1076","2040640","146.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ARW","ARROW ELECTRONICS INC","Information Technology","Equity","2,633,666.88","0.80","2,633,666.88","26,976.00","042735100","US0427351004","2051404","97.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UTHR","UNITED THERAPEUTICS CORP","Health Care","Equity","2,599,659.58","0.79","2,599,659.58","15,869.00","91307C102","US91307C1027","2430412","163.82","United States","NASDAQ","USD","1.00","USD","-"
"ZION","ZIONS BANCORPORATION","Financials","Equity","2,585,103.24","0.79","2,585,103.24","58,566.00","989701107","US9897011071","2989828","44.14","United States","NASDAQ","USD","1.00","USD","-"
"DXC","DXC TECHNOLOGY","Information Technology","Equity","2,561,857.20","0.78","2,561,857.20","90,846.00","23355L106","US23355L1061","BYXD7B3","28.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NCLH","NORWEGIAN CRUISE LINE HOLDINGS LTD","Consumer Discretionary","Equity","2,552,836.20","0.78","2,552,836.20","112,708.00","-","BMG667211046","B9CGTC3","22.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KIM","KIMCO REALTY REIT CORP","Real Estate","Equity","2,549,771.38","0.77","2,549,771.38","154,438.00","49446R109","US49446R1095","2491594","16.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LAMR","LAMAR ADVERTISING COMPANY CLAS","Real Estate","Equity","2,493,032.36","0.76","2,493,032.36","30,862.00","512816109","US5128161099","BSPHGN6","80.78","United States","NASDAQ","USD","1.00","USD","-"
"KSS","KOHLS CORP","Consumer Discretionary","Equity","2,480,357.70","0.75","2,480,357.70","56,295.00","500255104","US5002551043","2496113","44.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"STLD","STEEL DYNAMICS INC","Materials","Equity","2,445,575.74","0.74","2,445,575.74","71,362.00","858119100","US8581191009","2849472","34.27","United States","NASDAQ","USD","1.00","USD","-"
"NNN","NATIONAL RETAIL PROPERTIES REIT IN","Real Estate","Equity","2,419,365.00","0.73","2,419,365.00","62,035.00","637417106","US6374171063","2211811","39.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SEE","SEALED AIR CORP","Materials","Equity","2,341,842.54","0.71","2,341,842.54","55,402.00","81211K100","US81211K1007","2232793","42.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CPRI","CAPRI HOLDINGS LTD","Consumer Discretionary","Equity","2,241,016.38","0.68","2,241,016.38","53,793.00","-","VGG1890L1076","BJ1N1M9","41.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TRGP","TARGA RESOURCES CORP","Energy","Equity","2,238,209.12","0.68","2,238,209.12","81,776.00","87612G101","US87612G1013","B55PZY3","27.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OSK","OSHKOSH CORP","Industrials","Equity","2,231,223.99","0.68","2,231,223.99","24,361.00","688239201","US6882392011","2663520","91.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HOG","HARLEY DAVIDSON INC","Consumer Discretionary","Equity","2,194,245.97","0.67","2,194,245.97","54,733.00","412822108","US4128221086","2411053","40.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CLF","CLEVELAND CLIFFS INC","Materials","Equity","2,186,901.08","0.66","2,186,901.08","142,562.00","185899101","US1858991011","BYVZ186","15.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PVH","PVH CORP","Consumer Discretionary","Equity","2,164,410.36","0.66","2,164,410.36","25,386.00","693656100","US6936561009","B3V9F12","85.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALK","ALASKA AIR GROUP INC","Industrials","Equity","2,156,235.14","0.65","2,156,235.14","44,158.00","011659109","US0116591092","2012605","48.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TCF","TCF FINANCIAL CORP","Financials","Equity","2,115,927.00","0.64","2,115,927.00","54,450.00","872307103","US8723071036","BK5FNZ5","38.86","United States","NASDAQ","USD","1.00","USD","-"
