Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NEE","NEXTERA ENERGY INC","Utilities","Equity","16,213,090.20","11.04","16,213,090.20","193,220.00","65339F101","US65339F1012","2328915","83.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ENEL","ENEL","Utilities","Equity","7,684,970.96","5.23","7,684,970.96","761,631.00","S71445696","IT0003128367","7144569","10.09","Italy","Borsa Italiana","USD","0.82","EUR","-"
"IBE","IBERDROLA SA","Utilities","Equity","7,439,139.82","5.07","7,439,139.82","569,150.00","-","ES0144580Y14","B288C92","13.07","Spain","Bolsa De Madrid","USD","0.82","EUR","-"
"DUK","DUKE ENERGY CORP","Utilities","Equity","6,785,941.40","4.62","6,785,941.40","72,422.00","26441C204","US26441C2044","B7VD3F2","93.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SO","SOUTHERN","Utilities","Equity","6,332,333.04","4.31","6,332,333.04","103,928.00","842587107","US8425871071","2829601","60.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"D","DOMINION ENERGY INC","Utilities","Equity","5,866,349.58","4.00","5,866,349.58","80,262.00","25746U109","US25746U1097","2542049","73.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NG.","NATIONAL GRID PLC","Utilities","Equity","4,411,661.21","3.01","4,411,661.21","372,686.00","-","GB00BDR05C01","BDR05C0","11.84","United Kingdom","London Stock Exchange","USD","0.72","GBP","-"
"EXC","EXELON CORP","Utilities","Equity","4,153,001.76","2.83","4,153,001.76","95,868.00","30161N101","US30161N1019","2670519","43.32","United States","NASDAQ","USD","1.00","USD","-"
"AEP","AMERICAN ELECTRIC POWER INC","Utilities","Equity","3,908,328.48","2.66","3,908,328.48","48,848.00","025537101","US0255371017","2026242","80.01","United States","NASDAQ","USD","1.00","USD","-"
"SRE","SEMPRA ENERGY","Utilities","Equity","3,602,540.00","2.45","3,602,540.00","28,400.00","816851109","US8168511090","2138158","126.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XEL","XCEL ENERGY INC","Utilities","Equity","3,221,557.56","2.19","3,221,557.56","51,727.00","98389B100","US98389B1008","2614807","62.28","United States","NASDAQ","USD","1.00","USD","-"
"AWK","AMERICAN WATER WORKS INC","Utilities","Equity","2,965,096.71","2.02","2,965,096.71","17,991.00","030420103","US0304201033","B2R3PV1","164.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ORSTED","ORSTED","Utilities","Equity","2,957,054.74","2.01","2,957,054.74","17,836.00","-","DK0060094928","BYT16L4","165.79","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.13","DKK","-"
"ES","EVERSOURCE ENERGY","Utilities","Equity","2,945,973.39","2.01","2,945,973.39","33,757.00","30040W108","US30040W1080","BVVN4Q8","87.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PEG","PUBLIC SERVICE ENTERPRISE GROUP IN","Utilities","Equity","2,933,260.55","2.00","2,933,260.55","49,843.00","744573106","US7445731067","2707677","58.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ENGI","ENGIE SA","Utilities","Equity","2,780,579.22","1.89","2,780,579.22","174,712.00","-","FR0010208488","B0C2CQ3","15.92","France","Nyse Euronext - Euronext Paris","USD","0.82","EUR","-"
"RWE","RWE AG","Utilities","Equity","2,762,709.24","1.88","2,762,709.24","66,985.00","S47689625","DE0007037129","4768962","41.24","Germany","Xetra","USD","0.82","EUR","-"
"WEC","WEC ENERGY GROUP INC","Utilities","Equity","2,666,626.83","1.82","2,666,626.83","31,047.00","92939U106","US92939U1060","BYY8XK8","85.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ED","CONSOLIDATED EDISON INC","Utilities","Equity","2,434,677.70","1.66","2,434,677.70","33,670.00","209115104","US2091151041","2216850","72.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EOAN","E.ON N","Utilities","Equity","2,350,934.83","1.60","2,350,934.83","220,884.00","S49429046","DE000ENAG999","4942904","10.64","Germany","Xetra","USD","0.82","EUR","-"
"DTE","DTE ENERGY","Utilities","Equity","2,333,011.68","1.59","2,333,011.68","19,098.00","233331107","US2333311072","2280220","122.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EIX","EDISON INTERNATIONAL","Utilities","Equity","2,173,511.55","1.48","2,173,511.55","37,135.00","281020107","US2810201077","2829515","58.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PPL","PPL CORP","Utilities","Equity","2,124,254.24","1.45","2,124,254.24","75,704.00","69351T106","US69351T1060","2680905","28.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SSE","SSE PLC","Utilities","Equity","2,064,954.06","1.41","2,064,954.06","103,575.00","S07908734","GB0007908733","0790873","19.94","United Kingdom","London Stock Exchange","USD","0.72","GBP","-"
"ETR","ENTERGY CORP","Utilities","Equity","1,897,061.59","1.29","1,897,061.59","19,759.00","29364G103","US29364G1031","2317087","96.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FTS","FORTIS INC","Utilities","Equity","1,883,658.02","1.28","1,883,658.02","46,110.00","349553107","CA3495531079","2347200","40.85","Canada","Toronto Stock Exchange","USD","1.27","CAD","-"
"AES","AES CORP","Utilities","Equity","1,832,310.88","1.25","1,832,310.88","66,292.00","00130H105","US00130H1059","2002479","27.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AEE","AMEREN CORP","Utilities","Equity","1,787,456.16","1.22","1,787,456.16","24,339.00","023608102","US0236081024","2050832","73.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FE","FIRSTENERGY CORP","Utilities","Equity","1,692,783.00","1.15","1,692,783.00","53,316.00","337932107","US3379321074","2100920","31.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EDP","EDP ENERGIAS DE PORTUGAL SA","Utilities","Equity","1,673,793.93","1.14","1,673,793.93","279,656.00","S41035965","PTEDP0AM0009","4103596","5.99","Portugal","Nyse Euronext - Euronext Lisbon","USD","0.82","EUR","-"
"CMS","CMS ENERGY CORP","Utilities","Equity","1,599,903.79","1.09","1,599,903.79","28,103.00","125896100","US1258961002","2219224","56.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BIP.UN","BROOKFIELD INFRASTRUCTURE PARTNERS","Utilities","Equity","1,545,199.94","1.05","1,545,199.94","29,347.00","-","BMG162521014","B2NR6V4","52.65","Bermuda","Toronto Stock Exchange","USD","1.27","CAD","-"
"2","CLP HOLDINGS LTD","Utilities","Equity","1,480,834.60","1.01","1,480,834.60","159,000.00","S60970175","HK0002007356","6097017","9.31","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"3","HONG KONG AND CHINA GAS LTD","Utilities","Equity","1,468,132.88","1.00","1,468,132.88","1,044,159.00","S64365570","HK0003000038","6436557","1.41","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"VIE","VEOLIA ENVIRON. SA","Utilities","Equity","1,428,309.90","0.97","1,428,309.90","52,848.00","S40318792","FR0000124141","4031879","27.03","France","Nyse Euronext - Euronext Paris","USD","0.82","EUR","-"
"EVRG","EVERGY INC","Utilities","Equity","1,235,742.20","0.84","1,235,742.20","22,330.00","30034W106","US30034W1062","BFMXGR0","55.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LNT","ALLIANT ENERGY CORP","Utilities","Equity","1,205,208.32","0.82","1,205,208.32","24,536.00","018802108","US0188021085","2973821","49.12","United States","NASDAQ","USD","1.00","USD","-"
"CNP","CENTERPOINT ENERGY INC","Utilities","Equity","1,154,891.36","0.79","1,154,891.36","53,816.00","15189T107","US15189T1079","2440637","21.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FORTUM","FORTUM","Utilities","Equity","1,139,267.45","0.78","1,139,267.45","43,280.00","S55795504","FI0009007132","5579550","26.32","Finland","Nasdaq Omx Helsinki Ltd.","USD","0.82","EUR","-"
"ATO","ATMOS ENERGY CORP","Utilities","Equity","1,136,919.30","0.77","1,136,919.30","12,378.00","049560105","US0495601058","2315359","91.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SRG","SNAM","Utilities","Equity","1,134,092.93","0.77","1,134,092.93","210,045.00","S72514706","IT0003153415","7251470","5.40","Italy","Borsa Italiana","USD","0.82","EUR","-"
"NRG","NRG ENERGY INC","Utilities","Equity","1,051,022.76","0.72","1,051,022.76","24,397.00","629377508","US6293775085","2212922","43.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AQN","ALGONQUIN POWER UTILITIES CORP","Utilities","Equity","1,043,230.93","0.71","1,043,230.93","59,583.00","015857105","CA0158571053","B51BMR7","17.51","Canada","Toronto Stock Exchange","USD","1.27","CAD","-"
"EMA","EMERA INC","Utilities","Equity","1,025,131.41","0.70","1,025,131.41","25,099.00","290876101","CA2908761018","2650050","40.84","Canada","Toronto Stock Exchange","USD","1.27","CAD","-"
"TRN","TERNA RETE ELETTRICA NAZIONALE","Utilities","Equity","1,024,307.91","0.70","1,024,307.91","137,975.00","-","IT0003242622","B01BN57","7.42","Italy","Borsa Italiana","USD","0.82","EUR","-"
"9502","CHUBU ELECTRIC POWER INC","Utilities","Equity","912,643.19","0.62","912,643.19","70,600.00","S61956090","JP3526600006","6195609","12.93","Japan","Tokyo Stock Exchange","USD","104.67","JPY","-"
"APA","APA GROUP UNITS","Utilities","Equity","869,704.34","0.59","869,704.34","118,628.00","S62473061","AU000000APA1","6247306","7.33","Australia","Asx - All Markets","USD","1.29","AUD","-"
"UU.","UNITED UTILITIES GROUP PLC","Utilities","Equity","862,855.10","0.59","862,855.10","67,683.00","-","GB00B39J2M42","B39J2M4","12.75","United Kingdom","London Stock Exchange","USD","0.72","GBP","-"
"9503","KANSAI ELECTRIC POWER INC","Utilities","Equity","855,766.49","0.58","855,766.49","82,400.00","S64834898","JP3228600007","6483489","10.39","Japan","Tokyo Stock Exchange","USD","104.67","JPY","-"
"PNW","PINNACLE WEST CORP","Utilities","Equity","850,325.12","0.58","850,325.12","11,026.00","723484101","US7234841010","2048804","77.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NI","NISOURCE INC","Utilities","Equity","840,378.00","0.57","840,378.00","37,400.00","65473P105","US65473P1057","2645409","22.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SEV","SUEZ SA","Utilities","Equity","837,819.86","0.57","837,819.86","40,343.00","-","FR0010613471","B3B8D04","20.77","France","Nyse Euronext - Euronext Paris","USD","0.82","EUR","-"
"9531","TOKYO GAS LTD","Utilities","Equity","836,067.45","0.57","836,067.45","37,800.00","S68954486","JP3573000001","6895448","22.12","Japan","Tokyo Stock Exchange","USD","104.67","JPY","-"
"ELE","ENDESA SA","Utilities","Equity","818,072.02","0.56","818,072.02","31,193.00","S52717824","ES0130670112","5271782","26.23","Spain","Bolsa De Madrid","USD","0.82","EUR","-"
"NTGY","NATURGY ENERGY SA","Utilities","Equity","816,263.02","0.56","816,263.02","33,279.00","S56504228","ES0116870314","5650422","24.53","Spain","Bolsa De Madrid","USD","0.82","EUR","-"
"REE","RED ELECTRICA SA","Utilities","Equity","786,799.00","0.54","786,799.00","43,313.00","-","ES0173093024","BD6FXN3","18.17","Spain","Bolsa De Madrid","USD","0.82","EUR","-"
"9532","OSAKA GAS LTD","Utilities","Equity","779,299.67","0.53","779,299.67","40,600.00","S66617689","JP3180400008","6661768","19.19","Japan","Tokyo Stock Exchange","USD","104.67","JPY","-"
"SVT","SEVERN TRENT PLC","Utilities","Equity","768,367.28","0.52","768,367.28","24,161.00","-","GB00B1FH8J72","B1FH8J7","31.80","United Kingdom","London Stock Exchange","USD","0.72","GBP","-"
"ENG","ENAGAS SA","Utilities","Equity","545,852.91","0.37","545,852.91","25,430.00","S73830721","ES0130960018","7383072","21.46","Spain","Bolsa De Madrid","USD","0.82","EUR","-"
"AGL","AGL ENERGY LTD","Utilities","Equity","540,024.40","0.37","540,024.40","62,571.00","-","AU000000AGL7","BSS7GP5","8.63","Australia","Asx - All Markets","USD","1.29","AUD","-"
"EDF","ELECTRICITE DE FRANCE SA","Utilities","Equity","514,046.19","0.35","514,046.19","39,940.00","-","FR0010242511","B0NJJ17","12.87","France","Nyse Euronext - Euronext Paris","USD","0.82","EUR","-"
"ENIA","ENEL AMERICAS ADR REPRESENTING SA","Utilities","Equity","462,551.38","0.32","462,551.38","58,774.00","29274F104","US29274F1049","2314947","7.87","Chile","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CNA","CENTRICA PLC","Utilities","Equity","426,713.79","0.29","426,713.79","570,544.00","-","GB00B033F229","B033F22","0.75","United Kingdom","London Stock Exchange","USD","0.72","GBP","-"
"ENIC","ENEL CHILE ADR REPRESENTING SA","Utilities","Equity","232,670.80","0.16","232,670.80","58,460.00","29278D105","US29278D1054","BYYHKR1","3.98","Chile","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IENOVA*","INFRAESTRUCTURA ENERGETICA NOVA","Utilities","Equity","200,440.77","0.14","200,440.77","51,603.00","-","MX01IE060002","B84XBP2","3.88","Mexico","Bolsa Mexicana De Valores","USD","20.03","MXN","-"
"EUR","EUR CASH","Cash and/or Derivatives","Cash","133,354.66","0.09","133,354.66","109,933.00","-","-","-","121.30","European Union","-","USD","0.82","EUR","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","120,125.42","0.08","120,125.42","120,125.00","-","-","-","100.00","United States","-","USD","1.00","USD","-"
"GBP","GBP CASH","Cash and/or Derivatives","Cash","52,037.65","0.04","52,037.65","37,586.00","-","-","-","138.45","United Kingdom","-","USD","0.72","GBP","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","48,000.00","0.03","48,000.00","48,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","USD","-"
"AUD","AUD CASH","Cash and/or Derivatives","Cash","39,253.96","0.03","39,253.96","50,758.00","-","-","-","77.33","Australia","-","USD","1.29","AUD","-"
"SGAFT","CASH COLLATERAL USD SGAFT","Cash and/or Derivatives","Cash Collateral and Margins","38,000.00","0.03","38,000.00","38,000.00","-","-","-","100.00","United States","-","USD","1.00","USD","Sep 01, 2016"
"CAD","CAD CASH","Cash and/or Derivatives","Cash","33,337.37","0.02","33,337.37","42,288.00","-","-","-","78.83","Canada","-","USD","1.27","CAD","-"
"DKK","DKK CASH","Cash and/or Derivatives","Cash","21,200.86","0.01","21,200.86","129,987.00","-","-","-","16.31","Denmark","-","USD","6.13","DKK","-"
"JPY","JPY CASH","Cash and/or Derivatives","Cash","6,439.85","0.00","6,439.85","674,027.00","-","-","-","0.96","Japan","-","USD","104.67","JPY","-"
"MXN","MXN CASH","Cash and/or Derivatives","Cash","3,602.50","0.00","3,602.50","72,165.00","-","-","-","4.99","Mexico","-","USD","20.03","MXN","-"
"HKD","HKD CASH","Cash and/or Derivatives","Cash","3,469.14","0.00","3,469.14","26,894.00","-","-","-","12.90","Hong Kong","-","USD","7.75","HKD","-"
"IXSH1","E-MINI UTILITIES SELECT SECTOR MAR","Cash and/or Derivatives","Futures","0.00","0.00","446,810.00","7.00","-","-","-","638.30","-","Chicago Mercantile Exchange","USD","1.00","USD","-"
"MARGIN_EUR","FUTURES EUR MARGIN BALANCE","Cash and/or Derivatives","Cash Collateral and Margins","-10.04","0.00","-10.04","-8.00","-","-","-","121.30","European Union","-","USD","0.82","EUR","Jan 01, 2000"
