Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"2010","SAUDI BASIC INDUSTRIES","Materials","Equity","64,886,903.75","10.18","64,886,903.75","2,458,591.00","-","SA0007879121","B1324D0","26.39","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"1120","AL RAJHI BANK","Financials","Equity","64,173,616.89","10.07","64,173,616.89","3,357,390.00","-","SA0007879113","B12LZH9","19.11","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"2222","SAUDI ARABIAN OIL","Energy","Equity","51,030,064.91","8.01","51,030,064.91","5,630,042.00","-","SA14TG012N13","BJTM270","9.06","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"7010","SAUDI TELECOM","Communication","Equity","46,615,338.02","7.32","46,615,338.02","1,578,169.00","-","SA0007879543","B12M7Q5","29.54","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"1180","NATIONAL COMMERCIAL BANK","Financials","Equity","43,501,380.22","6.83","43,501,380.22","3,857,688.00","-","SA13L050IE10","BSHYYN1","11.28","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"1090","SAMBA FINANCIAL","Financials","Equity","25,464,474.21","4.00","25,464,474.21","3,189,351.00","-","SA0007879097","B12LZX5","7.98","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"1010","RIYAD BANK","Financials","Equity","23,135,876.63","3.63","23,135,876.63","4,241,747.00","-","SA0007879048","B12LZW4","5.45","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"1060","SAUDI BRITISH BANK","Financials","Equity","17,542,212.19","2.75","17,542,212.19","2,626,885.00","-","SA0007879089","B12LSY7","6.68","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"5110","SAUDI ELECTRICITY","Utilities","Equity","16,223,702.65","2.55","16,223,702.65","2,820,090.00","-","SA0007879550","B132NM2","5.75","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"1050","BANQUE SAUDI FRANSI","Financials","Equity","16,218,946.46","2.55","16,218,946.46","1,962,571.00","-","SA0007879782","B12LZT1","8.26","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"1211","SAUDI ARABIAN MINING","Materials","Equity","15,939,222.65","2.50","15,939,222.65","1,452,987.00","-","SA123GA0ITH7","B3C8VY3","10.97","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"1150","ALINMA BANK","Financials","Equity","14,207,216.16","2.23","14,207,216.16","3,310,149.00","-","SA122050HV19","B39NWT3","4.29","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"2280","ALMARAI","Consumer Staples","Equity","11,700,796.16","1.84","11,700,796.16","852,261.00","-","SA000A0ETHT1","B137VV2","13.73","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"1080","ARAB NATIONAL BANK","Financials","Equity","10,364,587.67","1.63","10,364,587.67","1,940,076.00","-","SA0007879105","B12LZK2","5.34","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"7020","ETIHAD ETISALAT","Communication","Equity","9,796,941.43","1.54","9,796,941.43","1,305,499.00","-","SA000A0DM9P2","B12LR51","7.50","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"4190","JARIR MARKETING","Consumer Discretionary","Equity","9,444,055.82","1.48","9,444,055.82","207,170.00","-","SA000A0BLA62","B128FM5","45.59","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"2050","SAVOLA GROUP","Consumer Staples","Equity","9,154,843.29","1.44","9,154,843.29","902,528.00","-","SA0007879162","B133RS9","10.14","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"1140","BANK ALBILAD","Financials","Equity","9,082,419.98","1.43","9,082,419.98","1,295,419.00","-","SA000A0D9HK3","B12LZP7","7.01","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"2020","SABIC AGRI-NUTRIENTS","Materials","Equity","7,620,396.44","1.20","7,620,396.44","308,363.00","-","SA0007879139","B1323K0","24.71","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"4002","AL MOUWASAT MEDICAL SERVICES","Health Care","Equity","7,151,079.32","1.12","7,151,079.32","188,112.00","-","SA12C051UH11","B403QG4","38.02","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"2330","ADVANCED PETROCHEMICAL","Materials","Equity","6,622,306.65","1.04","6,622,306.65","393,058.00","-","SA000A0LE310","B1P6WF8","16.85","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"2310","SAHARA INTERNATIONAL PETROCHEMICAL","Materials","Equity","6,419,481.79","1.01","6,419,481.79","1,330,411.00","-","SA000A0KFKK0","B1C1NH5","4.83","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"8210","BUPA ARABIA","Financials","Equity","6,181,271.08","0.97","6,181,271.08","201,625.00","-","SA1210540914","B2RLCR0","30.66","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"2290","YANBU NATIONAL PETROCHEMICALS","Materials","Equity","5,795,079.64","0.91","5,795,079.64","345,051.00","-","SA000A0HNF36","B128CF7","16.79","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"7030","MOBILE TELECOMMUNICATIONS","Communication","Equity","5,759,702.66","0.90","5,759,702.66","1,631,836.00","-","SA121053DR18","B2QG180","3.53","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"3050","SOUTHERN PROVINCE CEMENT","Materials","Equity","5,611,281.34","0.88","5,611,281.34","244,753.00","-","SA0007879501","B131QN1","22.93","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"2250","SAUDI INDUSTRIAL INVESTMENT GROUP","Materials","Equity","5,546,720.38","0.87","5,546,720.38","837,624.00","-","SA000A0B89Q3","B132Y63","6.62","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"4001","ABDULLAH AL OTHAIM MARKETS","Consumer Staples","Equity","5,395,454.19","0.85","5,395,454.19","164,546.00","-","SA1230K1UGH7","B3BQB93","32.79","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"1020","BANK ALJAZIRA","Financials","Equity","5,201,920.36","0.82","5,201,920.36","1,507,974.00","-","SA0007879055","B12LZQ8","3.45","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
