Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NBK","NATIONAL BANK OF KUWAIT","Financials","Equity","3,399,557.13","22.29","3,399,557.13","1,212,842.00","S68895267","KW0EQ0100010","6889526","2.80","Kuwait","Kuwait Stock Exchange","USD","0.30","KWD","-"
"KFH","KUWAIT FINANCE HOUSE","Financials","Equity","2,448,913.15","16.06","2,448,913.15","1,063,944.00","S65031387","KW0EQ0100085","6503138","2.30","Kuwait","Kuwait Stock Exchange","USD","0.30","KWD","-"
"AUB","AHLI UNITED BANK","Financials","Equity","830,509.36","5.45","830,509.36","1,129,381.00","-","BH0005508765","B17M2Q5","0.74","Bahrain","Kuwait Stock Exchange","USD","0.30","KWD","-"
"AGLTY","THE PUBLIC WAREHOUSING (AGILITY)","Industrials","Equity","735,090.26","4.82","735,090.26","301,238.00","S68903020","KW0EQ0601041","6890302","2.44","Kuwait","Kuwait Stock Exchange","USD","0.30","KWD","-"
"ZAIN","MOBILE TEL","Communication","Equity","676,868.26","4.44","676,868.26","325,810.00","S66000845","KW0EQ0601058","6600084","2.08","Kuwait","Kuwait Stock Exchange","USD","0.30","KWD","-"
"MABANEE","MABANEE COMPANY","Real Estate","Equity","626,876.70","4.11","626,876.70","266,247.00","-","KW0EQ0400725","B00PQY0","2.35","Kuwait","Kuwait Stock Exchange","USD","0.30","KWD","-"
"HUMANSOFT","HUMAN SOFT","Consumer Discretionary","Equity","584,682.74","3.83","584,682.74","48,312.00","-","KW0EQ0601694","B13BYX7","12.10","Kuwait","Kuwait Stock Exchange","USD","0.30","KWD","-"
"GBK","GULF BANK","Financials","Equity","538,351.06","3.53","538,351.06","752,327.00","S68895150","KW0EQ0100028","6889515","0.72","Kuwait","Kuwait Stock Exchange","USD","0.30","KWD","-"
"NIND","NATIONAL INDUSTRIES GROUP HOLDING","Industrials","Equity","416,682.47","2.73","416,682.47","694,280.00","S68902949","KW0EQ0500813","6890294","0.60","Kuwait","Kuwait Stock Exchange","USD","0.30","KWD","-"
"WARBABANK","WARBABANK","Financials","Equity","398,039.98","2.61","398,039.98","515,836.00","-","KW0EQB010944","BDD2531","0.77","Kuwait","Kuwait Stock Exchange","USD","0.30","KWD","-"
