Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NESN","NESTLE SA","Consumer Staples","Equity","44,333,355.28","8.59","44,333,355.28","398,960.00","S71238703","CH0038863350","7123870","111.12","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","44,206,251.21","8.57","44,206,251.21","343,563.00","742718109","US7427181091","2704407","128.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","23,346,326.50","4.53","23,346,326.50","469,745.00","191216100","US1912161007","2206657","49.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","22,972,599.90","4.45","22,972,599.90","157,530.00","931142103","US9311421039","2936921","145.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","22,444,094.76","4.35","22,444,094.76","62,421.00","22160K105","US22160K1051","2701271","359.56","United States","NASDAQ","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","22,382,207.60","4.34","22,382,207.60","160,331.00","713448108","US7134481081","2681511","139.60","United States","NASDAQ","USD","1.00","USD","-"
"ULVR","UNILEVER PLC","Consumer Staples","Equity","20,634,446.81","4.00","20,634,446.81","378,654.00","-","GB00B10RZP78","B10RZP7","54.49","United Kingdom","London Stock Exchange","USD","0.72","GBP","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","19,213,573.77","3.72","19,213,573.77","224,379.00","718172109","US7181721090","B2PKRQ3","85.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DGE","DIAGEO PLC","Consumer Staples","Equity","13,953,536.36","2.71","13,953,536.36","335,908.00","S02374007","GB0002374006","0237400","41.54","United Kingdom","London Stock Exchange","USD","0.72","GBP","Jan 01, 1998"
"OR","LOREAL SA","Consumer Staples","Equity","13,131,198.47","2.55","13,131,198.47","34,701.00","S40578080","FR0000120321","4057808","378.41","France","Nyse Euronext - Euronext Paris","USD","0.83","EUR","-"
