Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","46,714,852.41","5.51","46,714,852.41","2,175,000.00","S68891068","TW0002330008","6889106","21.48","Taiwan","Taiwan Stock Exchange","USD","27.98","TWD","Nov 10, 1994"
"700","TENCENT HOLDINGS LTD","Communication","Equity","41,534,279.97","4.90","41,534,279.97","499,300.00","-","KYG875721634","BMMV2K8","83.19","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"BABA","ALIBABA GROUP HOLDING ADR REPRESEN","Consumer Discretionary","Equity","36,115,343.32","4.26","36,115,343.32","148,342.00","01609W102","US01609W1027","BP41ZD1","243.46","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"3690","MEITUAN","Consumer Discretionary","Equity","35,553,034.64","4.19","35,553,034.64","896,200.00","-","KYG596691041","BGJW376","39.67","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"NPN","NASPERS LIMITED N LTD","Consumer Discretionary","Equity","23,950,121.23","2.82","23,950,121.23","108,392.00","S66226911","ZAE000015889","6622691","220.96","South Africa","Johannesburg Stock Exchange","USD","15.23","ZAR","-"
"939","CHINA CONSTRUCTION BANK CORP H","Financials","Equity","19,094,413.06","2.25","19,094,413.06","23,957,000.00","-","CNE1000002H1","B0LMTQ3","0.80","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","18,820,234.52","2.22","18,820,234.52","709,784.00","S60996261","INE002A01018","6099626","26.52","India","National Stock Exchange Of India","USD","73.07","INR","-"
"NIO","NIO AMERICAN DEPOSITARY SHARES REP","Consumer Discretionary","Equity","17,957,051.21","2.12","17,957,051.21","319,123.00","62914V106","US62914V1061","BFZX9H8","56.27","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INFY","INFOSYS LTD","Information Technology","Equity","15,612,215.49","1.84","15,612,215.49","848,184.00","S62051222","INE009A01021","6205122","18.41","India","National Stock Exchange Of India","USD","73.07","INR","-"
"HDFC","HOUSING DEVELOPMENT FINANCE CORPOR","Financials","Equity","15,273,886.40","1.80","15,273,886.40","423,908.00","S61719001","INE001A01036","6171900","36.03","India","National Stock Exchange Of India","USD","73.07","INR","-"
