Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Information Technology","Equity","43,033,951.68","4.83","43,033,951.68","302,928.00","037833100","US0378331005","2046251","142.06","United States","NASDAQ","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","25,647,852.46","2.88","25,647,852.46","478,594.00","458140100","US4581401001","2463247","53.59","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","25,111,743.80","2.82","25,111,743.80","107,822.00","594918104","US5949181045","2588173","232.90","United States","NASDAQ","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","21,635,231.16","2.43","21,635,231.16","288,124.00","595112103","US5951121038","2588184","75.09","United States","NASDAQ","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","21,293,066.72","2.39","21,293,066.72","148,033.00","931142103","US9311421039","2936921","143.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TGT","TARGET CORP","Consumer Discretionary","Equity","20,046,872.88","2.25","20,046,872.88","112,446.00","87612E106","US87612E1064","2259101","178.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","18,416,008.26","2.07","18,416,008.26","5,697.00","023135106","US0231351067","2000019","3,232.58","United States","NASDAQ","USD","1.00","USD","-"
"ATVI","ACTIVISION BLIZZARD INC","Communication","Equity","17,749,605.92","1.99","17,749,605.92","200,176.00","00507V109","US00507V1098","2575818","88.67","United States","NASDAQ","USD","1.00","USD","-"
"ANTM","ANTHEM INC","Health Care","Equity","16,829,860.00","1.89","16,829,860.00","58,000.00","036752103","US0367521038","BSPHGL4","290.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"REGN","REGENERON PHARMACEUTICALS INC","Health Care","Equity","13,977,862.72","1.57","13,977,862.72","27,112.00","75886F107","US75886F1075","2730190","515.56","United States","NASDAQ","USD","1.00","USD","-"
