Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"700","TENCENT HOLDINGS LTD","Communication","Equity","1,183,489,874.89","15.75","1,183,489,874.89","12,121,000.00","-","KYG875721634","BMMV2K8","97.64","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"BABA","ALIBABA GROUP HOLDING ADR REPRESEN","Consumer Discretionary","Equity","1,070,019,768.95","14.24","1,070,019,768.95","3,994,847.00","01609W102","US01609W1027","BP41ZD1","267.85","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"3690","MEITUAN","Consumer Discretionary","Equity","437,624,467.95","5.82","437,624,467.95","7,624,500.00","-","KYG596691041","BGJW376","57.40","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"JD","JD.COM ADR REPRESENTING INC","Consumer Discretionary","Equity","181,531,231.75","2.42","181,531,231.75","1,827,925.00","47215P106","US47215P1066","BMM27D9","99.31","China","NASDAQ","USD","1.00","USD","-"
"BIDU","BAIDU ADR REPTG INC CLASS A","Communication","Equity","180,147,776.00","2.40","180,147,776.00","575,552.00","056752108","US0567521085","B0FXT17","313.00","China","NASDAQ","USD","1.00","USD","-"
"939","CHINA CONSTRUCTION BANK CORP H","Financials","Equity","162,751,417.52","2.17","162,751,417.52","202,538,000.00","-","CNE1000002H1","B0LMTQ3","0.80","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"NIO","NIO AMERICAN DEPOSITARY SHARES REP","Consumer Discretionary","Equity","162,077,750.10","2.16","162,077,750.10","2,708,066.00","62914V106","US62914V1061","BFZX9H8","59.85","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PDD","PINDUODUO ADR REPRESENTING INC","Consumer Discretionary","Equity","157,884,181.26","2.10","157,884,181.26","803,114.00","722304102","US7223041028","BYVW0F7","196.59","China","NASDAQ","USD","1.00","USD","-"
"2318","PING AN INSURANCE (GROUP) CO OF CH","Financials","Equity","144,921,656.13","1.93","144,921,656.13","12,512,000.00","-","CNE1000003X6","B01FLR7","11.58","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"NTES","NETEASE ADR INC","Communication","Equity","115,715,980.80","1.54","115,715,980.80","875,840.00","64110W102","US64110W1027","2606440","132.12","China","NASDAQ","USD","1.00","USD","-"
"1810","XIAOMI CORP","Information Technology","Equity","109,208,675.35","1.45","109,208,675.35","30,185,200.00","-","KYG9830T1067","BG0ZMJ9","3.62","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
