Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"LIN","LINDE PLC","Materials","Equity","42,068,743.11","5.70","42,068,743.11","155,943.00","G5494J103","IE00BZ12WP82","BZ12WP8","269.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BHP","BHP GROUP LTD","Materials","Equity","30,058,183.73","4.07","30,058,183.73","878,643.00","S61446902","AU000000BHP4","6144690","34.21","Australia","Asx - All Markets","USD","1.31","AUD","Jan 02, 1985"
"RIO","RIO TINTO PLC","Materials","Equity","23,967,177.61","3.25","23,967,177.61","322,160.00","S07188758","GB0007188757","0718875","74.40","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"AI","LAIR LIQUIDE SOCIETE ANONYME POUR","Materials","Equity","22,753,083.89","3.08","22,753,083.89","141,312.00","-","FR0000120073","B1YXBJ7","161.01","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"BAS","BASF N","Materials","Equity","22,685,740.52","3.07","22,685,740.52","274,016.00","S50865773","DE000BASF111","5086577","82.79","Germany","Xetra","USD","0.85","EUR","-"
"4063","SHIN ETSU CHEMICAL LTD","Materials","Equity","19,601,029.27","2.66","19,601,029.27","118,100.00","S68045855","JP3371200001","6804585","165.97","Japan","Tokyo Stock Exchange","USD","108.82","JPY","-"
"APD","AIR PRODUCTS AND CHEMICALS INC","Materials","Equity","18,359,780.40","2.49","18,359,780.40","66,040.00","009158106","US0091581068","2011602","278.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BHP","BHP GROUP PLC","Materials","Equity","17,796,315.68","2.41","17,796,315.68","630,383.00","-","GB00BH0P3Z91","BH0P3Z9","28.23","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"SHW","SHERWIN WILLIAMS","Materials","Equity","17,433,187.10","2.36","17,433,187.10","24,074.00","824348106","US8243481061","2804211","724.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VALE","VALE ADR REPRESENTING ONE SA","Materials","Equity","17,075,422.17","2.31","17,075,422.17","1,023,093.00","91912E105","US91912E1055","2857334","16.69","Brazil","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AAL","ANGLO AMERICAN PLC","Materials","Equity","15,503,406.83","2.10","15,503,406.83","406,002.00","-","GB00B1XZS820","B1XZS82","38.19","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"ECL","ECOLAB INC","Materials","Equity","15,478,155.00","2.10","15,478,155.00","74,250.00","278865100","US2788651006","2304227","208.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NEM","NEWMONT","Materials","Equity","14,428,128.15","1.96","14,428,128.15","238,995.00","651639106","US6516391066","2636607","60.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DOW","DOW INC","Materials","Equity","13,778,339.52","1.87","13,778,339.52","222,088.00","260557103","US2605571031","BHXCF84","62.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FCX","FREEPORT MCMORAN INC","Materials","Equity","13,746,051.04","1.86","13,746,051.04","434,864.00","35671D857","US35671D8570","2352118","31.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GLEN","GLENCORE PLC","Materials","Equity","12,472,252.17","1.69","12,472,252.17","3,267,985.00","-","JE00B4T3BW64","B4T3BW6","3.82","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"DD","DUPONT DE NEMOURS INC","Materials","Equity","12,306,066.48","1.67","12,306,066.48","160,486.00","26614N102","US26614N1028","BK0VN47","76.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SIKA","SIKA AG","Materials","Equity","11,828,444.97","1.60","11,828,444.97","42,228.00","-","CH0418792922","BF2DSG3","280.11","Switzerland","SIX Swiss Exchange","USD","0.94","CHF","-"
"ABX","BARRICK GOLD CORP","Materials","Equity","10,674,491.83","1.45","10,674,491.83","529,632.00","067901108","CA0679011084","2024644","20.15","Canada","Toronto Stock Exchange","USD","1.26","CAD","-"
"CRG","CRH PLC","Materials","Equity","10,527,276.92","1.43","10,527,276.92","234,663.00","S41822495","IE0001827041","4182249","44.86","Ireland","Irish Stock Exchange - All Market","USD","0.85","EUR","-"
"PPG","PPG INDUSTRIES INC","Materials","Equity","10,476,541.76","1.42","10,476,541.76","70,711.00","693506107","US6935061076","2698470","148.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CTVA","CORTEVA INC","Materials","Equity","10,236,720.18","1.39","10,236,720.18","221,622.00","22052L104","US22052L1044","BK73B42","46.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IFF","INTERNATIONAL FLAVORS & FRAGRANCES","Materials","Equity","10,107,007.26","1.37","10,107,007.26","74,082.00","459506101","US4595061015","2464165","136.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"051910","LG CHEM LTD","Materials","Equity","9,741,737.67","1.32","9,741,737.67","14,087.00","S63469134","KR7051910008","6346913","691.54","Korea (South)","Korea Exchange (Stock Market)","USD","1,133.70","KRW","-"
"DSM","KONINKILIJKE DSM NV","Materials","Equity","9,301,592.80","1.26","9,301,592.80","54,037.00","-","NL0000009827","B0HZL93","172.13","Netherlands","Euronext Amsterdam","USD","0.85","EUR","-"
"NTR","NUTRIEN LTD","Materials","Equity","9,248,671.68","1.25","9,248,671.68","169,586.00","67077M108","CA67077M1086","BDRJLN0","54.54","Canada","Toronto Stock Exchange","USD","1.26","CAD","-"
"RIO","RIO TINTO LTD","Materials","Equity","9,245,399.00","1.25","9,245,399.00","110,566.00","S62201033","AU000000RIO1","6220103","83.62","Australia","Asx - All Markets","USD","1.31","AUD","Jan 02, 1985"
"GIVN","GIVAUDAN SA","Materials","Equity","9,177,723.85","1.24","9,177,723.85","2,374.00","S59806133","CH0010645932","5980613","3,865.93","Switzerland","SIX Swiss Exchange","USD","0.94","CHF","-"
"LHN","LAFARGEHOLCIM LTD","Materials","Equity","8,775,897.00","1.19","8,775,897.00","152,179.00","S71107536","CH0012214059","7110753","57.67","Switzerland","SIX Swiss Exchange","USD","0.94","CHF","-"
"BLL","BALL CORP","Materials","Equity","8,357,301.30","1.13","8,357,301.30","97,918.00","058498106","US0584981064","2073022","85.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LYB","LYONDELLBASELL INDUSTRIES NV CLASS","Materials","Equity","7,848,894.76","1.06","7,848,894.76","76,852.00","-","NL0009434992","B3SPXZ3","102.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FMG","FORTESCUE METALS GROUP LTD","Materials","Equity","7,298,292.40","0.99","7,298,292.40","494,815.00","S60862539","AU000000FMG4","6086253","14.75","Australia","Asx - All Markets","USD","1.31","AUD","-"
"FNV","FRANCO NEVADA CORP","Materials","Equity","6,993,978.53","0.95","6,993,978.53","57,125.00","351858105","CA3518581051","B29NF31","122.43","Canada","Toronto Stock Exchange","USD","1.26","CAD","-"
"4612","NIPPON PAINT HOLDINGS LTD","Materials","Equity","6,598,502.04","0.89","6,598,502.04","86,300.00","S66405077","JP3749400002","6640507","76.46","Japan","Tokyo Stock Exchange","USD","108.82","JPY","-"
