Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Information Technology","Equity","704,218,056.06","9.74","704,218,056.06","5,462,866.00","037833100","US0378331005","2046251","128.91","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","550,513,763.58","7.62","550,513,763.58","2,584,329.00","594918104","US5949181045","2588173","213.02","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","455,931,959.01","6.31","455,931,959.01","145,783.00","023135106","US0231351067","2000019","3,127.47","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","219,030,760.00","3.03","219,030,760.00","259,208.00","88160R101","US88160R1014","B616C79","845.00","United States","NASDAQ","USD","1.00","USD","-"
"FB","FACEBOOK CLASS A INC","Communication","Equity","201,848,283.36","2.79","201,848,283.36","821,724.00","30303M102","US30303M1027","B7TL820","245.64","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","177,877,993.80","2.46","177,877,993.80","102,765.00","02079K305","US02079K3059","BYVY8G0","1,730.92","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","172,664,139.96","2.39","172,664,139.96","99,222.00","02079K107","US02079K1079","BYY88Y7","1,740.18","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","156,340,944.48","2.16","156,340,944.48","665,224.00","084670702","US0846707026","2073390","235.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","147,090,246.29","2.03","147,090,246.29","1,041,937.00","46625H100","US46625H1005","2190385","141.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","144,562,027.05","2.00","144,562,027.05","899,857.00","478160104","US4781601046","2475833","160.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Information Technology","Equity","117,001,891.34","1.62","117,001,891.34","579,619.00","92826C839","US92826C8394","B2PZN04","201.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","115,101,092.40","1.59","115,101,092.40","847,578.00","742718109","US7427181091","2704407","135.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","113,687,044.37","1.57","113,687,044.37","324,329.00","91324P102","US91324P1021","2917766","350.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","111,719,523.86","1.55","111,719,523.86","211,586.00","67066G104","US67066G1040","2379504","528.01","United States","NASDAQ","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","107,329,236.66","1.48","107,329,236.66","618,862.00","254687106","US2546871060","2270726","173.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","98,749,656.68","1.37","98,749,656.68","368,002.00","437076102","US4370761029","2434209","268.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Information Technology","Equity","98,312,428.02","1.36","98,312,428.02","300,714.00","57636Q104","US57636Q1040","B121557","326.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PYPL","PAYPAL HOLDINGS INC","Information Technology","Equity","96,946,482.36","1.34","96,946,482.36","400,506.00","70450Y103","US70450Y1038","BYW36M8","242.06","United States","NASDAQ","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","88,447,860.27","1.22","88,447,860.27","2,602,173.00","060505104","US0605051046","2295677","33.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","82,996,037.25","1.15","82,996,037.25","1,400,777.00","458140100","US4581401001","2463247","59.25","United States","NASDAQ","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","80,682,167.36","1.12","80,682,167.36","1,414,484.00","92343V104","US92343V1044","2090571","57.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","77,379,902.64","1.07","77,379,902.64","1,560,708.00","20030N101","US20030N1019","2044545","49.58","United States","NASDAQ","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","75,965,624.79","1.05","75,965,624.79","163,977.00","00724F101","US00724F1012","2008154","463.27","United States","NASDAQ","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","75,638,374.62","1.05","75,638,374.62","151,017.00","64110L106","US64110L1061","2857817","500.86","United States","NASDAQ","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","72,712,791.45","1.01","72,712,791.45","1,445,295.00","30231G102","US30231G1022","2326618","50.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","71,344,933.48","0.99","71,344,933.48","2,435,812.00","00206R102","US00206R1023","2831811","29.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","71,062,095.06","0.98","71,062,095.06","864,818.00","58933Y105","US58933Y1055","2778844","82.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","69,824,007.75","0.97","69,824,007.75","1,899,973.00","717081103","US7170811035","2684703","36.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","69,646,584.51","0.96","69,646,584.51","473,883.00","931142103","US9311421039","2936921","146.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRM","SALESFORCE.COM INC","Information Technology","Equity","67,431,918.40","0.93","67,431,918.40","312,764.00","79466L302","US79466L3024","2310525","215.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","67,365,914.25","0.93","67,365,914.25","603,475.00","00287Y109","US00287Y1091","B92SR70","111.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","67,318,882.25","0.93","67,318,882.25","135,475.00","883556102","US8835561023","2886907","496.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","66,965,014.08","0.93","66,965,014.08","472,383.00","713448108","US7134481081","2681511","141.76","United States","NASDAQ","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","66,665,313.12","0.92","66,665,313.12","605,828.00","002824100","US0028241000","2002305","110.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
