Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AVGO","BROADCOM INC","Information Technology","Equity","473,041,765.00","2.46","424,141,418.81","322,750.00","11135F200","US11135F2002","BKTDW14","1,465.66","United States","-","USD","1.00","USD","Sep 30, 2019"
"WFC","WELLS FARGO & COMPANY SERIES L","Financials","Equity","305,955,000.96","1.59","11,081,608.00","210,752.00","949746804","US9497468044","B3KRSW9","1,451.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","Apr 17, 2008"
"USD","USD CASH","Cash and/or Derivatives","Cash","271,260,911.95","1.41","271,260,911.95","271,260,912.00","-","-","-","100.00","United States","-","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","256,611,066.40","1.34","-3,026,418.19","177,992.00","060505682","US0605056821","B2PB3Z7","1,441.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","Jan 29, 2008"
"ALLY","GMAC CAPITAL TRUST I","Financials","Equity","242,603,340.88","1.26","242,603,340.88","9,182,564.00","361860208","US3618602086","B4066X0","26.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","Mar 07, 2011"
"MTNA","ARCELORMITTAL","Materials","Fixed Income","239,575,527.94","1.25","8,852,654.55","4,053,145.00","03938L302","US03938L3024","BMDWS46","59.11","France","-","USD","1.00","USD","May 18, 2020"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","229,522,133.97","1.19","199,977,715.33","4,303,809.00","65339F770","US65339F7704","BKPX575","53.33","United States","-","USD","1.00","USD","Feb 21, 2020"
"C","CITIGROUP CAPITAL XIII","Financials","Equity","219,465,917.22","1.14","219,465,917.22","7,733,119.00","173080201","US1730802014","B3Z1BZ0","28.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","Oct 05, 2010"
"DHR","DANAHER CORPORATION","Health Care","Equity","216,545,981.85","1.13","208,687,806.65","133,155.00","235851300","US2358513008","BJRJK13","1,626.27","United States","-","USD","1.00","USD","Mar 01, 2019"
"DHR","DANAHER CORPORATION","Health Care","Equity","194,000,681.76","1.01","164,945,637.43","138,792.00","235851409","US2358514097","BMVWZV4","1,397.78","United States","-","USD","1.00","USD","May 12, 2020"
"NEE/PQ","NEXTERA ENERGY INC","Utilities","Equity","184,514,710.79","0.96","152,064,475.93","3,443,081.00","65339F739","US65339F7399","BMGX880","53.59","United States","-","USD","1.00","USD","Sep 18, 2020"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","164,969,446.32","0.86","164,969,446.32","5,970,664.00","48128B648","US48128B6487","BJ2KBT6","27.63","United States","-","USD","1.00","USD","Jan 24, 2019"
"PCG","PG&E CORPORATION","Utilities","Equity","161,751,317.85","0.84","138,309,248.57","1,377,193.00","69331C140","US69331C1403","BMG7600","117.45","United States","Non-Nms Quotation Service (Nnqs)","USD","1.00","USD","Jul 01, 2020"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","160,822,156.32","0.84","151,417,568.71","2,582,244.00","65339F796","US65339F7969","BK4W313","62.28","United States","Non-Nms Quotation Service (Nnqs)","USD","1.00","USD","Sep 09, 2019"
"APTV","APTIV PLC","Consumer Discretionary","Equity","156,092,878.42","0.81","141,387,994.44","927,854.00","-","JE00BMHMX696","BMHMX69","168.23","United States","-","USD","1.00","USD","Jun 12, 2020"
"BDX","BECTON DICKINSON AND COMPANY","Health Care","Equity","156,020,443.70","0.81","120,913,294.16","2,783,594.00","075887406","US0758874061","BL6D429","56.05","United States","-","USD","1.00","USD","May 26, 2020"
"AVTR","AVANTOR INC","Health Care","Equity","152,286,465.32","0.79","145,882,396.06","1,670,174.00","05352A209","US05352A2096","BJXKL39","91.18","United States","-","USD","1.00","USD","May 21, 2019"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","149,671,353.64","0.78","149,671,353.64","5,474,446.00","48128B655","US48128B6552","BFY34D0","27.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","Sep 21, 2018"
"SO","SOUTHERN COMPANY (THE)","Utilities","Equity","149,193,357.12","0.78","120,669,233.06","2,969,613.00","842587602","US8425876021","BJM06B3","50.24","United States","-","USD","1.00","USD","Aug 16, 2019"
