Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"BHP","BHP GROUP LTD","Materials","Equity","52,079,023.13","10.30","52,079,023.13","1,602,948.00","S61446902","AU000000BHP4","6144690","32.49","Australia","Asx - All Markets","USD","1.32","AUD","Jan 02, 1985"
"RIO","RIO TINTO PLC","Materials","Equity","45,758,573.74","9.05","45,758,573.74","610,583.00","S07188758","GB0007188757","0718875","74.94","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"VALE3","CIA VALE DO RIO DOCE SH","Materials","Equity","33,158,482.02","6.56","33,158,482.02","2,011,688.00","S21962865","BRVALEACNOR0","2196286","16.48","Brazil","XBSP","USD","5.30","BRL","-"
"BHP","BHP GROUP PLC","Materials","Equity","30,345,963.65","6.00","30,345,963.65","1,148,974.00","-","GB00BH0P3Z91","BH0P3Z9","26.41","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"AAL","ANGLO AMERICAN PLC","Materials","Equity","21,852,278.56","4.32","21,852,278.56","667,478.00","-","GB00B1XZS820","B1XZS82","32.74","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"FCX","FREEPORT MCMORAN INC","Materials","Equity","19,466,419.02","3.85","19,466,419.02","790,354.00","35671D857","US35671D8570","2352118","24.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RIO","RIO TINTO LTD","Materials","Equity","17,610,806.40","3.48","17,610,806.40","201,828.00","S62201033","AU000000RIO1","6220103","87.26","Australia","Asx - All Markets","USD","1.32","AUD","Jan 02, 1985"
"GLEN","GLENCORE PLC","Materials","Equity","17,158,798.74","3.39","17,158,798.74","5,430,730.00","-","JE00B4T3BW64","B4T3BW6","3.16","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"FMG","FORTESCUE METALS GROUP LTD","Materials","Equity","16,467,209.93","3.26","16,467,209.93","921,637.00","S60862539","AU000000FMG4","6086253","17.87","Australia","Asx - All Markets","USD","1.32","AUD","-"
"GMKN","GMK NORILSKIY NIKEL","Materials","Equity","10,950,758.18","2.17","10,950,758.18","34,242.00","-","RU0007288411","B5B1TX2","319.80","Russian Federation","Standard-Classica-Forts","USD","73.80","RUB","Jan 01, 1970"
"005490","POSCO","Materials","Equity","9,983,360.99","1.98","9,983,360.99","40,032.00","S66932336","KR7005490008","6693233","249.38","Korea (South)","Korea Exchange (Stock Market)","USD","1,096.70","KRW","-"
"MT","ARCELORMITTAL SA","Materials","Equity","9,078,606.58","1.80","9,078,606.58","389,756.00","-","LU1598757687","BYPBS67","23.29","France","Euronext Amsterdam","USD","0.82","EUR","-"
"NUE","NUCOR CORP","Materials","Equity","8,518,109.04","1.69","8,518,109.04","163,464.00","670346105","US6703461052","2651086","52.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GMEXICOB","GRUPO MEXICO B","Materials","Equity","7,183,462.46","1.42","7,183,462.46","1,695,800.00","S26436741","MXP370841019","2643674","4.24","Mexico","Bolsa Mexicana De Valores","USD","20.10","MXN","-"
"IMP","IMPALA PLATINUM LTD","Materials","Equity","5,962,089.63","1.18","5,962,089.63","435,070.00","S37840113","ZAE000083648","B1FFT76","13.70","South Africa","Johannesburg Stock Exchange","USD","14.64","ZAR","-"
"5401","NIPPON STEEL CORP","Materials","Equity","5,787,421.04","1.15","5,787,421.04","450,205.00","S66425695","JP3381000003","6642569","12.86","Japan","Tokyo Stock Exchange","USD","103.85","JPY","-"
"FM","FIRST QUANTUM MINERALS LTD","Materials","Equity","5,721,647.45","1.13","5,721,647.45","318,866.00","335934105","CA3359341052","2347608","17.94","Canada","Toronto Stock Exchange","USD","1.29","CAD","Mar 01, 1996"
"2002","CHINA STEEL CORP","Materials","Equity","5,629,135.05","1.11","5,629,135.05","6,511,612.00","S61909503","TW0002002003","6190950","0.86","Taiwan","Taiwan Stock Exchange","USD","28.11","TWD","-"
"5713","SUMITOMO METAL MINING LTD","Materials","Equity","5,560,056.81","1.10","5,560,056.81","126,100.00","S68588490","JP3402600005","6858849","44.09","Japan","Tokyo Stock Exchange","USD","103.85","JPY","-"
"BOL","BOLIDEN","Materials","Equity","5,245,663.67","1.04","5,245,663.67","149,286.00","-","SE0012455673","BJV12J7","35.14","Sweden","Nasdaq Omx Nordic","USD","8.28","SEK","-"
"S32","SOUTH32 LTD","Materials","Equity","5,013,219.27","0.99","5,013,219.27","2,629,880.00","-","AU000000S320","BWSW5D9","1.91","Australia","Asx - All Markets","USD","1.32","AUD","-"
"TECK.B","TECK RESOURCES SUBORDINATE VOTING","Materials","Equity","4,466,794.33","0.88","4,466,794.33","255,802.00","878742204","CA8787422044","2879327","17.46","Canada","Toronto Stock Exchange","USD","1.29","CAD","-"
"ANTO","ANTOFAGASTA PLC","Materials","Equity","4,182,048.96","0.83","4,182,048.96","216,006.00","S00456145","GB0000456144","0045614","19.36","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"RS","RELIANCE STEEL & ALUMINUM","Materials","Equity","4,116,405.24","0.81","4,116,405.24","34,764.00","759509102","US7595091023","2729068","118.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"STLD","STEEL DYNAMICS INC","Materials","Equity","4,102,007.84","0.81","4,102,007.84","114,008.00","858119100","US8581191009","2849472","35.98","United States","NASDAQ","USD","1.00","USD","-"
"KGH","KGHM POLSKA MIEDZ SA","Materials","Equity","3,899,211.84","0.77","3,899,211.84","76,172.00","S52632510","PLKGHM000017","5263251","51.19","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.67","PLN","-"
"BSL","BLUESCOPE STEEL LTD","Materials","Equity","3,565,376.51","0.71","3,565,376.51","273,552.00","S65332322","AU000000BSL0","6533232","13.03","Australia","Asx - All Markets","USD","1.32","AUD","-"
"NHY","NORSK HYDRO","Materials","Equity","3,396,795.03","0.67","3,396,795.03","731,696.00","-","NO0005052605","B11HK39","4.64","Norway","Oslo Bors Asa","USD","8.66","NOK","-"
"LUN","LUNDIN MINING CORP","Materials","Equity","3,076,337.46","0.61","3,076,337.46","362,512.00","550372106","CA5503721063","2866857","8.49","Canada","Toronto Stock Exchange","USD","1.29","CAD","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","2,989,240.85","0.59","2,989,240.85","2,989,241.00","-","-","-","100.00","United States","-","USD","1.00","USD","-"
"CLF","CLEVELAND CLIFFS INC","Materials","Equity","2,969,629.36","0.59","2,969,629.36","217,396.00","185899101","US1858991011","BYVZ186","13.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SCCO","SOUTHERN COPPER CORP","Materials","Equity","2,949,443.78","0.58","2,949,443.78","46,426.00","84265V105","US84265V1052","2823777","63.53","Peru","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HINDALCO","HINDALCO INDUSTRIES LTD","Materials","Equity","2,811,865.28","0.56","2,811,865.28","861,522.00","-","INE038A01020","B0GWF48","3.26","India","National Stock Exchange Of India","USD","73.50","INR","-"
"NHM","NORTHAM PLATINUM LTD","Materials","Equity","2,745,965.00","0.54","2,745,965.00","194,600.00","S63502603","ZAE000030912","6350260","14.11","South Africa","Johannesburg Stock Exchange","USD","14.64","ZAR","-"
"AMS","ANGLO AMERICAN PLATINUM LTD","Materials","Equity","2,724,711.01","0.54","2,724,711.01","28,634.00","S9122P108","ZAE000013181","6761000","95.16","South Africa","Johannesburg Stock Exchange","USD","14.64","ZAR","-"
"5411","JFE HOLDINGS INC","Materials","Equity","2,703,707.27","0.53","2,703,707.27","278,000.00","S65437923","JP3386030005","6543792","9.73","Japan","Tokyo Stock Exchange","USD","103.85","JPY","-"
"GGBR4","GERDAU PREF SA","Materials","Equity","2,670,468.94","0.53","2,670,468.94","583,800.00","S26455170","BRGGBRACNPR8","2645517","4.57","Brazil","XBSP","USD","5.30","BRL","-"
"1211","SAUDI ARABIAN MINING","Materials","Equity","2,621,876.25","0.52","2,621,876.25","238,524.00","-","SA123GA0ITH7","B3C8VY3","10.99","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"OZL","OZ MINERALS LTD","Materials","Equity","2,544,159.57","0.50","2,544,159.57","180,144.00","S63978258","AU000000OZL8","6397825","14.12","Australia","Asx - All Markets","USD","1.32","AUD","-"
"JSWSTEEL","JSW STEEL LTD","Materials","Equity","2,443,323.57","0.48","2,443,323.57","464,538.00","-","INE019A01038","BZBYJJ7","5.26","India","National Stock Exchange Of India","USD","73.50","INR","-"
"MIN","MINERAL RESOURCES LTD","Materials","Equity","2,385,865.65","0.47","2,385,865.65","88,126.00","-","AU000000MIN4","B17ZL56","27.07","Australia","Asx - All Markets","USD","1.32","AUD","-"
"CSNA3","COMPANHIA SIDERURGICA NACIONAL","Materials","Equity","2,280,681.14","0.45","2,280,681.14","389,200.00","-","BRCSNAACNOR6","B019KX8","5.86","Brazil","XBSP","USD","5.30","BRL","-"
"VOE","VOESTALPINE AG","Materials","Equity","2,261,551.37","0.45","2,261,551.37","63,106.00","S49434020","AT0000937503","4943402","35.84","Austria","Wiener Boerse Ag","USD","0.82","EUR","-"
