Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"PLD","PROLOGIS REIT INC","Real Estate","Equity","136,653,395.20","5.70","136,653,395.20","1,422,880.00","74340W103","US74340W1036","B44WZD7","96.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DLR","DIGITAL REALTY TRUST REIT INC","Real Estate","Equity","72,953,509.02","3.05","72,953,509.02","539,238.00","253868103","US2538681030","B03GQS4","135.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PSA","PUBLIC STORAGE REIT","Real Estate","Equity","64,111,009.80","2.68","64,111,009.80","291,149.00","74460D109","US74460D1090","2852533","220.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPG","SIMON PROPERTY GROUP REIT INC","Real Estate","Equity","51,707,888.96","2.16","51,707,888.96","624,416.00","828806109","US8288061091","2812452","82.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WELL","WELLTOWER INC","Real Estate","Equity","49,728,632.80","2.08","49,728,632.80","807,283.00","95040Q104","US95040Q1040","BYVYHH4","61.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ARE","ALEXANDRIA REAL ESTATE EQUITIES RE","Real Estate","Equity","44,139,263.44","1.84","44,139,263.44","258,472.00","015271109","US0152711091","2009210","170.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AVB","AVALONBAY COMMUNITIES REIT INC","Real Estate","Equity","42,250,740.48","1.76","42,250,740.48","271,674.00","053484101","US0534841012","2131179","155.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EQR","EQUITY RESIDENTIAL REIT","Real Estate","Equity","40,800,850.00","1.70","40,800,850.00","709,580.00","29476L107","US29476L1070","2319157","57.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"O","REALTY INCOME REIT CORP","Real Estate","Equity","40,622,372.78","1.70","40,622,372.78","678,623.00","756109104","US7561091049","2724193","59.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"823","LINK REAL ESTATE INVESTMENT TRUST","Real Estate","Equity","36,814,707.82","1.54","36,814,707.82","3,978,400.00","-","HK0823032773","B0PB4M7","9.25","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
