Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NLY","ANNALY CAPITAL MANAGEMENT REIT INC","Financials","Equity","229,295,448.00","17.51","229,295,448.00","27,928,800.00","035710409","US0357104092","2113456","8.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AGNC","AGNC INVESTMENT REIT CORP","Financials","Equity","168,371,994.72","12.86","168,371,994.72","10,848,711.00","00123Q104","US00123Q1040","BYYHJL8","15.52","United States","NASDAQ","USD","1.00","USD","-"
"STWD","STARWOOD PROPERTY TRUST REIT INC","Financials","Equity","102,027,300.66","7.79","102,027,300.66","5,435,658.00","85571B105","US85571B1052","B3PQ520","18.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NRZ","NEW RESIDENTIAL INVESTMENT REIT CO","Financials","Equity","77,797,777.60","5.94","77,797,777.60","8,241,290.00","64828T201","US64828T2015","BRJ9GW0","9.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HASI","HANNON ARMSTRONG SUSTAINABLE INFRA","Financials","Equity","75,140,469.70","5.74","75,140,469.70","1,108,430.00","41068X100","US41068X1000","B9HHD96","67.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BXMT","BLACKSTONE MORTGAGE TRUST REIT CLA","Financials","Equity","54,258,576.58","4.14","54,258,576.58","2,049,814.00","09257W100","US09257W1009","B94QHZ0","26.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CIM","CHIMERA INVESTMENT CORP","Financials","Equity","48,594,454.16","3.71","48,594,454.16","4,759,496.00","16934Q208","US16934Q2084","BVZCNC0","10.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TWO","TWO HARBORS INVESTMENT REIT CORP","Financials","Equity","43,061,413.14","3.29","43,061,413.14","6,792,021.00","90187B408","US90187B4086","BD832H2","6.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PMT","PENNYMAC MORTGAGE INVESTMENT TRUST","Financials","Equity","42,032,891.52","3.21","42,032,891.52","2,432,459.00","70931T103","US70931T1034","B3V8JL7","17.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MFA","MFA FINANCIAL REIT INC","Financials","Equity","41,637,080.50","3.18","41,637,080.50","11,253,265.00","55272X102","US55272X1028","2418162","3.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABR","ARBOR REALTY TRUST REIT INC","Financials","Equity","40,664,387.54","3.11","40,664,387.54","2,861,674.00","038923108","US0389231087","B00N2S0","14.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ARI","APOLLO COMMERCIAL REAL ESTATE FINA","Financials","Equity","39,918,781.30","3.05","39,918,781.30","3,495,515.00","03762U105","US03762U1051","B4JTYX6","11.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NYMT","NEW YORK MORTGAGE TRUST REIT INC","Financials","Equity","34,568,797.60","2.64","34,568,797.60","9,393,695.00","649604501","US6496045013","B01LWM7","3.68","United States","NASDAQ","USD","1.00","USD","-"
"BRMK","BROADMARK REALTY CAPITAL INC","Financials","Equity","33,305,813.28","2.54","33,305,813.28","3,190,212.00","11135B100","US11135B1008","BL3LMX3","10.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"STAR","ISTAR REIT INC","Real Estate","Equity","27,036,711.38","2.06","27,036,711.38","1,779,902.00","45031U101","US45031U1016","2259190","15.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LADR","LADDER CAPITAL CORP CLASS A","Financials","Equity","26,787,693.10","2.05","26,787,693.10","2,621,105.00","505743104","US5057431042","BJ367P1","10.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RWT","REDWOOD TRUST REIT INC","Financials","Equity","23,977,661.04","1.83","23,977,661.04","2,778,408.00","758075402","US7580754023","2730877","8.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ARR","ARMOUR RESIDENTIAL REIT INC","Financials","Equity","17,584,912.88","1.34","17,584,912.88","1,587,086.00","042315507","US0423155078","BYRYKS0","11.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CLNC","COLONY CREDIT REAL ESTATE INC CLAS","Financials","Equity","16,509,540.96","1.26","16,509,540.96","2,084,538.00","19625T101","US19625T1016","BG5QFQ5","7.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TRTX","TPG RE FINANCE TRUST INC","Financials","Equity","15,756,267.96","1.20","15,756,267.96","1,487,844.00","87266M107","US87266M1071","BF2F1Q0","10.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EFC","ELLINGTON FINANCIAL INC","Financials","Equity","15,574,123.74","1.19","15,574,123.74","1,023,267.00","28852N109","US28852N1090","BJ7MB31","15.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","15,071,846.36","1.15","15,071,846.36","15,071,846.00","-","-","-","100.00","United States","-","USD","1.00","USD","-"
"IVR","INVESCO MORTGAGE CAPITAL REIT INC","Financials","Equity","14,808,881.70","1.13","14,808,881.70","4,528,710.00","46131B100","US46131B1008","B5ZW0F0","3.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GPMT","GRANITE POINT MORTGAGE TRUST INC","Financials","Equity","13,309,908.47","1.02","13,309,908.47","1,354,009.00","38741L107","US38741L1070","BF11FD4","9.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMO","CAPSTEAD MORTGAGE REIT CORP","Financials","Equity","13,142,127.52","1.00","13,142,127.52","2,363,692.00","14067E506","US14067E5069","2771984","5.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KREF","KKR REAL ESTATE FINANCE INC TRUST","Financials","Equity","12,878,530.20","0.98","12,878,530.20","708,390.00","48251K100","US48251K1007","BF0YMC2","18.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RC","READY CAPITAL CORP","Financials","Equity","12,200,611.92","0.93","12,200,611.92","1,037,467.00","75574U101","US75574U1016","BDFS3G6","11.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DX","DYNEX CAPITAL REIT INC","Financials","Equity","9,654,218.73","0.74","9,654,218.73","548,847.00","26817Q886","US26817Q8868","BJN4K01","17.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACRE","ARES COMMERCIAL REAL ESTATE REIT C","Financials","Equity","9,113,918.45","0.70","9,113,918.45","762,671.00","04013V108","US04013V1089","B77PWP5","11.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ORC","ORCHID ISLAND CAPITAL INC","Financials","Equity","9,061,174.50","0.69","9,061,174.50","1,725,938.00","68571X103","US68571X1037","B5VKFB9","5.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
