Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"PSA","PUBLIC STORAGE REIT","Real Estate","Equity","39,130,167.23","9.38","39,130,167.23","175,637.00","74460D109","US74460D1090","2852533","222.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WELL","WELLTOWER INC","Real Estate","Equity","30,714,711.58","7.36","30,714,711.58","486,994.00","95040Q104","US95040Q1040","BYVYHH4","63.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AVB","AVALONBAY COMMUNITIES REIT INC","Real Estate","Equity","26,997,270.24","6.47","26,997,270.24","163,888.00","053484101","US0534841012","2131179","164.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EQR","EQUITY RESIDENTIAL REIT","Real Estate","Equity","26,351,188.92","6.31","26,351,188.92","428,057.00","29476L107","US29476L1070","2319157","61.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VTR","VENTAS REIT INC","Real Estate","Equity","21,353,322.77","5.12","21,353,322.77","434,629.00","92276F100","US92276F1003","2927925","49.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MAA","MID AMERICA APARTMENT COMMUNITIES","Real Estate","Equity","19,918,618.46","4.77","19,918,618.46","148,447.00","59522J103","US59522J1034","2589132","134.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INVH","INVITATION HOMES INC","Real Estate","Equity","19,611,495.62","4.70","19,611,495.62","653,281.00","46187W107","US46187W1071","BD81GW9","30.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PEAK","HEALTHPEAK PROPERTIES INC","Real Estate","Equity","18,950,504.88","4.54","18,950,504.88","627,916.00","42250P103","US42250P1030","BJBLRK3","30.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EXR","EXTRA SPACE STORAGE REIT INC","Real Estate","Equity","18,850,261.53","4.52","18,850,261.53","163,333.00","30225T102","US30225T1025","B02HWR9","115.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SUI","SUN COMMUNITIES REIT INC","Real Estate","Equity","18,568,513.92","4.45","18,568,513.92","126,368.00","866674104","US8666741041","2860257","146.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ESS","ESSEX PROPERTY TRUST REIT INC","Real Estate","Equity","17,991,441.90","4.31","17,991,441.90","73,902.00","297178105","US2971781057","2316619","243.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MPW","MEDICAL PROPERTIES TRUST REIT INC","Real Estate","Equity","15,763,231.06","3.78","15,763,231.06","734,198.00","58463J304","US58463J3041","B0JL5L9","21.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UDR","UDR REIT INC","Real Estate","Equity","14,929,577.63","3.58","14,929,577.63","381,733.00","902653104","US9026531049","2727910","39.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ELS","EQUITY LIFESTYLE PROPERTIES REIT I","Real Estate","Equity","14,338,551.92","3.44","14,338,551.92","226,589.00","29472R108","US29472R1086","2563125","63.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CPT","CAMDEN PROPERTY TRUST REIT","Real Estate","Equity","12,604,728.15","3.02","12,604,728.15","122,913.00","133131102","US1331311027","2166320","102.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMH","AMERICAN HOMES RENT REIT CLASS A","Real Estate","Equity","11,080,124.58","2.66","11,080,124.58","355,474.00","02665T306","US02665T3068","BCF5RR9","31.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OHI","OMEGA HEALTHCARE INVESTORS REIT IN","Real Estate","Equity","10,544,749.38","2.53","10,544,749.38","293,154.00","681936100","US6819361006","2043274","35.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CUBE","CUBESMART REIT","Real Estate","Equity","8,802,018.94","2.11","8,802,018.94","251,702.00","229663109","US2296631094","B6SW913","34.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HTA","HEALTHCARE TRUST OF AMERICA REIT I","Real Estate","Equity","8,218,667.14","1.97","8,218,667.14","283,207.00","42225P501","US42225P5017","BT9QF28","29.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LSI","LIFE STORAGE INC","Real Estate","Equity","7,702,824.39","1.85","7,702,824.39","62,947.00","53223X107","US53223X1072","BDCSFJ6","122.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AIRC","APARTMENT INCOME REIT CORP","Real Estate","Equity","7,561,562.40","1.81","7,561,562.40","192,897.00","03750L109","US03750L1098","BN6QGL5","39.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACC","AMERICAN CAMPUS COMMUNITIES REIT I","Real Estate","Equity","7,437,361.80","1.78","7,437,361.80","178,354.00","024835100","US0248351001","B02H871","41.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HR","HEALTHCARE REALTY TRUST REIT INC","Real Estate","Equity","5,457,903.10","1.31","5,457,903.10","175,045.00","421946104","US4219461047","2417921","31.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DOC","PHYSICIANS REALTY TRUST REIT","Real Estate","Equity","4,923,656.22","1.18","4,923,656.22","270,382.00","71943U104","US71943U1043","BC9S149","18.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SBRA","SABRA HEALTH CARE REIT INC","Real Estate","Equity","4,598,691.84","1.10","4,598,691.84","266,128.00","78573L106","US78573L1061","B5NLBP6","17.28","United States","NASDAQ","USD","1.00","USD","-"
"NHI","NATIONAL HEALTH INVESTORS REIT INC","Real Estate","Equity","3,722,941.39","0.89","3,722,941.39","55,741.00","63633D104","US63633D1046","2626125","66.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NSA","NATIONAL STORAGE AFFILIATES TRUST","Real Estate","Equity","2,953,983.24","0.71","2,953,983.24","81,198.00","637870106","US6378701063","BWWCK85","36.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CTRE","CARETRUST REIT INC","Real Estate","Equity","2,787,753.54","0.67","2,787,753.54","121,154.00","14174T107","US14174T1079","BMP8TL6","23.01","United States","NASDAQ","USD","1.00","USD","-"
"LTC","LTC PROPERTIES REIT INC","Real Estate","Equity","2,025,667.52","0.49","2,025,667.52","50,528.00","502175102","US5021751020","2498788","40.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IRT","INDEPENDENCE REALTY INC TRUST","Real Estate","Equity","1,691,154.64","0.41","1,691,154.64","123,262.00","45378A106","US45378A1060","BCRYTK1","13.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CHCT","COMMUNITY HEALTHCARE TRUST INC","Real Estate","Equity","1,419,703.74","0.34","1,419,703.74","28,891.00","20369C106","US20369C1062","BXC87C3","49.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DHC","DIVERSIFIED HEALTHCARE TRUST","Real Estate","Equity","1,364,648.48","0.33","1,364,648.48","308,744.00","25525P107","US25525P1075","BKRN595","4.42","United States","NASDAQ","USD","1.00","USD","-"
"NXRT","NEXPOINT RESIDENTIAL TRUST INC","Real Estate","Equity","1,239,986.88","0.30","1,239,986.88","28,512.00","65341D102","US65341D1028","BWC6PW6","43.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSR","CENTERSPACE TRUST","Real Estate","Equity","1,233,325.86","0.30","1,233,325.86","16,881.00","15202L107","US15202L1070","BN47P80","73.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
