Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"TSLA","TESLA INC","Consumer Discretionary","Equity","49,021,182.40","11.52","49,021,182.40","57,710.00","88160R101","US88160R1014","B616C79","849.44","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","39,600,211.87","9.31","39,600,211.87","12,689.00","023135106","US0231351067","2000019","3,120.83","United States","NASDAQ","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","18,443,093.19","4.33","18,443,093.19","66,743.00","437076102","US4370761029","2434209","276.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"7203","TOYOTA MOTOR CORP","Consumer Discretionary","Equity","14,875,132.44","3.50","14,875,132.44","196,400.00","S69006435","JP3633400001","6900643","75.74","Japan","Tokyo Stock Exchange","USD","104.20","JPY","-"
"NKE","NIKE INC CLASS B","Consumer Discretionary","Equity","14,038,954.35","3.30","14,038,954.35","96,787.00","654106103","US6541061031","2640147","145.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MC","LVMH","Consumer Discretionary","Equity","12,940,939.60","3.04","12,940,939.60","20,635.00","S40614125","FR0000121014","4061412","627.14","France","Nyse Euronext - Euronext Paris","USD","0.82","EUR","-"
"3690","MEITUAN","Consumer Discretionary","Equity","12,546,745.15","2.95","12,546,745.15","322,200.00","-","KYG596691041","BGJW376","38.94","China","Hong Kong Exchanges And Clearing Ltd","USD","7.76","HKD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","12,161,075.20","2.86","12,161,075.20","57,472.00","580135101","US5801351017","2550707","211.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"6758","SONY CORP","Consumer Discretionary","Equity","10,162,763.92","2.39","10,162,763.92","97,600.00","S68215060","JP3435000009","6821506","104.13","Japan","Tokyo Stock Exchange","USD","104.20","JPY","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","9,550,807.83","2.24","9,550,807.83","56,517.00","548661107","US5486611073","2536763","168.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","9,308,294.60","2.19","9,308,294.60","90,530.00","855244109","US8552441094","2842255","102.82","United States","NASDAQ","USD","1.00","USD","-"
"TGT","TARGET CORP","Consumer Discretionary","Equity","7,690,436.60","1.81","7,690,436.60","38,626.00","87612E106","US87612E1064","2259101","199.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","6,938,238.06","1.63","6,938,238.06","3,159.00","09857L108","US09857L1089","BDRXDB4","2,196.34","United States","NASDAQ","USD","1.00","USD","-"
"TJX","TJX INC","Consumer Discretionary","Equity","6,334,387.20","1.49","6,334,387.20","92,608.00","872540109","US8725401090","2989301","68.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADS","ADIDAS N AG","Consumer Discretionary","Equity","4,991,911.94","1.17","4,991,911.94","14,246.00","S40319766","DE000A1EWWW0","4031976","350.41","Germany","Xetra","USD","0.82","EUR","-"
"GM","GENERAL MOTORS","Consumer Discretionary","Equity","4,654,607.52","1.09","4,654,607.52","97,336.00","37045V100","US37045V1008","B665KZ5","47.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DAI","DAIMLER AG","Consumer Discretionary","Equity","4,557,629.59","1.07","4,557,629.59","64,485.00","S55290274","DE0007100000","5529027","70.68","Germany","Xetra","USD","0.82","EUR","-"
