Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"6976","TAIYO YUDEN LTD","Information Technology","Equity","474,883.85","0.72","474,883.85","9,600.00","S68705649","JP3452000007","6870564","49.47","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"3563","SUSHIRO GLOBAL HOLDINGS LTD","Consumer Discretionary","Equity","350,915.55","0.53","350,915.55","8,000.00","-","JP3397150008","BF1HPT8","43.86","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"3269","ADVANCE RESIDENCE INVESTMENT REIT","Real Estate","Equity","326,865.26","0.49","326,865.26","104.00","-","JP3047160001","B62WZW2","3,142.94","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"1808","HASEKO CORP","Consumer Discretionary","Equity","319,562.72","0.48","319,562.72","21,600.00","S64144017","JP3768600003","6414401","14.79","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"9104","MITSUI OSK LINES LTD","Industrials","Equity","306,641.16","0.46","306,641.16","8,800.00","S65975849","JP3362700001","6597584","34.85","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"4403","NOF CORP","Materials","Equity","304,053.93","0.46","304,053.93","5,600.00","S66404880","JP3753400005","6640488","54.30","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"4004","SHOWA DENKO","Materials","Equity","297,021.04","0.45","297,021.04","10,400.00","S68054691","JP3368000000","6805469","28.56","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"6361","EBARA CORP","Industrials","Equity","285,979.78","0.43","285,979.78","7,200.00","S63027007","JP3166000004","6302700","39.72","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"2768","SOJITZ CORP","Industrials","Equity","285,957.91","0.43","285,957.91","98,400.00","S65941437","JP3663900003","6594143","2.91","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"1721","COMSYS HOLDINGS CORP","Industrials","Equity","276,979.14","0.42","276,979.14","8,800.00","S66872474","JP3305530002","6687247","31.47","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"7735","SCREEN HOLDINGS LTD","Information Technology","Equity","276,942.70","0.42","276,942.70","3,200.00","S62510284","JP3494600004","6251028","86.54","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"7012","KAWASAKI HEAVY INDUSTRIES LTD","Industrials","Equity","275,383.07","0.42","275,383.07","11,200.00","S64846207","JP3224200000","6484620","24.59","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"4061","DENKA CO LTD","Materials","Equity","267,322.58","0.40","267,322.58","6,400.00","S63098206","JP3549600009","6309820","41.77","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"3309","SEKISUI HOUSE REIT INC","Real Estate","Equity","266,834.29","0.40","266,834.29","328.00","-","JP3047820000","BSKRKL7","813.52","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"3088","MATSUMOTOKIYOSHI HOLDINGS LTD","Consumer Staples","Equity","258,139.75","0.39","258,139.75","5,600.00","-","JP3869010003","B249GC0","46.10","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"3197","SKYLARK HOLDINGS LTD","Consumer Discretionary","Equity","250,706.02","0.38","250,706.02","16,000.00","-","JP3396210001","BQQD167","15.67","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"6302","SUMITOMO HEAVY INDUSTRIES LTD","Industrials","Equity","248,920.47","0.38","248,920.47","8,800.00","S68587310","JP3405400007","6858731","28.29","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"3249","INDUSTRIAL & INFRASTRUCTURE FUND I","Real Estate","Equity","244,788.19","0.37","244,788.19","144.00","-","JP3046500009","B24HH65","1,699.92","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"5301","TOKAI CARBON LTD","Materials","Equity","243,294.16","0.37","243,294.16","15,200.00","S68940030","JP3560800009","6894003","16.01","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"3279","ACTIVIA PROPERTIES REIT INC","Real Estate","Equity","240,029.15","0.36","240,029.15","56.00","-","JP3047490002","B8BSRY1","4,286.23","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"6028","TECHNOPRO HOLDINGS INC","Industrials","Equity","239,355.02","0.36","239,355.02","2,900.00","-","JP3545240008","BSM8SQ9","82.54","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"2871","NICHIREI CORP","Consumer Staples","Equity","237,937.51","0.36","237,937.51","8,800.00","S66408642","JP3665200006","6640864","27.04","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"7988","NIFCO INC","Consumer Discretionary","Equity","237,004.65","0.36","237,004.65","6,400.00","654101104","JP3756200006","6639163","37.03","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"8955","JAPAN PRIME REALTY INVESTMENT REIT","Real Estate","Equity","236,713.13","0.36","236,713.13","64.00","S65281750","JP3040890000","6528175","3,698.64","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"6754","ANRITSU CORP","Information Technology","Equity","234,679.79","0.35","234,679.79","10,400.00","S60441094","JP3128800004","6044109","22.57","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"8804","TOKYO TATEMONO LTD","Real Estate","Equity","233,047.28","0.35","233,047.28","15,200.00","S68954262","JP3582600007","6895426","15.33","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"7731","NIKON CORP","Consumer Discretionary","Equity","231,320.03","0.35","231,320.03","24,000.00","654111103","JP3657400002","6642321","9.64","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"6532","BAYCURRENT CONSULTING INC","Industrials","Equity","230,573.02","0.35","230,573.02","1,000.00","-","JP3835250006","BYP20B9","230.57","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"8972","KENEDIX OFFICE INVESTMENT REIT COR","Real Estate","Equity","226,801.49","0.34","226,801.49","32.00","-","JP3046270009","B0C5Q59","7,087.55","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"8304","AOZORA BANK LTD","Financials","Equity","224,585.95","0.34","224,585.95","9,600.00","-","JP3711200000","B1G1854","23.39","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"8088","IWATANI CORP","Energy","Equity","224,323.59","0.34","224,323.59","3,600.00","S64682040","JP3151600008","6468204","62.31","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"4921","FANCL CORP","Consumer Staples","Equity","220,679.60","0.33","220,679.60","6,400.00","S61312617","JP3802670004","6131261","34.48","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"7649","SUGI HOLDINGS LTD","Consumer Staples","Equity","220,634.05","0.33","220,634.05","2,700.00","S62590112","JP3397060009","6259011","81.72","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"1951","KYOWA EXE CORP","Industrials","Equity","217,327.14","0.33","217,327.14","8,000.00","S64994205","JP3254200003","6499420","27.17","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"6770","ALPS ALPINE LTD","Information Technology","Equity","216,598.34","0.33","216,598.34","16,000.00","S60215001","JP3126400005","6021500","13.54","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"2811","KAGOME LTD","Consumer Staples","Equity","213,391.64","0.32","213,391.64","6,400.00","S64807704","JP3208200000","6480770","33.34","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"7518","NET ONE SYSTEMS LTD","Information Technology","Equity","211,988.70","0.32","211,988.70","6,500.00","S60365483","JP3758200004","6036548","32.61","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"7013","IHI CORP","Industrials","Equity","211,278.13","0.32","211,278.13","10,400.00","S64669856","JP3134800006","6466985","20.32","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"1911","SUMITOMO FORESTRY LTD","Consumer Discretionary","Equity","210,942.88","0.32","210,942.88","9,600.00","S68588615","JP3409800004","6858861","21.97","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"1963","JGC HOLDINGS CORP","Industrials","Equity","210,899.15","0.32","210,899.15","16,800.00","S64734684","JP3667600005","6473468","12.55","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"5711","MITSUBISHI MATERIALS CORP","Materials","Equity","210,760.68","0.32","210,760.68","8,800.00","S65970899","JP3903000002","6597089","23.95","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"8282","KS HOLDINGS CORP","Consumer Discretionary","Equity","201,497.68","0.30","201,497.68","14,400.00","S64842776","JP3277150003","6484277","13.99","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"9513","ELECTRIC POWER DEVELOPMENT LTD","Utilities","Equity","201,410.22","0.30","201,410.22","11,200.00","-","JP3551200003","B02Q328","17.98","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"4527","ROHTO PHARMACEUTICAL LTD","Consumer Staples","Equity","201,366.49","0.30","201,366.49","7,200.00","S67473678","JP3982400008","6747367","27.97","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"5929","SANWA HOLDINGS CORP","Industrials","Equity","200,841.76","0.30","200,841.76","14,400.00","S67767814","JP3344400001","6776781","13.95","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"7167","MEBUKI FINANCIAL GROUP INC","Financials","Equity","200,419.06","0.30","200,419.06","80,000.00","-","JP3117700009","BH0VTS2","2.51","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"3471","MITSUI FUDOSAN LOGISTICS PARK REIT","Real Estate","Equity","200,200.42","0.30","200,200.42","41.00","-","JP3048300002","BYZWTW3","4,882.94","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"8985","JAPAN HOTEL INVESTMENT REIT CORP","Real Estate","Equity","199,457.05","0.30","199,457.05","352.00","-","JP3046400002","B1530B1","566.64","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"3288","OPEN HOUSE LTD","Consumer Discretionary","Equity","199,398.74","0.30","199,398.74","4,800.00","-","JP3173540000","BD3D170","41.54","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"7936","ASICS CORP","Consumer Discretionary","Equity","197,758.95","0.30","197,758.95","12,000.00","S60573789","JP3118000003","6057378","16.48","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"9044","NANKAI ELECTRIC RAILWAY LTD","Industrials","Equity","194,953.08","0.29","194,953.08","8,000.00","S66214727","JP3653000004","6621472","24.37","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
"8876","RELO GROUP INC","Real Estate","Equity","194,165.98","0.29","194,165.98","8,800.00","S61739066","JP3755200007","6173906","22.06","Japan","Tokyo Stock Exchange","USD","109.77","JPY","-"
