Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"IMCD","IMCD NV","Industrials","Equity","37,077,459.36","0.28","37,077,459.36","260,502.00","-","NL0010801007","BNCBD46","142.33","Netherlands","Euronext Amsterdam","USD","0.85","EUR","-"
"SMDS","SMITH (DS) PLC","Materials","Equity","35,437,846.62","0.27","35,437,846.62","6,268,706.00","S08220113","GB0008220112","0822011","5.65","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"AER","AERCAP HOLDINGS NV","Industrials","Equity","35,249,037.12","0.26","35,249,037.12","590,832.00","-","NL0000687663","B1HHKD3","59.66","Netherlands","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ICP","INTERMEDIATE CAPITAL GROUP PLC","Financials","Equity","34,562,705.76","0.26","34,562,705.76","1,336,580.00","-","GB00BYT1DJ19","BYT1DJ1","25.86","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"VACN","VAT GROUP AG","Industrials","Equity","34,118,816.90","0.26","34,118,816.90","122,398.00","-","CH0311864901","BYZWMR9","278.75","Switzerland","SIX Swiss Exchange","USD","0.94","CHF","-"
"SIGN","SIG COMBIBLOC GROUP AG","Materials","Equity","33,014,977.34","0.25","33,014,977.34","1,456,844.00","-","CH0435377954","BD5GN60","22.66","Switzerland","SIX Swiss Exchange","USD","0.94","CHF","-"
"RMV","RIGHTMOVE PLC","Communication","Equity","32,873,046.68","0.25","32,873,046.68","4,006,005.00","-","GB00BGDT3G23","BGDT3G2","8.21","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"MOCORP","METSO OUTOTEC CORP","Industrials","Equity","31,197,105.01","0.23","31,197,105.01","2,826,825.00","-","FI0009014575","B1FN8X9","11.04","Finland","Nasdaq Omx Helsinki Ltd.","USD","0.85","EUR","-"
"BME","B&M EUROPEAN VALUE RETAIL SA","Consumer Discretionary","Equity","30,163,030.01","0.23","30,163,030.01","4,056,146.00","-","LU1072616219","BMTRW10","7.44","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"LIGHT","SIGNIFY NV","Industrials","Equity","29,915,985.76","0.22","29,915,985.76","582,965.00","-","NL0011821392","BYY7VY5","51.32","Netherlands","Euronext Amsterdam","USD","0.85","EUR","-"
"RMG","ROYAL MAIL PLC","Industrials","Equity","29,129,919.62","0.22","29,129,919.62","4,079,113.00","-","GB00BDVZYZ77","BDVZYZ7","7.14","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"INDT","INDUTRADE","Industrials","Equity","29,112,557.80","0.22","29,112,557.80","1,237,663.00","-","SE0001515552","B0LDBX7","23.52","Sweden","Nasdaq Omx Nordic","USD","8.65","SEK","-"
"ITV","ITV PLC","Communication","Equity","29,066,926.37","0.22","29,066,926.37","16,523,694.00","S33986498","GB0033986497","3398649","1.76","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"EMBRAC B","EMBRACER GROUP","Communication","Equity","28,968,549.29","0.22","28,968,549.29","1,053,830.00","-","SE0013121589","BK5MWJ3","27.49","Sweden","Nasdaq Omx Nordic","USD","8.65","SEK","-"
"WEIR","WEIR GROUP PLC","Industrials","Equity","28,888,619.73","0.22","28,888,619.73","1,181,093.00","S09465808","GB0009465807","0946580","24.46","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"GETI B","GETINGE B","Health Care","Equity","28,782,430.57","0.22","28,782,430.57","1,034,869.00","S76983568","SE0000202624","7698356","27.81","Sweden","Nasdaq Omx Nordic","USD","8.65","SEK","-"
"TREL B","TRELLEBORG B","Industrials","Equity","28,659,971.33","0.21","28,659,971.33","1,099,987.00","S49023849","SE0000114837","4902384","26.05","Sweden","Nasdaq Omx Nordic","USD","8.65","SEK","-"
"ASRNL","ASR NEDERLAND NV","Financials","Equity","28,551,916.71","0.21","28,551,916.71","641,811.00","-","NL0011872643","BD9PNF2","44.49","Netherlands","Euronext Amsterdam","USD","0.85","EUR","-"
"SINCH","SINCH","Information Technology","Equity","28,504,372.65","0.21","28,504,372.65","160,679.00","-","SE0007439112","BZBW6G7","177.40","Sweden","Nasdaq Omx Nordic","USD","8.65","SEK","-"
"ECM","ELECTROCOMPONENTS PLC","Industrials","Equity","27,808,602.02","0.21","27,808,602.02","2,032,619.00","S03096443","GB0003096442","0309644","13.68","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"HWDN","HOWDEN JOINERY GROUP PLC","Industrials","Equity","27,790,383.75","0.21","27,790,383.75","2,720,817.00","S05576814","GB0005576813","0557681","10.21","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"BWY","BELLWAY PLC","Consumer Discretionary","Equity","26,801,077.20","0.20","26,801,077.20","561,162.00","S00904987","GB0000904986","0090498","47.76","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"ASC","ASOS PLC","Consumer Discretionary","Equity","26,790,214.99","0.20","26,790,214.99","340,434.00","S30927255","GB0030927254","3092725","78.69","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"6976","TAIYO YUDEN LTD","Information Technology","Equity","26,371,995.80","0.20","26,371,995.80","531,100.00","S68705649","JP3452000007","6870564","49.66","Japan","Tokyo Stock Exchange","USD","109.56","JPY","-"
"OZL","OZ MINERALS LTD","Materials","Equity","26,137,204.95","0.20","26,137,204.95","1,505,119.00","S63978258","AU000000OZL8","6397825","17.37","Australia","Asx - All Markets","USD","1.31","AUD","-"
"BESI","BE SEMICONDUCTOR INDUSTRIES NV","Information Technology","Equity","25,984,831.55","0.19","25,984,831.55","322,782.00","-","NL0012866412","BG0SCK9","80.50","Netherlands","Euronext Amsterdam","USD","0.85","EUR","-"
"PNN","PENNON GROUP PLC","Utilities","Equity","25,919,863.16","0.19","25,919,863.16","1,920,900.00","-","GB00B18V8630","B18V863","13.49","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"ENX","EURONEXT NV","Financials","Equity","25,468,100.62","0.19","25,468,100.62","253,239.00","-","NL0006294274","BNBNSG0","100.57","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
