Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"TSLA","TESLA INC","Consumer Discretionary","Equity","24,198,208.32","6.33","24,198,208.32","28,002.00","88160R101","US88160R1014","B616C79","864.16","United States","NASDAQ","USD","1.00","USD","-"
"UMI","UMICORE SA","Materials","Equity","18,215,741.71","4.77","18,215,741.71","314,652.00","-","BE0974320526","BF44466","57.89","Belgium","Nyse Euronext - Euronext Brussels","USD","0.83","EUR","-"
"JMAT","JOHNSON MATTHEY PLC","Materials","Equity","16,517,055.21","4.32","16,517,055.21","400,452.00","-","GB00BZ4BQC70","BZ4BQC7","41.25","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"VWS","VESTAS WIND SYSTEMS","Industrials","Equity","15,810,740.56","4.14","15,810,740.56","73,320.00","S59646513","DK0010268606","5964651","215.64","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.15","DKK","-"
"9020","EAST JAPAN RAILWAY","Industrials","Equity","13,938,471.74","3.65","13,938,471.74","215,100.00","S62985429","JP3783600004","6298542","64.80","Japan","Tokyo Stock Exchange","USD","104.11","JPY","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","13,233,377.04","3.46","13,233,377.04","202,098.00","375558103","US3755581036","2369174","65.48","United States","NASDAQ","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","11,867,104.08","3.11","11,867,104.08","47,268.00","031162100","US0311621009","2023607","251.06","United States","NASDAQ","USD","1.00","USD","-"
"KMB","KIMBERLY CLARK CORP","Consumer Staples","Equity","11,009,364.60","2.88","11,009,364.60","79,404.00","494368103","US4943681035","2491839","138.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMPC","EMPRESAS CMPC SA","Materials","Equity","10,079,258.56","2.64","10,079,258.56","3,573,102.00","S21960158","CL0000001314","2196015","2.82","Chile","Santiago Stock Exchange","USD","738.07","CLP","-"
"288","WH GROUP LTD","Consumer Staples","Equity","10,026,889.66","2.62","10,026,889.66","12,051,000.00","-","KYG960071028","BLLHKZ1","0.83","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"9022","CENTRAL JAPAN RAILWAY","Industrials","Equity","8,870,548.96","2.32","8,870,548.96","63,100.00","S61835526","JP3566800003","6183552","140.58","Japan","Tokyo Stock Exchange","USD","104.11","JPY","-"
"ALO","ALSTOM SA","Industrials","Equity","8,664,022.53","2.27","8,664,022.53","163,488.00","-","FR0010220475","B0DJ8Q5","52.99","France","Nyse Euronext - Euronext Paris","USD","0.83","EUR","-"
