Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"WORK","SLACK TECHNOLOGIES CLASS A INC","Information Technology","Equity","2,686,303.36","0.26","2,686,303.36","62,647.00","83088V102","US83088V1026","BKBS541","42.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDB","MONGODB INC CLASS A","Information Technology","Equity","2,675,376.00","0.25","2,675,376.00","6,756.00","60937P106","US60937P1066","BF2FJ99","396.00","United States","NASDAQ","USD","1.00","USD","-"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Information Technology","Equity","2,635,603.10","0.25","2,635,603.10","11,719.00","22788C105","US22788C1053","BJJP138","224.90","United States","NASDAQ","USD","1.00","USD","-"
"CHWY","CHEWY INC CLASS A","Consumer Discretionary","Equity","2,602,809.24","0.25","2,602,809.24","24,396.00","16679L109","US16679L1098","BJLFHW7","106.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ETSY","ETSY INC","Consumer Discretionary","Equity","2,576,795.90","0.24","2,576,795.90","13,055.00","29786A106","US29786A1060","BWTN5N1","197.38","United States","NASDAQ","USD","1.00","USD","-"
"ZS","ZSCALER INC","Information Technology","Equity","2,517,546.50","0.24","2,517,546.50","12,175.00","98980G102","US98980G1022","BZ00V34","206.78","United States","NASDAQ","USD","1.00","USD","-"
"PTON","PELOTON INTERACTIVE CLASS A INC","Consumer Discretionary","Equity","2,487,470.30","0.24","2,487,470.30","15,430.00","70614W100","US70614W1009","BJ7WJS2","161.21","United States","NASDAQ","USD","1.00","USD","-"
"ROKU","ROKU INC CLASS A","Communication","Equity","2,462,751.53","0.23","2,462,751.53","6,943.00","77543R102","US77543R1023","BZ1LFG7","354.71","United States","NASDAQ","USD","1.00","USD","-"
"NVCR","NOVOCURE LTD","Health Care","Equity","2,350,224.00","0.22","2,350,224.00","13,744.00","-","JE00BYSS4X48","BYSS4X4","171.00","United States","NASDAQ","USD","1.00","USD","-"
"ENPH","ENPHASE ENERGY INC","Information Technology","Equity","2,348,650.23","0.22","2,348,650.23","13,249.00","29355A107","US29355A1079","B65SQW4","177.27","United States","NASDAQ","USD","1.00","USD","-"
"SEDG","SOLAREDGE TECHNOLOGIES INC","Information Technology","Equity","2,327,626.84","0.22","2,327,626.84","7,217.00","83417M104","US83417M1045","BWC52Q6","322.52","United States","NASDAQ","USD","1.00","USD","-"
"DBX","DROPBOX INC CLASS A","Information Technology","Equity","2,305,026.21","0.22","2,305,026.21","92,683.00","26210C104","US26210C1045","BG0T321","24.87","United States","NASDAQ","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","2,290,000.00","0.22","2,290,000.00","2,290,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","USD","-"
"IAC","IAC INTERACTIVE","Communication","Equity","2,283,396.44","0.22","2,283,396.44","12,428.00","44891N109","US44891N1090","BMGTSK0","183.73","United States","NASDAQ","USD","1.00","USD","-"
"MRNA","MODERNA INC","Health Care","Equity","2,265,588.24","0.22","2,265,588.24","17,998.00","60770K107","US60770K1079","BGSXTS3","125.88","United States","NASDAQ","USD","1.00","USD","-"
"SRPT","SAREPTA THERAPEUTICS INC","Health Care","Equity","2,264,099.58","0.22","2,264,099.58","12,667.00","803607100","US8036071004","B8DPDT7","178.74","United States","NASDAQ","USD","1.00","USD","-"
"RNG","RINGCENTRAL INC CLASS A","Information Technology","Equity","2,260,093.65","0.21","2,260,093.65","5,615.00","76680R206","US76680R2067","BDZCRX3","402.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OXY","OCCIDENTAL PETROLEUM CORP","Energy","Equity","2,203,660.80","0.21","2,203,660.80","130,240.00","674599105","US6745991058","2655408","16.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NET","CLOUDFLARE INC CLASS A","Information Technology","Equity","2,200,441.76","0.21","2,200,441.76","25,421.00","18915M107","US18915M1071","BJXC5M2","86.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVNA","CARVANA CLASS A","Consumer Discretionary","Equity","2,158,414.08","0.21","2,158,414.08","7,404.00","146869102","US1468691027","BYQHPG3","291.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NTAP","NETAPP INC","Information Technology","Equity","2,153,695.74","0.20","2,153,695.74","32,543.00","64110D104","US64110D1046","2630643","66.18","United States","NASDAQ","USD","1.00","USD","-"
"FTNT","FORTINET INC","Information Technology","Equity","2,142,119.85","0.20","2,142,119.85","14,079.00","34959E109","US34959E1091","B5B2106","152.15","United States","NASDAQ","USD","1.00","USD","-"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","2,141,205.30","0.20","2,141,205.30","5,755.00","697435105","US6974351057","B87ZMX0","372.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DT","DYNATRACE INC","Information Technology","Equity","2,117,029.13","0.20","2,117,029.13","47,563.00","268150109","US2681501092","BJV2RD9","44.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TWLO","TWILIO INC CLASS A","Information Technology","Equity","2,109,196.75","0.20","2,109,196.75","5,689.00","90138F102","US90138F1021","BD6P5Q0","370.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EXAS","EXACT SCIENCES CORP","Health Care","Equity","2,081,631.64","0.20","2,081,631.64","14,647.00","30063P105","US30063P1057","2719951","142.12","United States","NASDAQ","USD","1.00","USD","-"
"HAL","HALLIBURTON","Energy","Equity","2,068,344.24","0.20","2,068,344.24","108,177.00","406216101","US4062161017","2405302","19.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OKTA","OKTA INC CLASS A","Information Technology","Equity","2,060,889.60","0.20","2,060,889.60","7,216.00","679295105","US6792951054","BDFZSP1","285.60","United States","NASDAQ","USD","1.00","USD","-"
"DDOG","DATADOG INC CLASS A","Information Technology","Equity","2,060,570.64","0.20","2,060,570.64","18,552.00","23804L103","US23804L1035","BKT9Y49","111.07","United States","NASDAQ","USD","1.00","USD","-"
"TTWO","TAKE TWO INTERACTIVE SOFTWARE INC","Communication","Equity","2,054,531.08","0.20","2,054,531.08","10,178.00","874054109","US8740541094","2122117","201.86","United States","NASDAQ","USD","1.00","USD","-"
"RUN","SUNRUN INC","Industrials","Equity","2,050,807.62","0.19","2,050,807.62","29,606.00","86771W105","US86771W1053","BYXB1Y8","69.27","United States","NASDAQ","USD","1.00","USD","-"
"PTC","PTC INC","Information Technology","Equity","2,047,781.24","0.19","2,047,781.24","17,062.00","69370C100","US69370C1009","B95N910","120.02","United States","NASDAQ","USD","1.00","USD","-"
"MELI","MERCADOLIBRE INC","Consumer Discretionary","Equity","2,042,487.81","0.19","2,042,487.81","1,179.00","58733R102","US58733R1023","B23X1H3","1,732.39","United States","NASDAQ","USD","1.00","USD","-"
"SNOW","SNOWFLAKE CLASS A","Information Technology","Equity","2,033,313.60","0.19","2,033,313.60","5,960.00","833445109","US8334451098","BN134B7","341.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TWTR","TWITTER INC","Communication","Equity","2,032,274.01","0.19","2,032,274.01","37,011.00","90184L102","US90184L1026","BFLR866","54.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SQ","SQUARE INC CLASS A","Information Technology","Equity","2,016,226.68","0.19","2,016,226.68","8,346.00","852234103","US8522341036","BYNZGK1","241.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TTD","TRADE DESK INC CLASS A","Information Technology","Equity","2,015,074.00","0.19","2,015,074.00","2,075.00","88339J105","US88339J1051","BD8FDD1","971.12","United States","NASDAQ","USD","1.00","USD","-"
"SNAP","SNAP INC CLASS A","Communication","Equity","2,010,934.45","0.19","2,010,934.45","38,605.00","83304A106","US83304A1060","BD8DJ71","52.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALXN","ALEXION PHARMACEUTICALS INC","Health Care","Equity","2,009,066.22","0.19","2,009,066.22","13,062.00","015351109","US0153511094","2036070","153.81","United States","NASDAQ","USD","1.00","USD","-"
"PAYC","PAYCOM SOFTWARE INC","Information Technology","Equity","2,006,570.82","0.19","2,006,570.82","4,314.00","70432V102","US70432V1026","BL95MY0","465.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ILMN","ILLUMINA INC","Health Care","Equity","1,988,716.56","0.19","1,988,716.56","5,361.00","452327109","US4523271090","2613990","370.96","United States","NASDAQ","USD","1.00","USD","-"
