Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"PAAS","PAN AMERICAN SILVER CORP","Materials","Equity","47,681,904.23","16.81","47,681,904.23","1,430,232.00","697900108","CA6979001089","2669272","33.34","Canada","Toronto Stock Exchange","USD","1.27","CAD","-"
"HL","HECLA MINING","Materials","Equity","22,487,626.24","7.93","22,487,626.24","3,644,672.00","422704106","US4227041062","2418601","6.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FR","FIRST MAJESTIC SILVER CORP","Materials","Equity","19,695,318.63","6.94","19,695,318.63","1,131,835.00","32076V103","CA32076V1031","2833583","17.40","Canada","Toronto Stock Exchange","USD","1.27","CAD","-"
"NEM","NEWMONT","Materials","Equity","16,337,460.72","5.76","16,337,460.72","277,188.00","651639106","US6516391066","2636607","58.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FRES","FRESNILLO PLC","Materials","Equity","16,291,287.06","5.74","16,291,287.06","1,152,762.00","-","GB00B2QPKJ12","B2QPKJ1","14.13","United Kingdom","London Stock Exchange","USD","0.72","GBP","-"
"PE&OLES*","INDUST PENOLES","Materials","Equity","14,695,867.66","5.18","14,695,867.66","964,145.00","S24482002","MXP554091415","2448200","15.24","Mexico","Bolsa Mexicana De Valores","USD","19.99","MXN","-"
"CDE","COEUR MINING INC","Materials","Equity","13,744,703.70","4.85","13,744,703.70","1,510,407.00","192108504","US1921085049","2208136","9.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ELD","ELDORADO GOLD CORP","Materials","Equity","11,821,709.55","4.17","11,821,709.55","907,593.00","284902509","CA2849025093","BHZJ5Y9","13.03","Canada","Toronto Stock Exchange","USD","1.27","CAD","-"
"MAG","MAG SILVER CORP","Materials","Equity","11,351,239.87","4.00","11,351,239.87","594,513.00","55903Q104","CA55903Q1046","2581332","19.09","Canada","Toronto Stock Exchange","USD","1.27","CAD","-"
"5857","ASAHI HOLDINGS INC","Materials","Equity","10,395,160.75","3.66","10,395,160.75","252,600.00","-","JP3116700000","B60DQZ7","41.15","Japan","Tokyo Stock Exchange","USD","104.98","JPY","-"
"FVI","FORTUNA SILVER MINES INC","Materials","Equity","9,971,251.31","3.52","9,971,251.31","1,302,104.00","349915108","CA3499151080","2383033","7.66","Canada","Toronto Stock Exchange","USD","1.27","CAD","-"
"NGD","NEW GOLD INC","Materials","Equity","8,053,684.28","2.84","8,053,684.28","4,548,005.00","644535106","CA6445351068","2826947","1.77","Canada","Toronto Stock Exchange","USD","1.27","CAD","-"
"SVM","SILVERCORP METALS INC","Materials","Equity","7,549,335.23","2.66","7,549,335.23","1,231,346.00","82835P103","CA82835P1036","2784261","6.13","Canada","Toronto Stock Exchange","USD","1.27","CAD","-"
"SIL","SILVERCREST METALS INC","Materials","Equity","7,409,338.16","2.61","7,409,338.16","782,569.00","828363101","CA8283631015","BYVY3D2","9.47","Canada","Toronto Stock Exchange","USD","1.27","CAD","-"
"HOC","HOCHSCHILD MINING PLC","Materials","Equity","7,296,909.97","2.57","7,296,909.97","2,423,688.00","-","GB00B1FW5029","B1FW502","3.01","United Kingdom","London Stock Exchange","USD","0.72","GBP","-"
"SEA","SEABRIDGE GOLD INC","Materials","Equity","7,039,656.82","2.48","7,039,656.82","379,974.00","811916105","CA8119161054","2246459","18.53","Canada","Toronto Stock Exchange","USD","1.27","CAD","-"
"DPM","DUNDEE PRECIOUS METALS CLASS A INC","Materials","Equity","6,782,317.42","2.39","6,782,317.42","1,039,519.00","265269209","CA2652692096","B00VD03","6.52","Canada","Toronto Stock Exchange","USD","1.27","CAD","-"
"EDR","ENDEAVOUR SILVER CORP","Materials","Equity","6,645,781.71","2.34","6,645,781.71","1,159,908.00","29258Y103","CA29258Y1034","2980003","5.73","Canada","Toronto Stock Exchange","USD","1.27","CAD","-"
"WPM","WHEATON PRECIOUS METALS CORP","Materials","Equity","6,458,672.63","2.28","6,458,672.63","160,815.00","962879102","CA9628791027","BF13KN5","40.16","Canada","Toronto Stock Exchange","USD","1.27","CAD","-"
"AEM","AGNICO EAGLE MINES LTD","Materials","Equity","5,820,475.21","2.05","5,820,475.21","87,314.00","008474108","CA0084741085","2009823","66.66","Canada","Toronto Stock Exchange","USD","1.27","CAD","-"
"LUG","LUNDIN GOLD INC","Materials","Equity","4,341,696.95","1.53","4,341,696.95","511,266.00","550371108","CA5503711080","BTKSSY6","8.49","Canada","Toronto Stock Exchange","USD","1.27","CAD","-"
"PG","PREMIER GOLD MINES LTD","Materials","Equity","4,019,803.73","1.42","4,019,803.73","1,566,737.00","74051D104","CA74051D1042","B1CF5B5","2.57","Canada","Toronto Stock Exchange","USD","1.27","CAD","-"
