Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"VOLTAS","VOLTAS LTD","Industrials","Equity","4,698,705.41","1.90","4,698,705.41","342,260.00","-","INE226A01021","B1FCQX2","13.73","India","National Stock Exchange Of India","USD","72.93","INR","-"
"CROMPTON","CROMPTON GREAVES CONSUMER ELECTRIC","Consumer Discretionary","Equity","4,209,154.15","1.70","4,209,154.15","748,612.00","-","INE299U01018","BD87BS8","5.62","India","National Stock Exchange Of India","USD","72.93","INR","-"
"CHOLAFIN","CHOLAMANDALAM INVESTMENT AND FINAN","Financials","Equity","4,033,848.27","1.63","4,033,848.27","652,147.00","-","INE121A01024","BJ9K2H4","6.19","India","National Stock Exchange Of India","USD","72.93","INR","-"
"ASHOKLEY","ASHOK LEYLAND LTD","Industrials","Equity","3,796,390.39","1.54","3,796,390.39","2,103,046.00","-","INE208A01029","B01NFT1","1.81","India","National Stock Exchange Of India","USD","72.93","INR","-"
"SRF","SRF LTD","Materials","Equity","3,486,849.30","1.41","3,486,849.30","45,671.00","S63749477","INE647A01010","6374947","76.35","India","National Stock Exchange Of India","USD","72.93","INR","-"
"MFSL","MAX FINANCIAL SERVICES LTD","Financials","Equity","3,229,851.35","1.31","3,229,851.35","329,071.00","-","INE180A01020","B1TJG95","9.82","India","National Stock Exchange Of India","USD","72.93","INR","-"
"ASTRAL","ASTRAL POLY TECHNIK LTD","Industrials","Equity","2,969,017.00","1.20","2,969,017.00","108,166.00","-","INE006I01046","BR2NB24","27.45","India","National Stock Exchange Of India","USD","72.93","INR","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","2,950,000.00","1.19","2,950,000.00","2,950,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","USD","-"
"MPHASIS","MPHASIS LTD","Information Technology","Equity","2,885,283.19","1.17","2,885,283.19","133,634.00","S61515938","INE356A01018","6151593","21.59","India","National Stock Exchange Of India","USD","72.93","INR","-"
"LICHSGFIN","LIC HOUSING FINANCE LTD","Financials","Equity","2,870,758.03","1.16","2,870,758.03","483,289.00","S61010260","INE115A01026","6101026","5.94","India","National Stock Exchange Of India","USD","72.93","INR","-"
"TATAPOWER","TATA POWER LTD","Utilities","Equity","2,750,945.00","1.11","2,750,945.00","2,294,145.00","-","INE245A01021","B6Z1L73","1.20","India","National Stock Exchange Of India","USD","72.93","INR","-"
"SUPREMEIND","SUPREME INDUSTRIES LTD","Materials","Equity","2,689,884.75","1.09","2,689,884.75","101,043.00","S61360731","INE195A01028","6136073","26.62","India","National Stock Exchange Of India","USD","72.93","INR","-"
"FEDERALBNK","FEDERAL BANK LTD","Financials","Equity","2,677,536.66","1.08","2,677,536.66","2,346,988.00","-","INE171A01029","BFT7KB7","1.14","India","National Stock Exchange Of India","USD","72.93","INR","-"
"JINDALSTEL","JINDAL STEEL AND POWER LTD","Materials","Equity","2,670,531.93","1.08","2,670,531.93","650,931.00","S67268169","INE749A01030","6726816","4.10","India","National Stock Exchange Of India","USD","72.93","INR","-"
"SUNDARMFIN","SUNDARAM FINANCE LTD","Financials","Equity","2,524,194.27","1.02","2,524,194.27","97,444.00","-","INE660A01013","B0L4LR4","25.90","India","National Stock Exchange Of India","USD","72.93","INR","-"
"INDIAMART","INDIAMART INTERMESH LTD","Industrials","Equity","2,491,872.16","1.01","2,491,872.16","18,580.00","-","INE933S01016","BKDX4P8","134.12","India","National Stock Exchange Of India","USD","72.93","INR","-"
"LAURUSLABS","LAURUS LABS LTD","Health Care","Equity","2,403,425.13","0.97","2,403,425.13","512,886.00","-","INE947Q01028","BMZ1CH2","4.69","India","National Stock Exchange Of India","USD","72.93","INR","-"
"IDFCFIRSTB","IDFC FIRST BANK LTD","Financials","Equity","2,397,394.01","0.97","2,397,394.01","3,619,854.00","-","INE092T01019","BYWZNK1","0.66","India","National Stock Exchange Of India","USD","72.93","INR","-"
"M&MFIN","MAHINDRA AND MAHINDRA FINANCIAL SE","Financials","Equity","2,390,018.46","0.97","2,390,018.46","985,030.00","-","INE774D01024","B8F8822","2.43","India","National Stock Exchange Of India","USD","72.93","INR","-"
