Ticker,Name,Type,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"WSM","WILLIAMS SONOMA INC","Equity","Consumer Discretionary","Equity","8,771,629.23","1.10","8,771,629.23","68,523.00","969904101","US9699041011","2967589","128.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMED","AMEDISYS INC","Equity","Health Care","Equity","8,706,928.59","1.09","8,706,928.59","28,597.00","023436108","US0234361089","2024332","304.47","United States","NASDAQ","USD","1.00","USD","-"
"DECK","DECKERS OUTDOOR CORP","Equity","Consumer Discretionary","Equity","8,167,930.14","1.02","8,167,930.14","24,681.00","243537107","US2435371073","2267278","330.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SAM","BOSTON BEER INC CLASS A","Equity","Consumer Staples","Equity","7,643,161.05","0.96","7,643,161.05","8,285.00","100557107","US1005571070","2113393","922.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CHE","CHEMED CORP","Equity","Health Care","Equity","7,595,016.30","0.95","7,595,016.30","14,022.00","16359R103","US16359R1032","2190084","541.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EHC","ENCOMPASS HEALTH CORP","Equity","Health Care","Equity","7,588,181.59","0.95","7,588,181.59","87,593.00","29261A100","US29261A1007","BYX2YJ7","86.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LAD","LITHIA MOTORS INC CLASS A","Equity","Consumer Discretionary","Equity","7,499,717.91","0.94","7,499,717.91","22,923.00","536797103","US5367971034","2515030","327.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BLDR","BUILDERS FIRSTSOURCE INC","Equity","Industrials","Equity","7,318,584.13","0.92","7,318,584.13","176,479.00","12008R107","US12008R1077","B0BV2M7","41.47","United States","NASDAQ","USD","1.00","USD","-"
"RS","RELIANCE STEEL & ALUMINUM","Equity","Materials","Equity","7,213,061.96","0.90","7,213,061.96","56,159.00","759509102","US7595091023","2729068","128.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"QDEL","QUIDEL CORP","Equity","Health Care","Equity","7,069,347.90","0.89","7,069,347.90","33,255.00","74838J101","US74838J1016","2717591","212.58","United States","NASDAQ","USD","1.00","USD","-"
"CIEN","CIENA CORP","Equity","Information Technology","Equity","7,035,276.12","0.88","7,035,276.12","133,143.00","171779309","US1717793095","B1FLZ21","52.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RH","RH","Equity","Consumer Discretionary","Equity","6,827,492.04","0.86","6,827,492.04","13,593.00","74967X103","US74967X1037","BYXR425","502.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UTHR","UNITED THERAPEUTICS CORP","Equity","Health Care","Equity","6,695,828.06","0.84","6,695,828.06","39,118.00","91307C102","US91307C1027","2430412","171.17","United States","NASDAQ","USD","1.00","USD","-"
"MANH","MANHATTAN ASSOCIATES INC","Equity","Information Technology","Equity","6,613,849.50","0.83","6,613,849.50","55,950.00","562750109","US5627501092","2239471","118.21","United States","NASDAQ","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Money Market","Cash and/or Derivatives","Money Market","6,600,000.00","0.83","6,600,000.00","6,600,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","USD","-"
"PWR","QUANTA SERVICES INC","Equity","Industrials","Equity","6,283,495.09","0.79","6,283,495.09","79,267.00","74762E102","US74762E1029","2150204","79.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BLD","TOPBUILD CORP","Equity","Consumer Discretionary","Equity","6,277,199.34","0.79","6,277,199.34","29,138.00","89055F103","US89055F1030","BZ0P3W2","215.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LHCG","LHC GROUP INC","Equity","Health Care","Equity","5,743,579.52","0.72","5,743,579.52","26,434.00","50187A107","US50187A1079","B06DT50","217.28","United States","NASDAQ","USD","1.00","USD","-"
"TWST","TWIST BIOSCIENCE CORP","Equity","Health Care","Equity","5,727,077.86","0.72","5,727,077.86","27,538.00","90184D100","US90184D1000","BGKG6G7","207.97","United States","NASDAQ","USD","1.00","USD","-"
"HAE","HAEMONETICS CORP","Equity","Health Care","Equity","5,562,797.92","0.70","5,562,797.92","44,656.00","405024100","US4050241003","2401195","124.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JBL","JABIL INC","Equity","Information Technology","Equity","5,432,255.64","0.68","5,432,255.64","119,364.00","466313103","US4663131039","2471789","45.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DLB","DOLBY LABORATORIES INC CLASS A","Equity","Information Technology","Equity","5,393,304.00","0.68","5,393,304.00","56,700.00","25659T107","US25659T1079","B04NJM9","95.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FAF","FIRST AMERICAN FINANCIAL CORP","Equity","Financials","Equity","5,376,945.98","0.67","5,376,945.98","98,227.00","31847R102","US31847R1023","B4NFPK4","54.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRUS","CIRRUS LOGIC INC","Equity","Information Technology","Equity","5,165,930.52","0.65","5,165,930.52","51,433.00","172755100","US1727551004","2197308","100.44","United States","NASDAQ","USD","1.00","USD","-"
"LSCC","LATTICE SEMICONDUCTOR CORP","Equity","Information Technology","Equity","5,115,411.78","0.64","5,115,411.78","118,577.00","518415104","US5184151042","2506658","43.14","United States","NASDAQ","USD","1.00","USD","-"
"NATI","NATIONAL INSTRUMENTS CORP","Equity","Information Technology","Equity","5,022,832.27","0.63","5,022,832.27","109,981.00","636518102","US6365181022","2645078","45.67","United States","NASDAQ","USD","1.00","USD","-"
"RBC","REGAL BELOIT CORP","Equity","Industrials","Equity","4,867,345.56","0.61","4,867,345.56","35,742.00","758750103","US7587501039","2730082","136.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"POWI","POWER INTEGRATIONS INC","Equity","Information Technology","Equity","4,848,780.08","0.61","4,848,780.08","52,567.00","739276103","US7392761034","2133045","92.24","United States","NASDAQ","USD","1.00","USD","-"
"JHG","JANUS HENDERSON GROUP PLC","Equity","Financials","Equity","4,752,985.44","0.60","4,752,985.44","137,648.00","-","JE00BYPZJM29","BYPZJQ6","34.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMG","AFFILIATED MANAGERS GROUP INC","Equity","Financials","Equity","4,658,054.40","0.58","4,658,054.40","41,004.00","008252108","US0082521081","2127899","113.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNM","UNUM","Equity","Financials","Equity","4,638,335.78","0.58","4,638,335.78","179,294.00","91529Y106","US91529Y1064","2433842","25.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OMCL","OMNICELL INC","Equity","Health Care","Equity","4,622,371.52","0.58","4,622,371.52","37,666.00","68213N109","US68213N1090","2789523","122.72","United States","NASDAQ","USD","1.00","USD","-"
"SAIA","SAIA INC","Equity","Industrials","Equity","4,610,545.76","0.58","4,610,545.76","23,032.00","78709Y105","US78709Y1055","2982399","200.18","United States","NASDAQ","USD","1.00","USD","-"
"APPS","DIGITAL TURBINE INC","Equity","Information Technology","Equity","4,469,209.10","0.56","4,469,209.10","69,430.00","25400W102","US25400W1027","BVFNZL6","64.37","United States","NASDAQ","USD","1.00","USD","-"
"ESNT","ESSENT GROUP LTD","Equity","Financials","Equity","4,448,297.88","0.56","4,448,297.88","91,983.00","-","BMG3198U1027","BFWGXR8","48.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EXPO","EXPONENT INC","Equity","Industrials","Equity","4,400,489.82","0.55","4,400,489.82","45,469.00","30214U102","US30214U1025","2330318","96.78","United States","NASDAQ","USD","1.00","USD","-"
"GMED","GLOBUS MEDICAL INC CLASS A","Equity","Health Care","Equity","4,336,505.28","0.54","4,336,505.28","66,348.00","379577208","US3795772082","B7D65M0","65.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EBS","EMERGENT BIOSOLUTIONS INC","Equity","Health Care","Equity","4,274,240.88","0.54","4,274,240.88","39,624.00","29089Q105","US29089Q1058","B1HJLW5","107.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AL","AIR LEASE CORP CLASS A","Equity","Industrials","Equity","4,251,899.96","0.53","4,251,899.96","95,206.00","00912X302","US00912X3026","B3XS562","44.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EVR","EVERCORE INC CLASS A","Equity","Financials","Equity","4,237,445.56","0.53","4,237,445.56","35,753.00","29977A105","US29977A1051","B1BHXZ2","118.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FL","FOOT LOCKER INC","Equity","Consumer Discretionary","Equity","4,168,389.72","0.52","4,168,389.72","87,351.00","344849104","US3448491049","2980906","47.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AYI","ACUITY BRANDS INC","Equity","Industrials","Equity","4,138,936.15","0.52","4,138,936.15","34,913.00","00508Y102","US00508Y1029","2818461","118.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMS","MAXIMUS INC","Equity","Information Technology","Equity","4,123,281.75","0.52","4,123,281.75","54,005.00","577933104","US5779331041","2018669","76.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
