Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"IWM","ISHARES RUSSELL 2000 ETF","Financials","Equity","110,805,169.14","45.21","110,805,169.14","488,947.00","464287655","US4642876555","2622059","226.62","United States","NYSE Arca","USD","1.00","USD","-"
"Z","ZILLOW GROUP INC CLASS C","Communication","Equity","1,094,354.00","0.45","1,094,354.00","5,641.00","98954M200","US98954M2008","BYXJF62","194.00","United States","NASDAQ","USD","1.00","USD","-"
"ETSY","ETSY INC","Consumer Discretionary","Equity","1,041,186.30","0.42","1,041,186.30","4,606.00","29786A106","US29786A1060","BWTN5N1","226.05","United States","NASDAQ","USD","1.00","USD","-"
"TER","TERADYNE INC","Information Technology","Equity","871,683.20","0.36","871,683.20","6,455.00","880770102","US8807701029","2884183","135.04","United States","NASDAQ","USD","1.00","USD","-"
"ENPH","ENPHASE ENERGY INC","Information Technology","Equity","817,024.32","0.33","817,024.32","4,104.00","29355A107","US29355A1079","B65SQW4","199.08","United States","NASDAQ","USD","1.00","USD","-"
"MDB","MONGODB INC CLASS A","Information Technology","Equity","816,248.32","0.33","816,248.32","1,952.00","60937P106","US60937P1066","BF2FJ99","418.16","United States","NASDAQ","USD","1.00","USD","-"
"CTLT","CATALENT INC","Health Care","Equity","779,082.00","0.32","779,082.00","6,334.00","148806102","US1488061029","BP96PQ4","123.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GNRC","GENERAC HOLDINGS INC","Industrials","Equity","753,606.24","0.31","753,606.24","2,384.00","368736104","US3687361044","B6197Q2","316.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NVCR","NOVOCURE LTD","Health Care","Equity","719,321.32","0.29","719,321.32","3,929.00","-","JE00BYSS4X48","BYSS4X4","183.08","United States","NASDAQ","USD","1.00","USD","-"
"STNE","STONECO LTD CLASS A","Information Technology","Equity","710,681.40","0.29","710,681.40","7,865.00","-","KYG851581069","BGKG6M3","90.36","United States","NASDAQ","USD","1.00","USD","-"
"ALB","ALBEMARLE CORP","Materials","Equity","709,893.85","0.29","709,893.85","4,441.00","012653101","US0126531013","2046853","159.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TRMB","TRIMBLE INC","Information Technology","Equity","709,802.72","0.29","709,802.72","9,718.00","896239100","US8962391004","2903958","73.04","United States","NASDAQ","USD","1.00","USD","-"
"ZEN","ZENDESK INC","Information Technology","Equity","697,399.25","0.28","697,399.25","4,495.00","98936J101","US98936J1016","BMH0MR7","155.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HUBS","HUBSPOT INC","Information Technology","Equity","697,292.40","0.28","697,292.40","1,615.00","443573100","US4435731009","BR4T3B3","431.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HZNP","HORIZON THERAPEUTICS PUBLIC PLC","Health Care","Equity","696,477.15","0.28","696,477.15","7,641.00","-","IE00BQPVQZ61","BQPVQZ6","91.15","United States","NASDAQ","USD","1.00","USD","-"
"MPWR","MONOLITHIC POWER SYSTEMS INC","Information Technology","Equity","652,391.84","0.27","652,391.84","1,696.00","609839105","US6098391054","B01Z7J1","384.67","United States","NASDAQ","USD","1.00","USD","-"
"NVR","NVR INC","Consumer Discretionary","Equity","645,041.21","0.26","645,041.21","137.00","62944T105","US62944T1051","2637785","4,708.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PKI","PERKINELMER INC","Health Care","Equity","643,722.30","0.26","643,722.30","4,329.00","714046109","US7140461093","2305844","148.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ON","ON SEMICONDUCTOR CORP","Information Technology","Equity","639,150.45","0.26","639,150.45","15,801.00","682189105","US6821891057","2583576","40.45","United States","NASDAQ","USD","1.00","USD","-"
"SEDG","SOLAREDGE TECHNOLOGIES INC","Information Technology","Equity","630,466.68","0.26","630,466.68","1,906.00","83417M104","US83417M1045","BWC52Q6","330.78","United States","NASDAQ","USD","1.00","USD","-"
"ZS","ZSCALER INC","Information Technology","Equity","624,314.89","0.25","624,314.89","2,801.00","98980G102","US98980G1022","BZ00V34","222.89","United States","NASDAQ","USD","1.00","USD","-"
"PCG","PG&E CORP","Utilities","Equity","619,956.00","0.25","619,956.00","51,663.00","69331C108","US69331C1080","2689560","12.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALLY","ALLY FINANCIAL INC","Financials","Equity","598,079.96","0.24","598,079.96","14,566.00","02005N100","US02005N1000","B72XK05","41.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CGNX","COGNEX CORP","Information Technology","Equity","585,936.48","0.24","585,936.48","6,522.00","192422103","US1924221039","2208288","89.84","United States","NASDAQ","USD","1.00","USD","-"
"PTC","PTC INC","Information Technology","Equity","585,373.75","0.24","585,373.75","4,075.00","69370C100","US69370C1009","B95N910","143.65","United States","NASDAQ","USD","1.00","USD","-"
"TECH","BIO TECHNE CORP","Health Care","Equity","582,259.48","0.24","582,259.48","1,474.00","09073M104","US09073M1045","BSHZ3Q0","395.02","United States","NASDAQ","USD","1.00","USD","-"
"AVTR","AVANTOR INC","Health Care","Equity","582,150.24","0.24","582,150.24","19,251.00","05352A100","US05352A1007","BJLT387","30.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VICI","VICI PPTYS INC","Real Estate","Equity","564,243.68","0.23","564,243.68","20,867.00","925652109","US9256521090","BYWH073","27.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AVLR","AVALARA INC","Information Technology","Equity","562,722.30","0.23","562,722.30","3,222.00","05338G106","US05338G1067","BZ1NVP4","174.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AVY","AVERY DENNISON CORP","Materials","Equity","561,513.04","0.23","561,513.04","3,239.00","053611109","US0536111091","2066408","173.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","560,000.00","0.23","560,000.00","560,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","USD","-"
"J","JACOBS ENGINEERING GROUP INC","Industrials","Equity","559,820.00","0.23","559,820.00","4,868.00","469814107","US4698141078","2469052","115.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CREE","CREE INC","Information Technology","Equity","551,090.88","0.22","551,090.88","4,296.00","225447101","US2254471012","2232351","128.28","United States","NASDAQ","USD","1.00","USD","-"
"CRL","CHARLES RIVER LABORATORIES INTERNA","Health Care","Equity","551,021.25","0.22","551,021.25","1,905.00","159864107","US1598641074","2604336","289.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NUAN","NUANCE COMMUNICATIONS INC","Information Technology","Equity","539,703.58","0.22","539,703.58","10,954.00","67020Y100","US67020Y1001","2402121","49.27","United States","NASDAQ","USD","1.00","USD","-"
"GH","GUARDANT HEALTH INC","Health Care","Equity","535,899.04","0.22","535,899.04","3,184.00","40131M109","US40131M1099","BFXC911","168.31","United States","NASDAQ","USD","1.00","USD","-"
"BILL","BILL COM HOLDINGS INC","Information Technology","Equity","529,682.10","0.22","529,682.10","2,845.00","090043100","US0900431000","BKDS4H5","186.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ENTG","ENTEGRIS INC","Information Technology","Equity","518,147.08","0.21","518,147.08","5,228.00","29362U104","US29362U1043","2599700","99.11","United States","NASDAQ","USD","1.00","USD","-"
"PHM","PULTEGROUP INC","Consumer Discretionary","Equity","515,795.18","0.21","515,795.18","10,418.00","745867101","US7458671010","2708841","49.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BKI","BLACK KNIGHT INC","Information Technology","Equity","513,790.86","0.21","513,790.86","5,907.00","09215C105","US09215C1053","BDG75V1","86.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FICO","FAIR ISAAC CORP","Information Technology","Equity","510,778.38","0.21","510,778.38","1,086.00","303250104","US3032501047","2330299","470.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CHGG","CHEGG INC","Consumer Discretionary","Equity","501,109.07","0.20","501,109.07","4,711.00","163092109","US1630921096","BG6N6K6","106.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"POOL","POOL CORP","Consumer Discretionary","Equity","499,783.35","0.20","499,783.35","1,515.00","73278L105","US73278L1052","2781585","329.89","United States","NASDAQ","USD","1.00","USD","-"
"AXON","AXON ENTERPRISE INC","Industrials","Equity","498,395.99","0.20","498,395.99","2,449.00","05464C101","US05464C1018","BDT5S35","203.51","United States","NASDAQ","USD","1.00","USD","-"
"MPW","MEDICAL PROPERTIES TRUST REIT INC","Real Estate","Equity","497,757.96","0.20","497,757.96","21,947.00","58463J304","US58463J3041","B0JL5L9","22.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CCK","CROWN HOLDINGS INC","Materials","Equity","489,592.10","0.20","489,592.10","5,063.00","228368106","US2283681060","2427986","96.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FBHS","FORTUNE BRANDS HOME AND SECURITY I","Industrials","Equity","485,826.66","0.20","485,826.66","5,373.00","34964C106","US34964C1062","B3MC7D6","90.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"QGEN","QIAGEN NV","Health Care","Equity","481,440.19","0.20","481,440.19","8,771.00","N72482123","NL0012169213","BYXS688","54.89","Germany","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PKG","PACKAGING CORP OF AMERICA","Materials","Equity","477,327.63","0.19","477,327.63","3,639.00","695156109","US6951561090","2504566","131.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MOH","MOLINA HEALTHCARE INC","Health Care","Equity","475,339.48","0.19","475,339.48","2,198.00","60855R100","US60855R1005","2212706","216.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TREX","TREX INC","Industrials","Equity","466,856.00","0.19","466,856.00","4,489.00","89531P105","US89531P1057","2483074","104.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GGG","GRACO INC","Industrials","Equity","463,740.16","0.19","463,740.16","6,448.00","384109104","US3841091040","2380443","71.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FDS","FACTSET RESEARCH SYSTEMS INC","Financials","Equity","460,804.42","0.19","460,804.42","1,453.00","303075105","US3030751057","2329770","317.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
