Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","487,403,120.34","8.43","487,403,120.34","8,280,719.00","458140100","US4581401001","2463247","58.86","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","468,635,149.50","8.10","468,635,149.50","996,990.00","11135F101","US11135F1012","BDZ78H9","470.05","United States","NASDAQ","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","441,081,968.75","7.63","441,081,968.75","746,875.00","67066G104","US67066G1040","2379504","590.57","United States","NASDAQ","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","432,925,418.40","7.49","432,925,418.40","2,482,940.00","882508104","US8825081040","2885409","174.36","United States","NASDAQ","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","395,829,258.00","6.84","395,829,258.00","2,720,476.00","747525103","US7475251036","2714923","145.50","United States","NASDAQ","USD","1.00","USD","-"
"TSM","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","275,849,796.26","4.77","275,849,796.26","2,063,354.00","874039100","US8740391003","2113382","133.69","Taiwan","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","257,221,624.95","4.45","257,221,624.95","3,123,517.00","595112103","US5951121038","2588184","82.35","United States","NASDAQ","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","256,980,289.20","4.44","256,980,289.20","2,427,090.00","038222105","US0382221051","2046552","105.88","United States","NASDAQ","USD","1.00","USD","-"
"NXPI","NXP SEMICONDUCTORS NV","Information Technology","Equity","237,439,083.40","4.11","237,439,083.40","1,263,646.00","-","NL0009538784","B505PN7","187.90","United States","NASDAQ","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","235,499,722.50","4.07","235,499,722.50","442,253.00","512807108","US5128071082","2502247","532.50","United States","NASDAQ","USD","1.00","USD","-"
"KLAC","KLA CORP","Information Technology","Equity","231,119,164.24","4.00","231,119,164.24","776,584.00","482480100","US4824801009","2480138","297.61","United States","NASDAQ","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","220,552,826.34","3.81","220,552,826.34","1,439,358.00","032654105","US0326541051","2032067","153.23","United States","NASDAQ","USD","1.00","USD","-"
"ASML","ASML HOLDING ADR REPRESENTING NV","Information Technology","Equity","215,876,814.01","3.73","215,876,814.01","380,809.00","-","USN070592100","B908F01","566.89","Netherlands","NASDAQ","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","199,516,079.90","3.45","199,516,079.90","2,160,434.00","007903107","US0079031078","2007849","92.35","United States","NASDAQ","USD","1.00","USD","-"
