Ticker,Name,Type,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Equity","Information Technology","Equity","312,493.79","5.90","312,493.79","2,317.00","037833100","US0378331005","2046251","134.87","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Equity","Information Technology","Equity","299,464.40","5.66","299,464.40","1,336.00","594918104","US5949181045","2588173","224.15","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Equity","Consumer Discretionary","Equity","195,998.00","3.70","195,998.00","59.00","023135106","US0231351067","2000019","3,322.00","United States","NASDAQ","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Equity","Health Care","Equity","96,889.80","1.83","96,889.80","1,190.00","58933Y105","US58933Y1055","2778844","81.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Equity","Health Care","Equity","82,002.48","1.55","82,002.48","532.00","478160104","US4781601046","2475833","154.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BAH","BOOZ ALLEN HAMILTON HOLDING CORP C","Equity","Information Technology","Equity","70,124.88","1.32","70,124.88","804.00","099502106","US0995021062","B5367T7","87.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LLY","ELI LILLY","Equity","Health Care","Equity","63,133.82","1.19","63,133.82","379.00","532457108","US5324571083","2516152","166.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Equity","Health Care","Equity","62,924.70","1.19","62,924.70","601.00","00287Y109","US00287Y1091","B92SR70","104.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EVR","EVERCORE INC CLASS A","Equity","Financials","Equity","61,360.16","1.16","61,360.16","556.00","29977A105","US29977A1051","B1BHXZ2","110.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MSCI","MSCI INC","Equity","Financials","Equity","61,274.37","1.16","61,274.37","141.00","55354G100","US55354G1004","B2972D2","434.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Equity","Consumer Discretionary","Equity","60,425.13","1.14","60,425.13","227.00","437076102","US4370761029","2434209","266.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Equity","Information Technology","Equity","59,278.86","1.12","59,278.86","171.00","57636Q104","US57636Q1040","B121557","346.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VNT","VONTIER CORP","Equity","Information Technology","Equity","58,758.64","1.11","58,758.64","1,798.00","928881101","US9288811014","BH4GV32","32.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMT","WALMART INC","Equity","Consumer Staples","Equity","55,266.90","1.04","55,266.90","383.00","931142103","US9311421039","2936921","144.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACI","ALBERTSONS COMPANY INC CLASS A","Equity","Consumer Staples","Equity","52,815.36","1.00","52,815.36","3,174.00","013091103","US0130911037","BYNQ369","16.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
