Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"MSFT","MICROSOFT CORP","Information Technology","Equity","136,996,938.06","5.21","136,996,938.06","559,194.00","594918104","US5949181045","2588173","244.99","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","135,373,790.36","5.15","135,373,790.36","1,000,028.00","037833100","US0378331005","2046251","135.37","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","83,440,854.84","3.18","83,440,854.84","39,828.00","02079K305","US02079K3059","BYVY8G0","2,095.03","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","52,471,619.28","2.00","52,471,619.28","64,294.00","88160R101","US88160R1014","B616C79","816.12","United States","NASDAQ","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","49,344,125.50","1.88","49,344,125.50","191,650.00","G1151C101","IE00B4BNMY34","B4BNMY3","257.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","45,331,813.52","1.73","45,331,813.52","163,352.00","437076102","US4370761029","2434209","277.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FB","FACEBOOK CLASS A INC","Communication","Equity","44,277,333.50","1.69","44,277,333.50","163,687.00","30303M102","US30303M1027","B7TL820","270.50","United States","NASDAQ","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","43,448,666.90","1.65","43,448,666.90","72,602.00","67066G104","US67066G1040","2379504","598.45","United States","NASDAQ","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","40,378,433.00","1.54","40,378,433.00","55,850.00","09247X101","US09247X1019","2494504","722.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRM","SALESFORCE.COM INC","Information Technology","Equity","39,374,288.59","1.50","39,374,288.59","163,807.00","79466L302","US79466L3024","2310525","240.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMM","3M","Industrials","Equity","37,557,736.40","1.43","37,557,736.40","210,172.00","88579Y101","US88579Y1010","2595708","178.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","37,091,251.08","1.41","37,091,251.08","17,628.00","02079K107","US02079K1079","BYY88Y7","2,104.11","United States","NASDAQ","USD","1.00","USD","-"
"A","AGILENT TECHNOLOGIES INC","Health Care","Equity","35,630,143.92","1.36","35,630,143.92","278,404.00","00846U101","US00846U1016","2520153","127.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","32,293,475.28","1.23","32,293,475.28","253,044.00","742718109","US7427181091","2704407","127.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","32,079,535.84","1.22","32,079,535.84","239,632.00","713448108","US7134481081","2681511","133.87","United States","NASDAQ","USD","1.00","USD","-"
"EXPD","EXPEDITORS INTERNATIONAL OF WASHIN","Industrials","Equity","31,821,081.82","1.21","31,821,081.82","329,479.00","302130109","US3021301094","2325507","96.58","United States","NASDAQ","USD","1.00","USD","-"
"CMI","CUMMINS INC","Industrials","Equity","30,214,952.59","1.15","30,214,952.59","123,847.00","231021106","US2310211063","2240202","243.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Industrials","Equity","29,960,757.24","1.14","29,960,757.24","559,178.00","-","IE00BY7QL619","BY7QL61","53.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","29,206,756.12","1.11","29,206,756.12","225,326.00","025816109","US0258161092","2026082","129.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMC","MARSH & MCLENNAN INC","Financials","Equity","29,102,625.60","1.11","29,102,625.60","258,002.00","571748102","US5717481023","2567741","112.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","28,452,835.92","1.08","28,452,835.92","57,038.00","00724F101","US00724F1012","2008154","498.84","United States","NASDAQ","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","28,273,887.07","1.08","28,273,887.07","597,883.00","17275R102","US17275R1023","2198163","47.29","United States","NASDAQ","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","27,030,987.60","1.03","27,030,987.60","231,628.00","038222105","US0382221051","2046552","116.70","United States","NASDAQ","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","26,849,712.96","1.02","26,849,712.96","149,464.00","882508104","US8825081040","2885409","179.64","United States","NASDAQ","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","26,006,370.25","0.99","26,006,370.25","138,575.00","254687106","US2546871060","2270726","187.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ECL","ECOLAB INC","Materials","Equity","25,625,035.08","0.98","25,625,035.08","116,541.00","278865100","US2788651006","2304227","219.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PYPL","PAYPAL HOLDINGS INC","Information Technology","Equity","25,130,213.25","0.96","25,130,213.25","84,225.00","70450Y103","US70450Y1038","BYW36M8","298.37","United States","NASDAQ","USD","1.00","USD","-"
"PLD","PROLOGIS REIT INC","Real Estate","Equity","21,495,992.49","0.82","21,495,992.49","199,647.00","74340W103","US74340W1036","B44WZD7","107.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","21,365,368.22","0.81","21,365,368.22","345,662.00","458140100","US4581401001","2463247","61.81","United States","NASDAQ","USD","1.00","USD","-"
"INTU","INTUIT INC","Information Technology","Equity","21,083,268.73","0.80","21,083,268.73","50,927.00","461202103","US4612021034","2459020","413.99","United States","NASDAQ","USD","1.00","USD","-"
"ES","EVERSOURCE ENERGY","Utilities","Equity","20,710,874.07","0.79","20,710,874.07","243,171.00","30040W108","US30040W1080","BVVN4Q8","85.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADSK","AUTODESK INC","Information Technology","Equity","20,442,854.30","0.78","20,442,854.30","66,995.00","052769106","US0527691069","2065159","305.14","United States","NASDAQ","USD","1.00","USD","-"
"XYL","XYLEM INC","Industrials","Equity","20,264,489.28","0.77","20,264,489.28","204,444.00","98419M100","US98419M1009","B3P2CN8","99.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","20,245,161.87","0.77","20,245,161.87","85,347.00","031162100","US0311621009","2023607","237.21","United States","NASDAQ","USD","1.00","USD","-"
"V","VISA INC CLASS A","Information Technology","Equity","20,091,072.40","0.76","20,091,072.40","95,690.00","92826C839","US92826C8394","B2PZN04","209.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Information Technology","Equity","19,906,216.00","0.76","19,906,216.00","58,376.00","57636Q104","US57636Q1040","B121557","341.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","19,765,175.20","0.75","19,765,175.20","163,619.00","459200101","US4592001014","2005973","120.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","19,448,475.00","0.74","19,448,475.00","259,313.00","58933Y105","US58933Y1055","2778844","75.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","19,221,952.14","0.73","19,221,952.14","379,206.00","191216100","US1912161007","2206657","50.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ZTS","ZOETIS INC CLASS A","Health Care","Equity","18,282,918.99","0.70","18,282,918.99","109,669.00","98978V103","US98978V1035","B95WG16","166.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HSIC","HENRY SCHEIN INC","Health Care","Equity","18,031,538.16","0.69","18,031,538.16","259,596.00","806407102","US8064071025","2416962","69.46","United States","NASDAQ","USD","1.00","USD","-"
"XEL","XCEL ENERGY INC","Utilities","Equity","17,549,300.26","0.67","17,549,300.26","285,169.00","98389B100","US98389B1008","2614807","61.54","United States","NASDAQ","USD","1.00","USD","-"
"MTD","METTLER TOLEDO INC","Health Care","Equity","17,349,240.58","0.66","17,349,240.58","14,213.00","592688105","US5926881054","2126249","1,220.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NTRS","NORTHERN TRUST CORP","Financials","Equity","17,335,645.88","0.66","17,335,645.88","176,642.00","665859104","US6658591044","2648668","98.14","United States","NASDAQ","USD","1.00","USD","-"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","16,618,147.65","0.63","16,618,147.65","110,105.00","-","IE00BK9ZQ967","BK9ZQ96","150.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BBY","BEST BUY INC","Consumer Discretionary","Equity","16,516,618.56","0.63","16,516,618.56","137,056.00","086516101","US0865161014","2094670","120.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IDXX","IDEXX LABORATORIES INC","Health Care","Equity","16,511,739.84","0.63","16,511,739.84","30,348.00","45168D104","US45168D1046","2459202","544.08","United States","NASDAQ","USD","1.00","USD","-"
"HPE","HEWLETT PACKARD ENTERPRISE","Information Technology","Equity","16,160,445.32","0.62","16,160,445.32","1,123,814.00","42824C109","US42824C1099","BYVYWS0","14.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EQIX","EQUINIX REIT INC","Real Estate","Equity","16,122,624.34","0.61","16,122,624.34","22,714.00","29444U700","US29444U7000","BVLZX12","709.81","United States","NASDAQ","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","15,955,420.13","0.61","15,955,420.13","80,587.00","149123101","US1491231015","2180201","197.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APTV","APTIV PLC","Consumer Discretionary","Equity","15,899,069.12","0.61","15,899,069.12","101,728.00","G6095L109","JE00B783TY65","B783TY6","156.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BG","BUNGE LTD","Consumer Staples","Equity","15,756,000.00","0.60","15,756,000.00","202,000.00","G16962105","BMG169621056","2788713","78.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","15,680,554.47","0.60","15,680,554.47","234,423.00","375558103","US3755581036","2369174","66.89","United States","NASDAQ","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","15,594,246.92","0.59","15,594,246.92","28,021.00","64110L106","US64110L1061","2857817","556.52","United States","NASDAQ","USD","1.00","USD","-"
"K","KELLOGG","Consumer Staples","Equity","15,545,906.02","0.59","15,545,906.02","270,929.00","487836108","US4878361082","2486813","57.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","15,166,514.52","0.58","15,166,514.52","321,597.00","20825C104","US20825C1045","2685717","47.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CBRE","CBRE GROUP INC CLASS A","Real Estate","Equity","14,975,519.51","0.57","14,975,519.51","209,947.00","12504L109","US12504L1098","B6WVMH3","71.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","14,947,786.88","0.57","14,947,786.88","69,856.00","92532F100","US92532F1003","2931034","213.98","United States","NASDAQ","USD","1.00","USD","-"
"EW","EDWARDS LIFESCIENCES CORP","Health Care","Equity","14,613,358.60","0.56","14,613,358.60","166,724.00","28176E108","US28176E1082","2567116","87.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","14,326,452.56","0.55","14,326,452.56","137,174.00","00287Y109","US00287Y1091","B92SR70","104.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","13,941,074.72","0.53","13,941,074.72","78,692.00","548661107","US5486611073","2536763","177.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WAT","WATER CORP","Health Care","Equity","13,855,624.20","0.53","13,855,624.20","48,796.00","941848103","US9418481035","2937689","283.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CDNS","CADENCE DESIGN SYSTEMS INC","Information Technology","Equity","13,686,927.36","0.52","13,686,927.36","93,952.00","127387108","US1273871087","2302232","145.68","United States","NASDAQ","USD","1.00","USD","-"
