Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"MSFT","MICROSOFT CORP","Information Technology","Equity","324,337,361.20","10.40","324,337,361.20","1,323,880.00","594918104","US5949181045","2588173","244.99","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","116,344,658.34","3.73","116,344,658.34","55,294.00","02079K107","US02079K1079","BYY88Y7","2,104.11","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","115,920,104.93","3.72","115,920,104.93","55,331.00","02079K305","US02079K3059","BYVY8G0","2,095.03","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","112,088,369.16","3.59","112,088,369.16","137,343.00","88160R101","US88160R1014","B616C79","816.12","United States","NASDAQ","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","80,762,315.08","2.59","80,762,315.08","484,826.00","478160104","US4781601046","2475833","166.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","67,995,290.55","2.18","67,995,290.55","113,619.00","67066G104","US67066G1040","2379504","598.45","United States","NASDAQ","USD","1.00","USD","-"
"V","VISA INC CLASS A","Information Technology","Equity","65,186,701.12","2.09","65,186,701.12","310,472.00","92826C839","US92826C8394","B2PZN04","209.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","62,450,007.55","2.00","62,450,007.55","332,765.00","254687106","US2546871060","2270726","187.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","58,508,154.72","1.88","58,508,154.72","458,456.00","742718109","US7427181091","2704407","127.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Information Technology","Equity","56,092,454.00","1.80","56,092,454.00","164,494.00","57636Q104","US57636Q1040","B121557","341.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","55,009,419.75","1.76","55,009,419.75","198,225.00","437076102","US4370761029","2434209","277.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","48,408,108.56","1.55","48,408,108.56","783,176.00","458140100","US4581401001","2463247","61.81","United States","NASDAQ","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","44,062,038.36","1.41","44,062,038.36","88,329.00","00724F101","US00724F1012","2008154","498.84","United States","NASDAQ","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","41,300,887.80","1.32","41,300,887.80","762,009.00","92343V104","US92343V1044","2090571","54.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRM","SALESFORCE.COM INC","Information Technology","Equity","40,279,762.38","1.29","40,279,762.38","167,574.00","79466L302","US79466L3024","2310525","240.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","38,090,544.29","1.22","38,090,544.29","751,441.00","191216100","US1912161007","2206657","50.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","36,769,015.38","1.18","36,769,015.38","777,522.00","17275R102","US17275R1023","2198163","47.29","United States","NASDAQ","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","34,931,325.00","1.12","34,931,325.00","465,751.00","58933Y105","US58933Y1055","2778844","75.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","34,133,637.12","1.09","34,133,637.12","254,976.00","713448108","US7134481081","2681511","133.87","United States","NASDAQ","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","33,941,746.72","1.09","33,941,746.72","324,988.00","00287Y109","US00287Y1091","B92SR70","104.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NKE","NIKE INC CLASS B","Consumer Discretionary","Equity","32,579,304.56","1.04","32,579,304.56","229,238.00","654106103","US6541061031","2640147","142.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","30,299,519.52","0.97","30,299,519.52","168,668.00","882508104","US8825081040","2885409","179.64","United States","NASDAQ","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","30,163,382.91","0.97","30,163,382.91","117,153.00","G1151C101","IE00B4BNMY34","B4BNMY3","257.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","29,309,433.60","0.94","29,309,433.60","137,024.00","580135101","US5801351017","2550707","213.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","26,646,278.96","0.85","26,646,278.96","125,006.00","907818108","US9078181081","2914734","213.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","25,583,810.13","0.82","25,583,810.13","107,853.00","031162100","US0311621009","2023607","237.21","United States","NASDAQ","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","24,899,089.46","0.80","24,899,089.46","415,054.00","110122108","US1101221083","2126335","59.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","24,654,825.72","0.79","24,654,825.72","139,167.00","548661107","US5486611073","2536763","177.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","24,445,021.24","0.78","24,445,021.24","96,743.00","G5494J103","IE00BZ12WP82","BZ12WP8","252.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","22,667,615.10","0.73","22,667,615.10","215,267.00","855244109","US8552441094","2842255","105.30","United States","NASDAQ","USD","1.00","USD","-"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","21,274,521.73","0.68","21,274,521.73","130,207.00","911312106","US9113121068","2517382","163.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","20,268,021.32","0.65","20,268,021.32","28,034.00","09247X101","US09247X1019","2494504","722.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTU","INTUIT INC","Information Technology","Equity","19,879,799.80","0.64","19,879,799.80","48,020.00","461202103","US4612021034","2459020","413.99","United States","NASDAQ","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","19,810,837.60","0.64","19,810,837.60","163,997.00","459200101","US4592001014","2005973","120.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","19,742,770.84","0.63","19,742,770.84","99,716.00","149123101","US1491231015","2180201","197.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","19,626,255.90","0.63","19,626,255.90","168,177.00","038222105","US0382221051","2046552","116.70","United States","NASDAQ","USD","1.00","USD","-"
"MMM","3M","Industrials","Equity","18,955,066.40","0.61","18,955,066.40","106,072.00","88579Y101","US88579Y1010","2595708","178.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","18,557,333.58","0.59","18,557,333.58","81,682.00","03027X100","US03027X1000","B7FBFL2","227.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TGT","TARGET CORP","Consumer Discretionary","Equity","17,647,357.41","0.57","17,647,357.41","92,187.00","87612E106","US87612E1064","2259101","191.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","17,158,973.00","0.55","17,158,973.00","54,821.00","244199105","US2441991054","2261203","313.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
