Ticker,Name,Type,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Money Market","Cash and/or Derivatives","Money Market","2,200,000.00","3.98","2,200,000.00","2,200,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","USD","-"
"CLNE","CLEAN ENERGY FUELS CORP","Equity","Energy","Equity","768,941.11","1.39","768,941.11","60,097.00","184499101","US1844991018","B1Y1PC2","12.80","United States","NASDAQ","USD","1.00","USD","-"
"DCOM","DIME COMMUNITY BANCSHARES INC","Equity","Financials","Equity","467,951.58","0.85","467,951.58","17,091.00","25432X102","US25432X1028","BMFZ702","27.38","United States","NASDAQ","USD","1.00","USD","-"
"MTSC","MTS SYSTEMS CORP","Equity","Information Technology","Equity","459,633.15","0.83","459,633.15","7,797.00","553777103","US5537771033","2608985","58.95","United States","NASDAQ","USD","1.00","USD","-"
"AOSL","ALPHA AND OMEGA SEMICONDUCTOR LTD","Equity","Information Technology","Equity","403,991.46","0.73","403,991.46","11,629.00","-","BMG6331P1041","B5Q3KZ2","34.74","United States","NASDAQ","USD","1.00","USD","-"
"ODP","ODP CORP","Equity","Consumer Discretionary","Equity","358,245.25","0.65","358,245.25","7,663.00","88337F105","US88337F1057","BLPHWK6","46.75","United States","NASDAQ","USD","1.00","USD","-"
"MOV","MOVADO GROUP INC","Equity","Consumer Discretionary","Equity","342,508.64","0.62","342,508.64","14,996.00","624580106","US6245801062","2643168","22.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FNKO","FUNKO INC CLASS A","Equity","Consumer Discretionary","Equity","339,279.56","0.61","339,279.56","25,742.00","361008105","US3610081057","BF329J9","13.18","United States","NASDAQ","USD","1.00","USD","-"
"MOD","MODINE MANUFACTURING","Equity","Consumer Discretionary","Equity","326,969.79","0.59","326,969.79","23,849.00","607828100","US6078281002","2598354","13.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TCBI","TEXAS CAPITAL BANCSHARES INC","Equity","Financials","Equity","321,006.67","0.58","321,006.67","4,789.00","88224Q107","US88224Q1076","2977209","67.03","United States","NASDAQ","USD","1.00","USD","-"
"ATI","ALLEGHENY TECHNOLOGIES INC","Equity","Materials","Equity","315,518.32","0.57","315,518.32","17,092.00","01741R102","US01741R1023","2526117","18.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TBK","TRIUMPH BANCORP INC","Equity","Financials","Equity","302,044.46","0.55","302,044.46","4,786.00","89679E300","US89679E3009","BS7T2S7","63.11","United States","NASDAQ","USD","1.00","USD","-"
"HWC","HANCOCK WHITNEY CORP","Equity","Financials","Equity","293,510.10","0.53","293,510.10","7,922.00","410120109","US4101201097","2415497","37.05","United States","NASDAQ","USD","1.00","USD","-"
"MTZ","MASTEC INC","Equity","Industrials","Equity","292,825.83","0.53","292,825.83","3,531.00","576323109","US5763231090","2155306","82.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UFI","UNIFI INC","Equity","Consumer Discretionary","Equity","291,451.77","0.53","291,451.77","11,607.00","904677200","US9046772003","2911865","25.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CATM","CARDTRONICS PLC CLASS A","Equity","Information Technology","Equity","291,411.00","0.53","291,411.00","7,530.00","-","GB00BYT18414","BYT1841","38.70","United States","NASDAQ","USD","1.00","USD","-"
"WCC","WESCO INTERNATIONAL INC","Equity","Industrials","Equity","289,895.06","0.52","289,895.06","3,389.00","95082P105","US95082P1057","2416973","85.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RES","RPC INC","Equity","Energy","Equity","281,705.46","0.51","281,705.46","56,454.00","749660106","US7496601060","2719456","4.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PFC","PREMIER FINANCIAL CORP","Equity","Financials","Equity","278,944.56","0.51","278,944.56","9,566.00","74052F108","US74052F1084","BLFBX72","29.16","United States","NASDAQ","USD","1.00","USD","-"
"FFIC","FLUSHING FINANCIAL CORP","Equity","Financials","Equity","277,873.70","0.50","277,873.70","14,170.00","343873105","US3438731057","2360111","19.61","United States","NASDAQ","USD","1.00","USD","-"
"NESR","NATIONAL ENERGY SERVICES REUNITED","Equity","Energy","Equity","277,073.32","0.50","277,073.32","23,362.00","-","VGG6375R1073","BYZLFM2","11.86","United States","NASDAQ","USD","1.00","USD","-"
"ANF","ABERCROMBIE AND FITCH CLASS A","Equity","Consumer Discretionary","Equity","276,034.20","0.50","276,034.20","10,699.00","002896207","US0028962076","2004185","25.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TILE","INTERFACE INC","Equity","Industrials","Equity","272,753.60","0.49","272,753.60","24,353.00","458665304","US4586653044","B86V808","11.20","United States","NASDAQ","USD","1.00","USD","-"
"XPER","XPERI HOLDING CORP","Equity","Information Technology","Equity","271,938.96","0.49","271,938.96","12,968.00","98390M103","US98390M1036","BMWP0C8","20.97","United States","NASDAQ","USD","1.00","USD","-"
"KALU","KAISER ALUMINIUM CORP","Equity","Materials","Equity","270,410.40","0.49","270,410.40","2,782.00","483007704","US4830077040","B15CJ33","97.20","United States","NASDAQ","USD","1.00","USD","-"
"CRS","CARPENTER TECHNOLOGY CORP","Equity","Materials","Equity","270,387.70","0.49","270,387.70","8,206.00","144285103","US1442851036","2177504","32.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SP","SP PLUS CORP","Equity","Industrials","Equity","269,945.00","0.49","269,945.00","8,306.00","78469C103","US78469C1036","BH2QZH6","32.50","United States","NASDAQ","USD","1.00","USD","-"
