Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Information Technology","Equity","14,694,860.88","4.16","14,694,860.88","111,426.00","037833100","US0378331005","2046251","131.88","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","14,230,715.18","4.03","14,230,715.18","63,547.00","594918104","US5949181045","2588173","223.94","United States","NASDAQ","USD","1.00","USD","-"
"CRM","SALESFORCE.COM INC","Information Technology","Equity","13,942,093.87","3.95","13,942,093.87","60,311.00","79466L302","US79466L3024","2310525","231.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","13,810,481.64","3.91","13,810,481.64","4,307.00","023135106","US0231351067","2000019","3,206.52","United States","NASDAQ","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","13,340,392.21","3.78","13,340,392.21","25,117.00","67066G104","US67066G1040","2379504","531.13","United States","NASDAQ","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","13,291,179.65","3.77","13,291,179.65","77,977.00","254687106","US2546871060","2270726","170.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FB","FACEBOOK CLASS A INC","Communication","Equity","13,007,550.09","3.69","13,007,550.09","48,701.00","30303M102","US30303M1027","B7TL820","267.09","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","12,848,323.18","3.64","12,848,323.18","7,469.00","02079K305","US02079K3059","BYVY8G0","1,720.22","United States","NASDAQ","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","10,392,456.21","2.94","10,392,456.21","20,613.00","00724F101","US00724F1012","2008154","504.17","United States","NASDAQ","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","9,880,054.88","2.80","9,880,054.88","18,736.00","64110L106","US64110L1061","2857817","527.33","United States","NASDAQ","USD","1.00","USD","-"
"V","VISA INC CLASS A","Information Technology","Equity","8,637,869.76","2.45","8,637,869.76","41,964.00","92826C839","US92826C8394","B2PZN04","205.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","8,554,218.00","2.42","8,554,218.00","150,074.00","375558103","US3755581036","2369174","57.00","United States","NASDAQ","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","8,403,568.20","2.38","8,403,568.20","128,988.00","68389X105","US68389X1054","2661568","65.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","8,159,762.61","2.31","8,159,762.61","176,733.00","458140100","US4581401001","2463247","46.17","United States","NASDAQ","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","7,606,835.79","2.16","7,606,835.79","61,539.00","459200101","US4592001014","2005973","123.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
