Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"PTT.R","PTT NON-VOTING DR PCL","Energy","Equity","40,353,767.44","8.51","40,353,767.44","29,636,500.00","S64204084","TH0646010R18","6420408","1.36","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"CPALL.R","CP ALL NON-VOTING DR PCL","Consumer Staples","Equity","29,479,726.00","6.22","29,479,726.00","15,146,000.00","-","TH0737010R15","B08YDH1","1.95","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"SCC.R","SIAM CEMENT NON-VOTING DR PCL","Materials","Equity","26,092,323.11","5.50","26,092,323.11","2,023,000.00","S66099284","TH0003010R12","6609928","12.90","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"AOT.R","AIRPORTS OF THAILAND NON-VOTING DR","Industrials","Equity","22,473,594.52","4.74","22,473,594.52","11,117,000.00","S67412064","TH0765010R16","6741206","2.02","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"ADVANC.R","ADVANCED INFO SERVICE NON-VOTING D","Communication","Equity","18,297,247.43","3.86","18,297,247.43","3,085,019.00","S64126097","TH0268010R11","6412609","5.93","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"BDMS.R","BANGKOK DUSIT MEDICAL SERVICES NON","Health Care","Equity","17,686,400.13","3.73","17,686,400.13","24,734,100.00","-","TH0264010R10","B013SV4","0.72","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"DELTA.R","DELTA ELECTRONICS (THAILAND) NON-V","Information Technology","Equity","15,076,394.62","3.18","15,076,394.62","808,600.00","S64189319","TH0528010R18","6418931","18.65","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"PTTEP.R","PTT EXPLORATION AND PRODUCTION NON","Energy","Equity","13,548,056.14","2.86","13,548,056.14","3,604,084.00","-","TH0355010R16","B1359L2","3.76","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"KBANK.F","KASIKORNBANK PCL F","Financials","Equity","12,703,617.07","2.68","12,703,617.07","3,041,500.00","S68887942","TH0016010017","6888794","4.18","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"PTTGC.R","PTT GLOBAL CHEMICAL NON VOTING DR","Materials","Equity","12,309,723.20","2.60","12,309,723.20","5,847,607.00","-","TH1074010R12","B73BGD3","2.11","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"INTUCH.R","INTOUCH HOLDINGS NON-VOTING DR PCL","Communication","Equity","11,283,328.04","2.38","11,283,328.04","5,822,100.00","S63975577","TH0201010R12","6397557","1.94","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"CPF.R","CHAROEN POKPHAND FOODS NON-VOTING","Consumer Staples","Equity","9,739,794.50","2.05","9,739,794.50","10,051,300.00","S64108749","TH0101010R14","6410874","0.97","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"CPN.R","CENTRAL PATTANA NON-VOTING DR PCL","Real Estate","Equity","9,676,044.61","2.04","9,676,044.61","5,820,700.00","-","TH0481010R10","B013L15","1.66","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"EA.R","ENERGY ABSOLUTE NON-VOTING DR PCL","Utilities","Equity","8,210,495.36","1.73","8,210,495.36","3,869,600.00","-","TH3545010R19","B9L4K92","2.12","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"MINT.R","MINOR INTERNATIONAL PUBLIC NON VOT","Consumer Discretionary","Equity","7,343,828.34","1.55","7,343,828.34","8,065,410.00","-","TH0128010R17","B018C28","0.91","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"HMPRO.R","HOME PRODUCT CENTER NON-VOTING DR","Consumer Discretionary","Equity","7,181,048.27","1.51","7,181,048.27","15,350,773.00","S64185556","TH0661010R17","6418555","0.47","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"GULF.R","GULF ENERGY DEVELOPMENT PCL NON-VO","Utilities","Equity","6,965,702.11","1.47","6,965,702.11","6,086,600.00","-","TH8319010R14","BFN4H35","1.14","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"SCB.R","SIAM COMMERCIAL BANK NON-VOTING DR","Financials","Equity","6,896,980.20","1.45","6,896,980.20","2,201,700.00","S63631725","TH0015010R16","6363172","3.13","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"BTS.R","BTS GROUP HOLDINGS NON-VOTING DR P","Industrials","Equity","6,741,576.64","1.42","6,741,576.64","20,483,100.00","-","TH0221010R10","B0H72C9","0.33","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"KBANK.R","KASIKORNBANK PUBLIC NON-VOTING DR","Financials","Equity","6,481,079.27","1.37","6,481,079.27","1,551,700.00","S63647663","TH0016010R14","6364766","4.18","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"BBL.F","BANGKOK BANK PCL F","Financials","Equity","6,301,304.82","1.33","6,301,304.82","1,484,900.00","S60770195","TH0001010014","6077019","4.24","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","Jan 01, 1998"
"LH.R","LAND AND HOUSE PUBLIC NON-VOTING D","Real Estate","Equity","5,872,571.05","1.24","5,872,571.05","21,697,700.00","S65819419","TH0143010R16","6581941","0.27","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"TOP.R","THAI OIL NON-VOTING DR PCL","Energy","Equity","5,639,822.91","1.19","5,639,822.91","2,910,100.00","-","TH0796010R11","B030K62","1.94","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"IVL.R","INDORAMA VENTURES NON-VOTING DR PC","Materials","Equity","5,474,617.83","1.15","5,474,617.83","4,369,110.00","-","TH1027010R10","B5KZ7P3","1.25","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"BEM.R","BANGKOK EXPRESSWAY AND METRO PCL N","Industrials","Equity","5,464,959.06","1.15","5,464,959.06","19,824,553.00","-","TH6999010R15","BDCR9C4","0.28","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"CRC.R","CENTRAL RETAIL CORPORATION PCL NVD","Consumer Discretionary","Equity","5,057,017.68","1.07","5,057,017.68","4,692,834.00","-","TH9597010R14","BKV24W4","1.08","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"GPSC.R","GLOBAL POWER SYNERGY PCL NON-VOTIN","Utilities","Equity","4,901,745.89","1.03","4,901,745.89","1,828,000.00","-","TH6488010R19","BWX43V4","2.68","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"BH.R","BUMRUNGRAD HOSPITAL NON-VOTING DR","Health Care","Equity","4,810,430.27","1.01","4,810,430.27","1,133,576.00","-","TH0168010R13","B0166J7","4.24","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"EGCO.R","ELECTRICITY GENERATING NON-VOTING","Utilities","Equity","4,753,409.07","1.00","4,753,409.07","750,700.00","S63685531","TH0465010R13","6368553","6.33","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"KTC.R","KRUNGTHAI CARD NON-VOTING DR PCL","Financials","Equity","4,536,437.22","0.96","4,536,437.22","2,003,900.00","S65613309","TH0689010R18","6561330","2.26","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"SAWAD.R","SRISAWAD CORPORATION PCL NON-LISTI","Financials","Equity","4,480,590.09","0.94","4,480,590.09","1,957,560.00","-","TH5456010R17","BMHS7D2","2.29","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"MTC.R","MUANGTHAI CAPITAL ORS NON-VOTING D","Financials","Equity","4,239,304.99","0.89","4,239,304.99","1,922,300.00","-","TH6068010R19","BSNLDQ2","2.21","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"TU.R","THAI UNION GROUP NON-VOTING DR PCL","Consumer Staples","Equity","3,897,933.34","0.82","3,897,933.34","8,045,200.00","S64227275","TH0450010R15","6422727","0.48","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"KTB.R","KRUNG THAI BANK PUBLIC NON-VOTING","Financials","Equity","3,782,223.71","0.80","3,782,223.71","9,055,400.00","S63614663","TH0150010R11","6361466","0.42","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"BANPU.R","BANPU NON-VOTING DR PCL","Energy","Equity","3,752,949.63","0.79","3,752,949.63","10,696,800.00","S63683486","TH0148010R15","6368348","0.35","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"BJC.R","BERLI JUCKER NON-VOTING DR PCL","Consumer Staples","Equity","3,749,701.78","0.79","3,749,701.78","3,117,200.00","S63601629","TH0002010R14","6360162","1.20","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"IRPC.R","IRPC NON-VOTING DR PCL","Energy","Equity","3,621,143.90","0.76","3,621,143.90","29,132,200.00","S63661714","TH0471010R11","6366171","0.12","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"BGRIM.R","B.GRIMM POWER PCL NON-VOTING DR","Utilities","Equity","3,588,291.70","0.76","3,588,291.70","2,026,200.00","-","TH7545010R15","BDVJ686","1.77","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"KCE.R","KCE ELECTRONICS NON-VOTING DR PCL","Information Technology","Equity","3,533,658.84","0.75","3,533,658.84","2,125,700.00","S67121509","TH0122010R10","6712150","1.66","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"RATCH.R","RATCH GROUP PCL NVDR","Utilities","Equity","3,488,385.26","0.74","3,488,385.26","2,067,300.00","S63627715","TH0637010R17","6362771","1.69","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"TRUE.R","TRUE CORPORATION NON-VOTING DR PCL","Communication","Equity","3,478,565.93","0.73","3,478,565.93","30,263,018.00","S63639231","TH0375010R14","6363923","0.11","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"AWC.R","ASSET WORLD CORP PCL NVDR","Consumer Discretionary","Equity","3,311,045.43","0.70","3,311,045.43","20,730,400.00","-","TH9436010R15","BK58JY5","0.16","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"BAM.R","BANGKOK COMMERCIAL ASSET MANAGEMEN","Financials","Equity","3,277,968.76","0.69","3,277,968.76","4,605,700.00","-","TH9479010R15","BJYF906","0.71","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"STGT.R","SRI TRANG GLOVES (THAILAND) PCL NV","Health Care","Equity","2,804,303.73","0.59","2,804,303.73","2,223,200.00","-","TH9829010R11","BN2X9V1","1.26","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"STA.R","SRI TRANG-AGRO INDUSTRY NON-VOTING","Consumer Discretionary","Equity","2,605,152.87","0.55","2,605,152.87","2,398,945.00","-","TH0254010R11","B05BPH9","1.09","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"SPALI.R","SUPALAI NON-VOTING DR PCL","Real Estate","Equity","2,553,973.10","0.54","2,553,973.10","3,879,900.00","S65547499","TH0371010R13","6554749","0.66","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"HANA.R","HANA MICROELECTRONICS NON-VOTING D","Information Technology","Equity","2,492,160.22","0.53","2,492,160.22","1,455,300.00","-","TH0324010R12","B019VV3","1.71","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"WHA.R","WHA CORPORATION NON-VOTING DR PCL","Real Estate","Equity","2,386,982.25","0.50","2,386,982.25","23,193,640.00","-","TH3871010R19","B830433","0.10","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"BCP.R","BANGCHAK CORPORATION ORS NON-VOTIN","Energy","Equity","2,334,982.88","0.49","2,334,982.88","2,687,700.00","S63600324","TH0420010R18","6360032","0.87","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"OSP.R","OSOTSPA PCL NON-VOTING DR","Consumer Staples","Equity","2,255,281.10","0.48","2,255,281.10","1,942,300.00","-","TH8752010R16","BGR9X35","1.16","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"DTAC.R","TOTAL ACCESS COMMUNICATION NON-VOT","Communication","Equity","2,085,954.39","0.44","2,085,954.39","1,836,100.00","-","TH0554010R14","B1YWK08","1.14","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"VGI.R","VGI NON-VOTING DR PCL","Communication","Equity","2,059,982.29","0.43","2,059,982.29","8,934,800.00","-","TH3740010R16","B8B2V85","0.23","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"COM7.R","COM7 PCL NON-VOTING DR","Consumer Discretionary","Equity","2,031,315.68","0.43","2,031,315.68","1,405,600.00","-","TH6678010R15","BZ2YN50","1.45","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
"BCH.R","BANGKOK CHAIN HOSPITAL NON-VOTING","Health Care","Equity","1,741,621.08","0.37","1,741,621.08","3,570,025.00","-","TH0808010R14","B03VTW4","0.49","Thailand","Stock Exchange Of Thailand","USD","29.93","THB","-"
