Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Effective Date,Accrual Date
"TREASURY BOND","Treasuries","Fixed Income","1,435,744,560.41","8.79","1,435,744,560.41","1,141,944,100.00","912810SF6","US912810SF66","BJ7G9G2","124.29","United States","-","USD","19.38","1.88","1.00","Feb 15, 2049","3.00","19.77","-","1.88","19.77","1.88","USD","Feb 15, 2019","Feb 15, 2019"
"TREASURY BOND","Treasuries","Fixed Income","1,210,054,373.04","7.41","1,210,054,373.04","964,205,000.00","912810SD1","US912810SD19","BFZLQN7","124.05","United States","-","USD","19.14","1.88","1.00","Aug 15, 2048","3.00","19.51","-","1.88","19.51","1.88","USD","Aug 15, 2018","Aug 15, 2018"
"TREASURY BOND","Treasuries","Fixed Income","969,567,856.91","5.94","969,567,856.91","802,362,500.00","912810RB6","US912810RB61","B8W8CX4","120.16","United States","-","USD","16.72","1.78","1.00","May 15, 2043","2.88","16.94","-","1.78","16.94","1.78","USD","May 15, 2013","May 15, 2013"
"TREASURY BOND","Treasuries","Fixed Income","890,841,533.72","5.46","890,841,533.72","703,401,900.00","912810RH3","US912810RH32","BPYD753","125.14","United States","-","USD","17.02","1.81","1.00","Aug 15, 2044","3.13","17.28","-","1.81","17.28","1.81","USD","Aug 15, 2014","Aug 15, 2014"
"TREASURY BOND","Treasuries","Fixed Income","809,790,873.89","4.96","809,790,873.89","648,169,100.00","912810RV2","US912810RV26","BDRJ2Q0","123.49","United States","-","USD","18.42","1.86","1.00","Feb 15, 2047","3.00","18.74","-","1.86","18.74","1.86","USD","Feb 15, 2017","Feb 15, 2017"
"TREASURY BOND","Treasuries","Fixed Income","790,522,407.94","4.84","790,522,407.94","620,590,900.00","912810SC3","US912810SC36","BD59D47","126.65","United States","-","USD","18.99","1.87","1.00","May 15, 2048","3.13","19.35","-","1.87","19.35","1.87","USD","May 15, 2018","May 15, 2018"
"TREASURY BOND","Treasuries","Fixed Income","767,352,177.75","4.70","767,352,177.75","746,041,600.00","912810SL3","US912810SL35","BK8ZZ34","101.89","United States","-","USD","21.46","1.91","1.00","Feb 15, 2050","2.00","21.82","-","1.91","21.82","1.91","USD","Feb 18, 2020","Feb 15, 2020"
"TREASURY BOND","Treasuries","Fixed Income","757,288,880.73","4.64","757,288,880.73","567,774,700.00","912810SE9","US912810SE91","BGRW851","132.59","United States","-","USD","18.94","1.87","1.00","Nov 15, 2048","3.38","19.33","-","1.87","19.33","1.87","USD","Nov 15, 2018","Nov 15, 2018"
"TREASURY BOND","Treasuries","Fixed Income","739,341,368.53","4.53","739,341,368.53","652,091,600.00","912810RS9","US912810RS96","BYZ2TS9","112.79","United States","-","USD","18.77","1.86","1.00","May 15, 2046","2.50","19.05","-","1.86","19.05","1.86","USD","May 16, 2016","May 15, 2016"
"TREASURY BOND","Treasuries","Fixed Income","735,371,079.86","4.50","735,371,079.86","644,911,500.00","912810RQ3","US912810RQ31","BD2C0D7","112.82","United States","-","USD","18.54","1.86","1.00","Feb 15, 2046","2.50","18.81","-","1.86","18.81","1.86","USD","Feb 16, 2016","Feb 15, 2016"
"TREASURY BOND","Treasuries","Fixed Income","717,864,150.91","4.40","717,864,150.91","573,048,700.00","912810SA7","US912810SA79","BG0D0F5","123.83","United States","-","USD","18.91","1.87","1.00","Feb 15, 2048","3.00","19.26","-","1.87","19.26","1.87","USD","Feb 15, 2018","Feb 15, 2018"
"TREASURY BOND","Treasuries","Fixed Income","646,478,256.59","3.96","646,478,256.59","469,014,600.00","912810RD2","US912810RD28","BGK9QZ5","136.96","United States","-","USD","16.19","1.77","1.00","Nov 15, 2043","3.75","16.45","-","1.77","16.45","1.77","USD","Nov 15, 2013","Nov 15, 2013"
"TREASURY BOND (OTR)","Treasuries","Fixed Income","644,408,651.57","3.95","644,408,651.57","689,619,700.00","912810SS8","US912810SS87","BN7JWV5","93.06","United States","-","USD","22.79","1.93","1.00","Nov 15, 2050","1.63","23.14","-","1.93","23.14","1.93","USD","Nov 16, 2020","Nov 15, 2020"
"TREASURY BOND","Treasuries","Fixed Income","635,564,691.30","3.89","635,564,691.30","572,767,000.00","912810SK5","US912810SK51","BKVKB94","110.41","United States","-","USD","20.76","1.90","1.00","Nov 15, 2049","2.38","21.14","-","1.90","21.14","1.90","USD","Nov 15, 2019","Nov 15, 2019"
"TREASURY BOND","Treasuries","Fixed Income","603,697,119.54","3.70","603,697,119.54","555,841,700.00","912810SJ8","US912810SJ88","BK9DLC8","107.53","United States","-","USD","20.74","1.91","1.00","Aug 15, 2049","2.25","21.10","-","1.91","21.10","1.91","USD","Aug 15, 2019","Aug 15, 2019"
"TREASURY BOND","Treasuries","Fixed Income","487,949,588.18","2.99","487,949,588.18","412,148,100.00","912810QY7","US912810QY73","B8JB195","117.75","United States","-","USD","16.57","1.76","1.00","Nov 15, 2042","2.75","16.77","-","1.76","16.77","1.76","USD","Nov 15, 2012","Nov 15, 2012"
"TREASURY BOND","Treasuries","Fixed Income","461,340,616.81","2.83","461,340,616.81","365,172,200.00","912810QZ4","US912810QZ49","B89T3Q0","124.83","United States","-","USD","16.25","1.76","1.00","Feb 15, 2043","3.13","16.46","-","1.76","16.46","1.76","USD","Feb 15, 2013","Feb 15, 2013"
"TREASURY BOND","Treasuries","Fixed Income","393,904,887.05","2.41","393,904,887.05","330,691,100.00","912810QX9","US912810QX90","B75JF50","117.79","United States","-","USD","16.34","1.75","1.00","Aug 15, 2042","2.75","16.54","-","1.75","16.54","1.75","USD","Aug 15, 2012","Aug 15, 2012"
"TREASURY BOND","Treasuries","Fixed Income","392,335,317.07","2.40","392,335,317.07","288,106,600.00","912810RC4","US912810RC45","BCZQWC2","134.43","United States","-","USD","16.06","1.77","1.00","Aug 15, 2043","3.63","16.31","-","1.77","16.31","1.77","USD","Aug 15, 2013","Aug 15, 2013"
"TREASURY BOND","Treasuries","Fixed Income","371,189,305.27","2.27","371,189,305.27","303,584,600.00","912810SH2","US912810SH23","BK1WFY3","121.59","United States","-","USD","19.78","1.89","1.00","May 15, 2049","2.88","20.17","-","1.89","20.17","1.89","USD","May 15, 2019","May 15, 2019"
"TREASURY BOND","Treasuries","Fixed Income","361,299,074.26","2.21","361,299,074.26","366,375,000.00","912810SU3","US912810SU34","-","98.61","United States","-","USD","22.53","1.87","1.00","Feb 15, 2051","1.88","22.90","-","1.87","22.90","1.87","USD","Feb 16, 2021","Feb 15, 2021"
"TREASURY BOND","Treasuries","Fixed Income","357,735,839.09","2.19","357,735,839.09","293,752,800.00","912810RN0","US912810RN00","BYSJ1Z8","120.40","United States","-","USD","17.81","1.84","1.00","Aug 15, 2045","2.88","18.09","-","1.84","18.09","1.84","USD","Aug 17, 2015","Aug 15, 2015"
"TREASURY BOND","Treasuries","Fixed Income","322,956,426.59","1.98","322,956,426.59","271,496,200.00","912810RZ3","US912810RZ30","BF92XY6","118.31","United States","-","USD","19.21","1.88","1.00","Nov 15, 2047","2.75","19.55","-","1.88","19.55","1.88","USD","Nov 15, 2017","Nov 15, 2017"
"TREASURY BOND","Treasuries","Fixed Income","315,652,053.11","1.93","315,652,053.11","263,983,400.00","912810RY6","US912810RY64","BF53YK6","118.25","United States","-","USD","18.97","1.87","1.00","Aug 15, 2047","2.75","19.30","-","1.87","19.30","1.87","USD","Aug 15, 2017","Aug 15, 2017"
"TREASURY BOND","Treasuries","Fixed Income","266,008,827.60","1.63","266,008,827.60","219,206,400.00","912810RU4","US912810RU43","BZ1BP67","120.68","United States","-","USD","18.55","1.86","1.00","Nov 15, 2046","2.88","18.86","-","1.86","18.86","1.86","USD","Nov 15, 2016","Nov 15, 2016"
"BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","242,997,999.69","1.49","242,997,999.69","242,998,000.00","066922477","US0669224778","-","1.00","United States","-","USD","0.12","0.08","1.00","-","0.12","0.13","-","0.08","0.13","0.08","USD","Feb 04, 2009","-"
"TREASURY BOND (OTR)","Treasuries","Fixed Income","98,566,003.86","0.60","98,566,003.86","104,602,500.00","912810ST6","US912810ST60","BNG0BM3","93.91","United States","-","USD","16.98","1.74","1.00","Nov 15, 2040","1.38","17.08","-","1.74","17.08","1.74","USD","Nov 30, 2020","Nov 15, 2020"
"TREASURY BOND (OLD)","Treasuries","Fixed Income","65,864,718.99","0.40","65,864,718.99","74,802,100.00","912810SP4","US912810SP49","BL6JZR9","87.39","United States","-","USD","23.20","1.94","1.00","Aug 15, 2050","1.38","23.52","-","1.94","23.52","1.94","USD","Aug 17, 2020","Aug 15, 2020"
"TREASURY BOND","Treasuries","Fixed Income","55,836,917.81","0.34","55,836,917.81","38,590,900.00","912810QL5","US912810QL52","B5M0864","143.69","United States","-","USD","14.31","1.65","1.00","Nov 15, 2040","4.25","14.50","-","1.65","14.50","1.65","USD","Nov 15, 2010","Nov 15, 2010"
"TREASURY BOND","Treasuries","Fixed Income","9,284,271.73","0.06","9,284,271.73","7,408,700.00","912810QT8","US912810QT88","B6ZKRY9","124.58","United States","-","USD","15.66","1.71","1.00","Nov 15, 2041","3.13","15.85","-","1.71","15.85","1.71","USD","Nov 15, 2011","Nov 15, 2011"
