Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Information Technology","Equity","7,106,178.67","4.13","7,106,178.67","58,627.00","037833100","US0378331005","2046251","121.21","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","5,856,900.16","3.40","5,856,900.16","24,767.00","594918104","US5949181045","2588173","236.48","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","4,489,536.13","2.61","4,489,536.13","1,471.00","023135106","US0231351067","2000019","3,052.03","United States","NASDAQ","USD","1.00","USD","-"
"FB","FACEBOOK CLASS A INC","Communication","Equity","2,349,066.00","1.37","2,349,066.00","8,300.00","30303M102","US30303M1027","B7TL820","283.02","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","2,095,595.55","1.22","2,095,595.55","1,035.00","02079K305","US02079K3059","BYVY8G0","2,024.73","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","2,080,332.10","1.21","2,080,332.10","1,022.00","02079K107","US02079K1079","BYY88Y7","2,035.55","United States","NASDAQ","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","1,626,118.65","0.95","1,626,118.65","10,485.00","46625H100","US46625H1005","2190385","155.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","1,614,214.39","0.94","1,614,214.39","2,609.00","88160R101","US88160R1014","B616C79","618.71","United States","NASDAQ","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","1,493,606.08","0.87","1,493,606.08","9,056.00","478160104","US4781601046","2475833","164.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Information Technology","Equity","1,247,442.26","0.73","1,247,442.26","5,842.00","92826C839","US92826C8394","B2PZN04","213.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","1,230,336.64","0.72","1,230,336.64","3,268.00","91324P102","US91324P1021","2917766","376.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","1,211,697.63","0.70","1,211,697.63","4,719.00","084670702","US0846707026","2073390","256.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","1,163,673.28","0.68","1,163,673.28","6,259.00","254687106","US2546871060","2270726","185.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","1,154,034.00","0.67","1,154,034.00","8,520.00","742718109","US7427181091","2704407","135.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","1,130,477.01","0.66","1,130,477.01","3,721.00","437076102","US4370761029","2434209","303.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Information Technology","Equity","1,125,880.50","0.65","1,125,880.50","3,075.00","57636Q104","US57636Q1040","B121557","366.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NESN","NESTLE SA","Consumer Staples","Equity","1,098,350.70","0.64","1,098,350.70","9,913.00","S71238703","CH0038863350","7123870","110.80","Switzerland","SIX Swiss Exchange","USD","0.94","CHF","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","1,094,417.67","0.64","1,094,417.67","2,131.00","67066G104","US67066G1040","2379504","513.57","United States","NASDAQ","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","1,043,122.24","0.61","1,043,122.24","26,968.00","060505104","US0605051046","2295677","38.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PYPL","PAYPAL HOLDINGS INC","Information Technology","Equity","925,073.14","0.54","925,073.14","3,838.00","70450Y103","US70450Y1038","BYW36M8","241.03","United States","NASDAQ","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","914,926.48","0.53","914,926.48","14,104.00","458140100","US4581401001","2463247","64.87","United States","NASDAQ","USD","1.00","USD","-"
"ASML","ASML HOLDING NV","Information Technology","Equity","893,947.64","0.52","893,947.64","1,466.00","-","NL0010273215","B929F46","609.79","Netherlands","Euronext Amsterdam","USD","0.85","EUR","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","870,133.42","0.51","870,133.42","15,769.00","20030N101","US20030N1019","2044545","55.18","United States","NASDAQ","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","845,509.21","0.49","845,509.21","14,651.00","30231G102","US30231G1022","2326618","57.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","826,854.16","0.48","826,854.16","14,212.00","92343V104","US92343V1044","2090571","58.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ROG","ROCHE HOLDING PAR AG","Health Care","Equity","781,174.27","0.45","781,174.27","2,418.00","S71103881","CH0012032048","7110388","323.07","Switzerland","SIX Swiss Exchange","USD","0.94","CHF","-"
"ADBE","ADOBE INC","Information Technology","Equity","774,467.59","0.45","774,467.59","1,651.00","00724F101","US00724F1012","2008154","469.09","United States","NASDAQ","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","772,236.00","0.45","772,236.00","1,520.00","64110L106","US64110L1061","2857817","508.05","United States","NASDAQ","USD","1.00","USD","-"
