Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"BIMAS","BIM BIRLESIK MAGAZALAR A","Consumer Staples","Equity","30,961,227.32","10.49","30,961,227.32","3,071,154.00","-","TREBIMM00018","B0D0006","10.08","Turkey","Istanbul Stock Exchange","USD","7.38","TRY","-"
"GARAN","TURKIYE GARANTI BANKASI A","Financials","Equity","19,212,886.31","6.51","19,212,886.31","15,564,336.00","-","TRAGARAN91N1","B03MYP5","1.23","Turkey","Istanbul Stock Exchange","USD","7.38","TRY","-"
"AKBNK","AKBANK A","Financials","Equity","18,057,511.54","6.12","18,057,511.54","21,019,627.00","-","TRAAKBNK91N6","B03MN70","0.86","Turkey","Istanbul Stock Exchange","USD","7.38","TRY","-"
"EREGL","EREGLI DEMIR VE CELIK FABRIKALARI","Materials","Equity","14,243,122.09","4.83","14,243,122.09","7,249,258.00","-","TRAEREGL91G3","B03MS97","1.96","Turkey","Istanbul Stock Exchange","USD","7.38","TRY","-"
"KCHOL","KOC HOLDING A","Industrials","Equity","14,166,449.71","4.80","14,166,449.71","5,119,902.00","-","TRAKCHOL91Q8","B03MVJ8","2.77","Turkey","Istanbul Stock Exchange","USD","7.38","TRY","-"
"TCELL","TURKCELL ILETISIM HIZMETLERI A","Communication","Equity","12,132,828.89","4.11","12,132,828.89","5,459,773.00","-","TRATCELL91M1","B03MYN3","2.22","Turkey","Istanbul Stock Exchange","USD","7.38","TRY","-"
"TUPRS","TURKIYE PETROL RAFINERILERI A","Energy","Equity","11,293,471.95","3.83","11,293,471.95","841,877.00","-","TRATUPRS91E8","B03MYT9","13.41","Turkey","Istanbul Stock Exchange","USD","7.38","TRY","-"
"FROTO","FORD OTOMOTIV SANAYI A","Consumer Discretionary","Equity","10,907,185.31","3.70","10,907,185.31","536,276.00","-","TRAOTOSN91H6","B03MSR5","20.34","Turkey","Istanbul Stock Exchange","USD","7.38","TRY","-"
"ASELS","ASELSAN ELEKTRONIK SANAYI VE TICAR","Industrials","Equity","10,386,277.78","3.52","10,386,277.78","4,352,682.00","-","TRAASELS91H2","B03MP41","2.39","Turkey","Istanbul Stock Exchange","USD","7.38","TRY","-"
"SAHOL","HACI OMER SABANCI HOLDING A","Financials","Equity","9,011,738.20","3.05","9,011,738.20","6,169,446.00","-","TRASAHOL91Q5","B03N0C7","1.46","Turkey","Istanbul Stock Exchange","USD","7.38","TRY","-"
"YKBNK","YAPI VE KREDI BANKASI A","Financials","Equity","8,752,650.93","2.97","8,752,650.93","22,428,668.00","-","TRAYKBNK91N6","B03MZJ6","0.39","Turkey","Istanbul Stock Exchange","USD","7.38","TRY","-"
"ISCTR","TURKIYE IS BANKASI C","Financials","Equity","7,376,882.62","2.50","7,376,882.62","8,710,623.00","-","TRAISCTR91N2","B03MYS8","0.85","Turkey","Istanbul Stock Exchange","USD","7.38","TRY","-"
"SISE","TURKIYE SISE VE CAM FABRIKALARI A","Industrials","Equity","7,290,275.97","2.47","7,290,275.97","7,340,005.00","-","TRASISEW91Q3","B03MXR0","0.99","Turkey","Istanbul Stock Exchange","USD","7.38","TRY","-"
"THYAO","TURK HAVA YOLLARI AO A","Industrials","Equity","7,034,553.71","2.38","7,034,553.71","4,344,352.00","-","TRATHYAO91M5","B03MYK0","1.62","Turkey","Istanbul Stock Exchange","USD","7.38","TRY","-"
"PETKM","PETKIM PETROKIMYA HOLDING A","Materials","Equity","6,862,265.53","2.32","6,862,265.53","10,399,080.00","-","TRAPETKM91E0","B03MWY0","0.66","Turkey","Istanbul Stock Exchange","USD","7.38","TRY","-"
"CCOLA","COCA-COLA ICECEK A","Consumer Staples","Equity","6,296,912.74","2.13","6,296,912.74","636,592.00","-","TRECOLA00011","B058ZV4","9.89","Turkey","Istanbul Stock Exchange","USD","7.38","TRY","-"
"KRDMD","KARDEMIR KARABUK DEMIR CELIK SANAY","Materials","Equity","6,025,226.96","2.04","6,025,226.96","6,840,950.00","-","TRAKRDMR91G7","B03MV32","0.88","Turkey","Istanbul Stock Exchange","USD","7.38","TRY","-"
"AEFES","ANADOLU EFES BIRACILIK VE MALT SAN","Consumer Staples","Equity","5,741,706.86","1.95","5,741,706.86","1,728,132.00","-","TRAAEFES91A9","B03MNV4","3.32","Turkey","Istanbul Stock Exchange","USD","7.38","TRY","-"
"KOZAL","KOZA ALTIN ISLETMELERI A","Materials","Equity","5,372,963.89","1.82","5,372,963.89","349,361.00","-","TREKOAL00014","B3LP189","15.38","Turkey","Istanbul Stock Exchange","USD","7.38","TRY","-"
"SASA","SASA POLYESTER SANAYI A","Materials","Equity","5,093,755.02","1.73","5,093,755.02","1,541,916.00","-","TRASASAW91E4","B03MXD6","3.30","Turkey","Istanbul Stock Exchange","USD","7.38","TRY","-"
"BERA","BERA HOLDING","Industrials","Equity","4,990,936.54","1.69","4,990,936.54","1,814,439.00","-","TREKMBH00014","B7QP2X4","2.75","Turkey","Istanbul Stock Exchange","USD","7.38","TRY","-"
"DOHOL","DOGAN SIRKETLER GRUBU HOLDING A","Industrials","Equity","4,926,340.48","1.67","4,926,340.48","9,852,681.00","-","TRADOHOL91Q8","B03MRG7","0.50","Turkey","Istanbul Stock Exchange","USD","7.38","TRY","-"
"EKGYO","EMLAK KONUT GAYRIMENKUL YATIRIM OR","Real Estate","Equity","4,832,668.01","1.64","4,832,668.01","15,176,634.00","-","TREEGYO00017","B586565","0.32","Turkey","Istanbul Stock Exchange","USD","7.38","TRY","-"
"TAVHL","TAV HAVALIMANLARI HOLDING A","Industrials","Equity","4,409,561.76","1.49","4,409,561.76","1,558,552.00","-","TRETAVH00018","B1RMFT9","2.83","Turkey","Istanbul Stock Exchange","USD","7.38","TRY","-"
"TKFEN","TEKFEN HOLDING A","Industrials","Equity","4,210,071.44","1.43","4,210,071.44","1,745,524.00","-","TRETKHO00012","B29D241","2.41","Turkey","Istanbul Stock Exchange","USD","7.38","TRY","-"
"ULKER","ULKER BISKUVI SANAYI A","Consumer Staples","Equity","4,079,886.13","1.38","4,079,886.13","1,345,378.00","-","TREULKR00015","B03MYX3","3.03","Turkey","Istanbul Stock Exchange","USD","7.38","TRY","-"
"MGROS","MIGROS TICARET A","Consumer Staples","Equity","3,964,159.59","1.34","3,964,159.59","670,690.00","-","TREMGTI00012","B50PPK4","5.91","Turkey","Istanbul Stock Exchange","USD","7.38","TRY","-"
"KOZAA","KOZA ANADOLU METAL MADENCILIK ISLE","Materials","Equity","3,824,652.90","1.30","3,824,652.90","1,848,457.00","-","TREKOZA00014","B03MVQ5","2.07","Turkey","Istanbul Stock Exchange","USD","7.38","TRY","-"
"ENJSA","ENERJISA ENERJI","Utilities","Equity","3,733,249.30","1.26","3,733,249.30","2,330,912.00","-","TREENSA00014","BD0MXB8","1.60","Turkey","Istanbul Stock Exchange","USD","7.38","TRY","-"
"SOKM","SOK MARKETLER TICARET","Consumer Staples","Equity","3,322,460.97","1.13","3,322,460.97","1,791,071.00","-","TRESOKM00022","BFZCT20","1.86","Turkey","Istanbul Stock Exchange","USD","7.38","TRY","-"
"PGSUS","PEGASUS HAVA TASIMACILIGI A","Industrials","Equity","3,322,040.49","1.13","3,322,040.49","356,088.00","-","TREPEGS00016","B9J4ZK0","9.33","Turkey","Istanbul Stock Exchange","USD","7.38","TRY","-"
"AKSA","AKSA AKRILIK KIMYA SANAYI A","Consumer Discretionary","Equity","3,261,039.34","1.10","3,261,039.34","1,703,218.00","-","TRAAKSAW91E1","B03MNB4","1.91","Turkey","Istanbul Stock Exchange","USD","7.38","TRY","-"
"TOASO","TOFAS TURK OTOMOBIL FABRIKASI A","Consumer Discretionary","Equity","3,106,134.43","1.05","3,106,134.43","636,404.00","-","TRATOASO91H3","B03MY33","4.88","Turkey","Istanbul Stock Exchange","USD","7.38","TRY","-"
"VESTL","VESTEL ELEKTRONIK SANAYI VE TICARE","Consumer Discretionary","Equity","2,834,158.46","0.96","2,834,158.46","824,117.00","-","TRAVESTL91H6","B03MZB8","3.44","Turkey","Istanbul Stock Exchange","USD","7.38","TRY","-"
"MAVI","MAVI GIYIM SANAYI VE TICARET","Consumer Discretionary","Equity","2,671,996.31","0.91","2,671,996.31","380,315.00","-","TREMAVI00037","BF5M481","7.03","Turkey","Istanbul Stock Exchange","USD","7.38","TRY","-"
