Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"FAB","FIRST ABU DHABI BANK","Financials","Equity","2,489,199.72","17.02","2,489,199.72","650,299.00","S66244716","AEN000101016","6624471","3.83","United Arab Emirates","Abu Dhabi Securities Exchange","USD","3.67","AED","-"
"ETISALAT","EMIRATES TELECOM","Communication","Equity","1,937,890.70","13.25","1,937,890.70","403,067.00","S63221733","AEE000401019","6322173","4.81","United Arab Emirates","Abu Dhabi Securities Exchange","USD","3.67","AED","-"
"EMIRATESNBD","EMIRATES NBD","Financials","Equity","1,782,800.99","12.19","1,782,800.99","571,921.00","-","AEE000801010","B28PFX8","3.12","United Arab Emirates","Dubai Financial Market","USD","3.67","AED","-"
"EMAAR","EMAAR PROPERTIES","Real Estate","Equity","707,364.02","4.84","707,364.02","636,827.00","-","AEE000301011","B01RM25","1.11","United Arab Emirates","Dubai Financial Market","USD","3.67","AED","-"
"DIB","DB ISLAMIC BANK","Financials","Equity","653,668.47","4.47","653,668.47","482,133.00","S62834528","AED000201015","6283452","1.36","United Arab Emirates","Dubai Financial Market","USD","3.67","AED","-"
"ALDAR","ALDAR PROPERTIES","Real Estate","Equity","651,863.50","4.46","651,863.50","739,010.00","-","AEA002001013","B0LX3Y2","0.88","United Arab Emirates","Abu Dhabi Securities Exchange","USD","3.67","AED","-"
"ADIB","ABU DHABI ISLAMIC BANK","Financials","Equity","631,509.67","4.32","631,509.67","460,244.00","S60017282","AEA000801018","6001728","1.37","United Arab Emirates","Abu Dhabi Securities Exchange","USD","3.67","AED","-"
"ADCB","ABU DHABI COMMERCIAL BANK","Financials","Equity","579,506.55","3.96","579,506.55","344,436.00","S65454647","AEA000201011","6545464","1.68","United Arab Emirates","Abu Dhabi Securities Exchange","USD","3.67","AED","-"
"DIC","DUBAI INVESTMENT","Industrials","Equity","567,392.21","3.88","567,392.21","1,225,951.00","S63883573","AED000601016","6388357","0.46","United Arab Emirates","Dubai Financial Market","USD","3.67","AED","-"
"AIRARABIA","AIR ARABIA","Industrials","Equity","478,626.40","3.27","478,626.40","1,292,696.00","-","AEA003001012","B23DL40","0.37","United Arab Emirates","Dubai Financial Market","USD","3.67","AED","-"
"DAMAC","DAMAC PROPERTIES DUBAI CO PSC","Real Estate","Equity","471,990.02","3.23","471,990.02","1,187,459.00","-","AED001301012","BVC39Y0","0.40","United Arab Emirates","Dubai Financial Market","USD","3.67","AED","-"
"DFM","DUBAI FINANCIAL MARKET","Financials","Equity","468,137.29","3.20","468,137.29","1,457,236.00","-","AED000901010","B1GPBP7","0.32","United Arab Emirates","Dubai Financial Market","USD","3.67","AED","-"
"DANA","DANA GAS","Energy","Equity","409,317.57","2.80","409,317.57","2,120,571.00","-","AED000701014","B0VR4L8","0.19","United Arab Emirates","Abu Dhabi Securities Exchange","USD","3.67","AED","-"
"ARMX","ARAMEX","Industrials","Equity","369,930.60","2.53","369,930.60","313,090.00","-","AEA002301017","B0LWK71","1.18","United Arab Emirates","Dubai Financial Market","USD","3.67","AED","-"
"AGTHIA","AGTHIA GROUP","Consumer Staples","Equity","324,397.97","2.22","324,397.97","243,176.00","-","AEA001901015","B0LWKV5","1.33","United Arab Emirates","Abu Dhabi Securities Exchange","USD","3.67","AED","-"
"WAHA","WAHA CAPITAL","Financials","Equity","302,683.04","2.07","302,683.04","983,894.00","-","AEA000701010","B1X5Y51","0.31","United Arab Emirates","Abu Dhabi Securities Exchange","USD","3.67","AED","-"
"AMANAT","AMANAT HOLDING","Financials","Equity","276,829.25","1.89","276,829.25","1,229,547.00","-","AEA005901011","BSZM277","0.23","United Arab Emirates","Dubai Financial Market","USD","3.67","AED","-"
"SHUAA","SHUAA CAPITAL","Financials","Equity","217,898.29","1.49","217,898.29","1,108,550.00","S63448328","AES000101015","6344832","0.20","United Arab Emirates","Dubai Financial Market","USD","3.67","AED","-"
"LAM","LAMPRELL","Energy","Equity","211,791.00","1.45","211,791.00","261,439.00","-","GB00B1CL5249","B1CL524","0.81","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"UPP","UNION PROPERTIES","Real Estate","Equity","186,371.15","1.27","186,371.15","2,297,212.00","S63883805","AEU000101011","6388380","0.08","United Arab Emirates","Dubai Financial Market","USD","3.67","AED","-"
"RAKPROP","RAS AL KHAIMAH PROPERTIES","Real Estate","Equity","166,209.74","1.14","166,209.74","1,071,076.00","-","AER000601016","B12B5X5","0.16","United Arab Emirates","Abu Dhabi Securities Exchange","USD","3.67","AED","-"
"DSI","DRAKE & SCULL INTERNATIONAL","Industrials","Equity","160,299.00","1.10","160,299.00","2,972,998.00","-","AED001101016","B3BPVY5","0.05","United Arab Emirates","Dubai Financial Market","USD","3.67","AED","-"
"GGICO","GULF GENERAL","Financials","Equity","141,818.42","0.97","141,818.42","7,295,803.00","-","AEG000301016","B125MW5","0.02","United Arab Emirates","Dubai Financial Market","USD","3.67","AED","-"
"TABREED","TABREED","Industrials","Equity","129,441.37","0.89","129,441.37","178,074.00","S63883797","AEN000501017","6388379","0.73","United Arab Emirates","Dubai Financial Market","USD","3.67","AED","-"
"ESHRAQ","ESHRAQ INVESTMENTS","Real Estate","Equity","111,524.56","0.76","111,524.56","1,245,126.00","-","AEE000901018","B5VJ8Z1","0.09","United Arab Emirates","Abu Dhabi Securities Exchange","USD","3.67","AED","-"
"DXBE","DXB ENTERTAINMENTS","Consumer Discretionary","Equity","68,316.05","0.47","68,316.05","3,060,184.00","-","AED001501017","BSZLQ94","0.02","United Arab Emirates","Dubai Financial Market","USD","3.67","AED","-"
"AMLAK","AMLAK FINANCE","Financials","Equity","47,309.98","0.32","47,309.98","655,761.00","-","AEA001201010","B00LTK5","0.07","United Arab Emirates","Dubai Financial Market","USD","3.67","AED","-"
