Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Information Technology","Equity","50,059,356.88","4.40","50,059,356.88","366,038.00","037833100","US0378331005","2046251","136.76","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","37,005,253.60","3.25","37,005,253.60","152,788.00","594918104","US5949181045","2588173","242.20","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","30,551,495.10","2.68","30,551,495.10","9,114.00","023135106","US0231351067","2000019","3,352.15","United States","NASDAQ","USD","1.00","USD","-"
"FB","FACEBOOK CLASS A INC","Communication","Equity","13,749,776.60","1.21","13,749,776.60","51,286.00","30303M102","US30303M1027","B7TL820","268.10","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","13,624,601.01","1.20","13,624,601.01","15,987.00","88160R101","US88160R1014","B616C79","852.23","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","13,569,864.00","1.19","13,569,864.00","6,468.00","02079K107","US02079K1079","BYY88Y7","2,098.00","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","13,312,113.59","1.17","13,312,113.59","6,373.00","02079K305","US02079K3059","BYVY8G0","2,088.83","United States","NASDAQ","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","9,251,792.55","0.81","9,251,792.55","56,259.00","478160104","US4781601046","2475833","164.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","8,769,318.90","0.77","8,769,318.90","63,555.00","46625H100","US46625H1005","2190385","137.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Information Technology","Equity","7,419,894.57","0.65","7,419,894.57","35,541.00","92826C839","US92826C8394","B2PZN04","208.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","7,124,402.20","0.63","7,124,402.20","13,105.00","67066G104","US67066G1040","2379504","543.64","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","7,021,407.28","0.62","7,021,407.28","29,858.00","084670702","US0846707026","2073390","235.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","7,000,747.04","0.61","7,000,747.04","38,644.00","254687106","US2546871060","2270726","181.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","6,858,528.81","0.60","6,858,528.81","52,933.00","742718109","US7427181091","2704407","129.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NESN","NESTLE SA","Consumer Staples","Equity","6,779,808.37","0.60","6,779,808.37","60,906.00","S71238703","CH0038863350","7123870","111.32","Switzerland","SIX Swiss Exchange","USD","0.90","CHF","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","6,564,512.79","0.58","6,564,512.79","20,229.00","91324P102","US91324P1021","2917766","324.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Information Technology","Equity","6,533,471.25","0.57","6,533,471.25","19,287.00","57636Q104","US57636Q1040","B121557","338.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PYPL","PAYPAL HOLDINGS INC","Information Technology","Equity","6,498,892.80","0.57","6,498,892.80","24,120.00","70450Y103","US70450Y1038","BYW36M8","269.44","United States","NASDAQ","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","6,399,837.00","0.56","6,399,837.00","22,950.00","437076102","US4370761029","2434209","278.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","5,294,890.38","0.47","5,294,890.38","163,574.00","060505104","US0605051046","2295677","32.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","5,251,268.62","0.46","5,251,268.62","90,259.00","458140100","US4581401001","2463247","58.18","United States","NASDAQ","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","5,218,735.25","0.46","5,218,735.25","9,475.00","64110L106","US64110L1061","2857817","550.79","United States","NASDAQ","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","5,149,543.68","0.45","5,149,543.68","10,464.00","00724F101","US00724F1012","2008154","492.12","United States","NASDAQ","USD","1.00","USD","-"
"ROG","ROCHE HOLDING PAR AG","Health Care","Equity","5,143,366.91","0.45","5,143,366.91","15,006.00","S71103881","CH0012032048","7110388","342.75","Switzerland","SIX Swiss Exchange","USD","0.90","CHF","-"
"ASML","ASML HOLDING NV","Information Technology","Equity","4,999,577.57","0.44","4,999,577.57","9,038.00","-","NL0010273215","B929F46","553.17","Netherlands","Euronext Amsterdam","USD","0.83","EUR","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","4,889,029.27","0.43","4,889,029.27","95,657.00","20030N101","US20030N1019","2044545","51.11","United States","NASDAQ","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","4,771,571.28","0.42","4,771,571.28","86,254.00","92343V104","US92343V1044","2090571","55.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","4,730,008.08","0.42","4,730,008.08","38,136.00","002824100","US0028241000","2002305","124.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRM","SALESFORCE.COM INC","Information Technology","Equity","4,635,421.56","0.41","4,635,421.56","19,404.00","79466L302","US79466L3024","2310525","238.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","4,387,358.25","0.39","4,387,358.25","87,835.00","30231G102","US30231G1022","2326618","49.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","4,372,086.96","0.38","4,372,086.96","30,286.00","931142103","US9311421039","2936921","144.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NOVN","NOVARTIS AG","Health Care","Equity","4,335,496.06","0.38","4,335,496.06","47,915.00","S71030654","CH0012005267","7103065","90.48","Switzerland","SIX Swiss Exchange","USD","0.90","CHF","-"
"KO","COCA-COLA","Consumer Staples","Equity","4,288,767.00","0.38","4,288,767.00","86,380.00","191216100","US1912161007","2206657","49.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","4,272,100.32","0.38","4,272,100.32","88,854.00","17275R102","US17275R1023","2198163","48.08","United States","NASDAQ","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","4,248,688.73","0.37","4,248,688.73","146,861.00","00206R102","US00206R1023","2831811","28.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","4,183,730.28","0.37","4,183,730.28","119,809.00","717081103","US7170811035","2684703","34.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","4,160,654.32","0.37","4,160,654.32","8,447.00","883556102","US8835561023","2886907","492.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
