Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NEE","NEXTERA ENERGY INC","Utilities","Equity","515,956,515.36","1.59","515,956,515.36","6,304,454.00","65339F101","US65339F1012","2328915","81.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","511,927,536.45","1.58","511,927,536.45","3,242,305.00","478160104","US4781601046","2475833","157.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","501,564,884.40","1.55","501,564,884.40","2,208,564.00","92532F100","US92532F1003","2931034","227.10","United States","NASDAQ","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","490,265,040.36","1.51","490,265,040.36","5,954,154.00","58933Y105","US58933Y1055","2778844","82.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","483,440,070.54","1.49","483,440,070.54","2,234,631.00","594918104","US5949181045","2588173","216.34","United States","NASDAQ","USD","1.00","USD","-"
"NEM","NEWMONT","Materials","Equity","481,778,215.71","1.49","481,778,215.71","7,761,853.00","651639106","US6516391066","2636607","62.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMUS","T MOBILE US INC","Communication","Equity","480,250,374.50","1.48","480,250,374.50","3,737,357.00","872590104","US8725901040","B94Q9V0","128.50","United States","NASDAQ","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","479,319,490.08","1.48","479,319,490.08","1,864,476.00","G1151C101","IE00B4BNMY34","B4BNMY3","257.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Information Technology","Equity","470,764,716.95","1.45","470,764,716.95","2,248,697.00","92826C839","US92826C8394","B2PZN04","209.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","470,219,860.93","1.45","470,219,860.93","2,217,077.00","580135101","US5801351017","2550707","212.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","468,428,310.00","1.44","468,428,310.00","2,525,220.00","532457108","US5324571083","2516152","185.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","460,920,036.15","1.42","460,920,036.15","3,232,485.00","713448108","US7134481081","2681511","142.59","United States","NASDAQ","USD","1.00","USD","-"
"WM","WASTE MANAGEMENT INC","Industrials","Equity","460,687,816.70","1.42","460,687,816.70","3,964,270.00","94106L109","US94106L1098","2937667","116.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
