Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"PLD","PROLOGIS REIT INC","Real Estate","Equity","138,211,887.54","8.20","138,211,887.54","1,283,662.00","74340W103","US74340W1036","B44WZD7","107.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EQIX","EQUINIX REIT INC","Real Estate","Equity","109,938,921.85","6.53","109,938,921.85","154,885.00","29444U700","US29444U7000","BVLZX12","709.81","United States","NASDAQ","USD","1.00","USD","-"
"DLR","DIGITAL REALTY TRUST REIT INC","Real Estate","Equity","68,135,968.62","4.04","68,135,968.62","486,477.00","253868103","US2538681030","B03GQS4","140.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPG","SIMON PROPERTY GROUP REIT INC","Real Estate","Equity","61,548,670.98","3.65","61,548,670.98","563,323.00","828806109","US8288061091","2812452","109.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PSA","PUBLIC STORAGE REIT","Real Estate","Equity","60,901,275.04","3.61","60,901,275.04","262,664.00","74460D109","US74460D1090","2852533","231.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WELL","WELLTOWER INC","Real Estate","Equity","49,167,262.96","2.92","49,167,262.96","728,296.00","95040Q104","US95040Q1040","BYVYHH4","67.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AVB","AVALONBAY COMMUNITIES REIT INC","Real Estate","Equity","43,996,644.43","2.61","43,996,644.43","245,093.00","053484101","US0534841012","2131179","179.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EQR","EQUITY RESIDENTIAL REIT","Real Estate","Equity","43,197,726.88","2.56","43,197,726.88","640,156.00","29476L107","US29476L1070","2319157","67.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ARE","ALEXANDRIA REAL ESTATE EQUITIES RE","Real Estate","Equity","40,355,169.16","2.40","40,355,169.16","233,186.00","015271109","US0152711091","2009210","173.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"O","REALTY INCOME REIT CORP","Real Estate","Equity","38,239,760.88","2.27","38,239,760.88","612,228.00","756109104","US7561091049","2724193","62.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
