Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"TSLA","TESLA INC","Consumer Discretionary","Equity","4,447,241.24","4.71","4,447,241.24","5,036.00","88160R101","US88160R1014","B616C79","883.09","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","3,886,245.48","4.11","3,886,245.48","2,027.00","02079K107","US02079K1079","BYY88Y7","1,917.24","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","3,869,322.60","4.09","3,869,322.60","2,028.00","02079K305","US02079K3059","BYVY8G0","1,907.95","United States","NASDAQ","USD","1.00","USD","-"
"V","VISA INC CLASS A","Information Technology","Equity","2,299,479.83","2.43","2,299,479.83","11,383.00","92826C839","US92826C8394","B2PZN04","202.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","2,238,312.65","2.37","2,238,312.65","4,165.00","67066G104","US67066G1040","2379504","537.41","United States","NASDAQ","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","2,053,936.80","2.17","2,053,936.80","7,268.00","437076102","US4370761029","2434209","282.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Information Technology","Equity","1,976,358.70","2.09","1,976,358.70","6,031.00","57636Q104","US57636Q1040","B121557","327.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PYPL","PAYPAL HOLDINGS INC","Information Technology","Equity","1,814,971.00","1.92","1,814,971.00","7,531.00","70450Y103","US70450Y1038","BYW36M8","241.00","United States","NASDAQ","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","1,580,565.80","1.67","1,580,565.80","27,940.00","92343V104","US92343V1044","2090571","56.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","1,542,194.64","1.63","1,542,194.64","3,238.00","00724F101","US00724F1012","2008154","476.28","United States","NASDAQ","USD","1.00","USD","-"
"CRM","SALESFORCE.COM INC","Information Technology","Equity","1,390,141.44","1.47","1,390,141.44","6,144.00","79466L302","US79466L3024","2310525","226.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","1,358,087.37","1.44","1,358,087.37","27,553.00","191216100","US1912161007","2206657","49.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","1,356,413.93","1.44","1,356,413.93","2,671.00","883556102","US8835561023","2886907","507.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","1,325,688.20","1.40","1,325,688.20","9,349.00","713448108","US7134481081","2681511","141.80","United States","NASDAQ","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","1,290,362.60","1.37","1,290,362.60","28,510.00","17275R102","US17275R1023","2198163","45.26","United States","NASDAQ","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","1,060,370.48","1.12","1,060,370.48","6,184.00","882508104","US8825081040","2885409","171.47","United States","NASDAQ","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","1,022,763.00","1.08","1,022,763.00","3,955.00","031162100","US0311621009","2023607","258.60","United States","NASDAQ","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","916,829.15","0.97","916,829.15","4,583.00","907818108","US9078181081","2914734","200.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","907,499.95","0.96","907,499.95","3,547.00","G5494J103","IE00BZ12WP82","BZ12WP8","255.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","886,217.40","0.94","886,217.40","5,102.00","548661107","US5486611073","2536763","173.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","826,318.17","0.87","826,318.17","7,893.00","855244109","US8552441094","2842255","104.69","United States","NASDAQ","USD","1.00","USD","-"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","770,505.39","0.82","770,505.39","4,773.00","911312106","US9113121068","2517382","161.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","750,766.17","0.79","750,766.17","7,927.00","007903107","US0079031078","2007849","94.71","United States","NASDAQ","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","741,339.95","0.78","741,339.95","1,027.00","09247X101","US09247X1019","2494504","721.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","695,476.26","0.74","695,476.26","2,994.00","03027X100","US03027X1000","B7FBFL2","232.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NOW","SERVICENOW INC","Information Technology","Equity","689,003.24","0.73","689,003.24","1,294.00","81762P102","US81762P1021","B80NXX8","532.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","684,252.55","0.72","684,252.55","3,655.00","149123101","US1491231015","2180201","187.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTU","INTUIT INC","Information Technology","Equity","659,648.00","0.70","659,648.00","1,760.00","461202103","US4612021034","2459020","374.80","United States","NASDAQ","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","650,697.98","0.69","650,697.98","6,166.00","038222105","US0382221051","2046552","105.53","United States","NASDAQ","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","596,484.02","0.63","596,484.02","7,502.00","595112103","US5951121038","2588184","79.51","United States","NASDAQ","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","594,980.10","0.63","594,980.10","2,010.00","244199105","US2441991054","2261203","296.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","580,199.62","0.61","580,199.62","10,322.00","808513105","US8085131055","2779397","56.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","564,615.50","0.60","564,615.50","8,465.00","375558103","US3755581036","2369174","66.70","United States","NASDAQ","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","547,352.16","0.58","547,352.16","276.00","09857L108","US09857L1089","BDRXDB4","1,983.16","United States","NASDAQ","USD","1.00","USD","-"
"MELI","MERCADOLIBRE INC","Consumer Discretionary","Equity","545,937.48","0.58","545,937.48","302.00","58733R102","US58733R1023","B23X1H3","1,807.74","United States","NASDAQ","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","543,264.78","0.57","543,264.78","983.00","512807108","US5128071082","2502247","552.66","United States","NASDAQ","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","536,729.15","0.57","536,729.15","4,621.00","025816109","US0258161092","2026082","116.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FIS","FIDELITY NATIONAL INFORMATION SERV","Information Technology","Equity","536,093.28","0.57","536,093.28","4,183.00","31620M106","US31620M1062","2769796","128.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PLD","PROLOGIS REIT INC","Real Estate","Equity","528,977.40","0.56","528,977.40","4,988.00","74340W103","US74340W1036","B44WZD7","106.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SQ","SQUARE INC CLASS A","Information Technology","Equity","524,389.19","0.55","524,389.19","2,507.00","852234103","US8522341036","BYNZGK1","209.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TJX","TJX INC","Consumer Discretionary","Equity","521,949.12","0.55","521,949.12","8,096.00","872540109","US8725401090","2989301","64.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPGI","S&P GLOBAL INC","Financials","Equity","519,029.27","0.55","519,029.27","1,627.00","78409V104","US78409V1044","BYV2325","319.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ZTS","ZOETIS INC CLASS A","Health Care","Equity","512,349.68","0.54","512,349.68","3,208.00","98978V103","US98978V1035","B95WG16","159.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ATVI","ACTIVISION BLIZZARD INC","Communication","Equity","481,392.18","0.51","481,392.18","5,211.00","00507V109","US00507V1098","2575818","92.38","United States","NASDAQ","USD","1.00","USD","-"
"ADP","AUTOMATIC DATA PROCESSING INC","Information Technology","Equity","477,630.59","0.51","477,630.59","2,903.00","053015103","US0530151036","2065308","164.53","United States","NASDAQ","USD","1.00","USD","-"
"CCI","CROWN CASTLE INTERNATIONAL REIT CO","Real Estate","Equity","475,966.40","0.50","475,966.40","2,912.00","22822V101","US22822V1017","BTGQCX1","163.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CB","CHUBB LTD","Financials","Equity","457,659.40","0.48","457,659.40","3,047.00","-","CH0044328745","B3BQMF6","150.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TFC","TRUIST FINANCIAL CORP","Financials","Equity","457,133.76","0.48","457,133.76","9,099.00","89832Q109","US89832Q1094","BKP7287","50.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSX","CSX CORP","Industrials","Equity","448,476.95","0.47","448,476.95","5,165.00","126408103","US1264081035","2160753","86.83","United States","NASDAQ","USD","1.00","USD","-"
"CME","CME GROUP INC CLASS A","Financials","Equity","444,858.75","0.47","444,858.75","2,421.00","12572Q105","US12572Q1058","2965839","183.75","United States","NASDAQ","USD","1.00","USD","-"
"EQIX","EQUINIX REIT INC","Real Estate","Equity","439,673.52","0.47","439,673.52","598.00","29444U700","US29444U7000","BVLZX12","735.24","United States","NASDAQ","USD","1.00","USD","-"
"CL","COLGATE-PALMOLIVE","Consumer Staples","Equity","433,125.00","0.46","433,125.00","5,500.00","194162103","US1941621039","2209106","78.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADSK","AUTODESK INC","Information Technology","Equity","431,790.00","0.46","431,790.00","1,480.00","052769106","US0527691069","2065159","291.75","United States","NASDAQ","USD","1.00","USD","-"
"ITW","ILLINOIS TOOL INC","Industrials","Equity","426,380.85","0.45","426,380.85","2,135.00","452308109","US4523081093","2457552","199.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
