Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","865,022,670.18","8.02","865,022,670.18","15,022,971.00","458140100","US4581401001","2463247","57.58","United States","NASDAQ","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","767,163,415.80","7.11","767,163,415.80","26,299,740.00","00206R102","US00206R1023","2831811","29.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","447,347,576.24","4.15","447,347,576.24","5,541,967.00","595112103","US5951121038","2588184","80.72","United States","NASDAQ","USD","1.00","USD","-"
"GM","GENERAL MOTORS","Consumer Discretionary","Equity","379,860,996.57","3.52","379,860,996.57","7,601,781.00","37045V100","US37045V1008","B665KZ5","49.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","335,340,685.49","3.11","335,340,685.49","2,611,891.00","459200101","US4592001014","2005973","128.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","243,689,776.14","2.26","243,689,776.14","3,794,018.00","172967424","US1729674242","2297907","64.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TGT","TARGET CORP","Consumer Discretionary","Equity","240,058,468.40","2.23","240,058,468.40","1,232,333.00","87612E106","US87612E1064","2259101","194.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","224,659,799.98","2.08","224,659,799.98","4,945,186.00","17275R102","US17275R1023","2198163","45.43","United States","NASDAQ","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","202,393,839.24","1.88","202,393,839.24","1,831,287.00","00287Y109","US00287Y1091","B92SR70","110.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","196,523,949.20","1.82","196,523,949.20","5,354,876.00","717081103","US7170811035","2684703","36.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
