Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"WFG","WEST FRASER TIMBER LTD","Materials","Equity","28,746,186.26","8.66","28,746,186.26","399,620.00","952845105","CA9528451052","2951098","71.93","Canada","Toronto Stock Exchange","USD","1.26","CAD","-"
"WY","WEYERHAEUSER REIT","Real Estate","Equity","27,452,655.20","8.27","27,452,655.20","771,142.00","962166104","US9621661043","2958936","35.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RYN","RAYONIER REIT INC","Real Estate","Equity","27,132,312.00","8.17","27,132,312.00","841,312.00","754907103","US7549071030","2473138","32.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SCA B","SVENSKA CELLULOSA B","Materials","Equity","25,377,350.08","7.64","25,377,350.08","1,431,230.00","-","SE0000112724","B1VVGZ5","17.73","Sweden","Nasdaq Omx Nordic","USD","8.72","SEK","-"
"PCH","POTLATCHDELTIC CORP","Real Estate","Equity","22,323,402.36","6.72","22,323,402.36","421,833.00","737630103","US7376301039","B0XXJN1","52.92","United States","NASDAQ","USD","1.00","USD","-"
"WRK","WESTROCK","Materials","Equity","13,692,064.80","4.12","13,692,064.80","263,056.00","96145D105","US96145D1054","BYR0914","52.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IP","INTERNATIONAL PAPER","Materials","Equity","13,583,032.84","4.09","13,583,032.84","251,212.00","460146103","US4601461035","2465254","54.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MNDI","MONDI PLC","Materials","Equity","13,152,621.46","3.96","13,152,621.46","515,295.00","-","GB00B1CRLC47","B1CRLC4","25.52","United Kingdom","London Stock Exchange","USD","0.72","GBP","-"
"SK3","SMURFIT KAPPA GROUP PLC","Materials","Equity","13,042,364.46","3.93","13,042,364.46","276,321.00","-","IE00B1RR8406","B1RR828","47.20","Ireland","Irish Stock Exchange - All Market","USD","0.85","EUR","-"
"HOLM B","HOLMEN CLASS B","Materials","Equity","12,843,369.96","3.87","12,843,369.96","291,984.00","-","SE0011090018","BDQQ1Q5","43.99","Sweden","Nasdaq Omx Nordic","USD","8.72","SEK","-"
