Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"VNA","VONOVIA SE","Real Estate","Equity","3,503,344.04","4.31","3,503,344.04","52,264.00","-","DE000A1ML7J1","BBJPFY1","67.03","Germany","Xetra","USD","0.83","EUR","-"
"GMG","GOODMAN GROUP UNITS","Real Estate","Equity","2,135,689.12","2.63","2,135,689.12","155,200.00","-","AU000000GMG2","B03FYZ4","13.76","Australia","Asx - All Markets","USD","1.32","AUD","-"
"8802","MITSUBISHI ESTATE CO LTD","Real Estate","Equity","2,104,256.31","2.59","2,104,256.31","128,300.00","S65967291","JP3899600005","6596729","16.40","Japan","Tokyo Stock Exchange","USD","105.42","JPY","-"
"16","SUN HUNG KAI PROPERTIES LTD","Real Estate","Equity","1,932,408.90","2.38","1,932,408.90","142,000.00","S68599273","HK0016000132","6859927","13.61","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"8801","MITSUI FUDOSAN LTD","Real Estate","Equity","1,910,032.40","2.35","1,910,032.40","89,056.00","S65976037","JP3893200000","6597603","21.45","Japan","Tokyo Stock Exchange","USD","105.42","JPY","-"
"1925","DAIWA HOUSE INDUSTRY LTD","Real Estate","Equity","1,804,396.70","2.22","1,804,396.70","61,500.00","S62513635","JP3505000004","6251363","29.34","Japan","Tokyo Stock Exchange","USD","105.42","JPY","-"
"DWNI","DEUTSCHE WOHNEN","Real Estate","Equity","1,669,198.11","2.05","1,669,198.11","33,218.00","-","DE000A0HN5C6","B0YZ0Z5","50.25","Germany","Xetra","USD","0.83","EUR","-"
"823","LINK REAL ESTATE INVESTMENT TRUST","Real Estate","Equity","1,664,281.20","2.05","1,664,281.20","190,300.00","-","HK0823032773","B0PB4M7","8.75","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"SGRO","SEGRO REIT PLC","Real Estate","Equity","1,444,976.29","1.78","1,444,976.29","109,870.00","-","GB00B5ZN1N88","B5ZN1N8","13.15","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"8830","SUMITOMO REALTY & DEVELOPMENT LTD","Real Estate","Equity","1,408,651.11","1.73","1,408,651.11","44,000.00","S68589027","JP3409000001","6858902","32.01","Japan","Tokyo Stock Exchange","USD","105.42","JPY","-"
