Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"GNRC","GENERAC HOLDINGS INC","Industrials","Equity","143,488.18","0.83","143,488.18","517.00","368736104","US3687361044","B6197Q2","277.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PENN","PENN NATIONAL GAMING INC","Consumer Discretionary","Equity","137,999.70","0.80","137,999.70","1,215.00","707569109","US7075691094","2682105","113.58","United States","NASDAQ","USD","1.00","USD","-"
"CZR","CAESARS ENTERTAINMENT INC","Consumer Discretionary","Equity","136,531.15","0.79","136,531.15","1,715.00","12769G100","US12769G1004","BMWWGB0","79.61","United States","NASDAQ","USD","1.00","USD","-"
"SEDG","SOLAREDGE TECHNOLOGIES INC","Information Technology","Equity","135,208.80","0.78","135,208.80","422.00","83417M104","US83417M1045","BWC52Q6","320.40","United States","NASDAQ","USD","1.00","USD","-"
"MPWR","MONOLITHIC POWER SYSTEMS INC","Information Technology","Equity","130,809.00","0.75","130,809.00","350.00","609839105","US6098391054","B01Z7J1","373.74","United States","NASDAQ","USD","1.00","USD","-"
"CGNX","COGNEX CORP","Information Technology","Equity","126,987.69","0.73","126,987.69","1,437.00","192422103","US1924221039","2208288","88.37","United States","NASDAQ","USD","1.00","USD","-"
"PTC","PTC INC","Information Technology","Equity","125,046.72","0.72","125,046.72","864.00","69370C100","US69370C1009","B95N910","144.73","United States","NASDAQ","USD","1.00","USD","-"
"TECH","BIO TECHNE CORP","Health Care","Equity","124,115.40","0.72","124,115.40","318.00","09073M104","US09073M1045","BSHZ3Q0","390.30","United States","NASDAQ","USD","1.00","USD","-"
"CRL","CHARLES RIVER LABORATORIES INTERNA","Health Care","Equity","115,025.50","0.66","115,025.50","410.00","159864107","US1598641074","2604336","280.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FICO","FAIR ISAAC CORP","Information Technology","Equity","113,296.80","0.65","113,296.80","240.00","303250104","US3032501047","2330299","472.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CREE","CREE INC","Information Technology","Equity","112,110.76","0.65","112,110.76","908.00","225447101","US2254471012","2232351","123.47","United States","NASDAQ","USD","1.00","USD","-"
"MASI","MASIMO CORP","Health Care","Equity","111,284.79","0.64","111,284.79","417.00","574795100","US5747951003","B1YWR63","266.87","United States","NASDAQ","USD","1.00","USD","-"
"MPW","MEDICAL PROPERTIES TRUST REIT INC","Real Estate","Equity","104,948.02","0.60","104,948.02","4,681.00","58463J304","US58463J3041","B0JL5L9","22.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RUN","SUNRUN INC","Industrials","Equity","100,332.80","0.58","100,332.80","1,285.00","86771W105","US86771W1053","BYXB1Y8","78.08","United States","NASDAQ","USD","1.00","USD","-"
"MOH","MOLINA HEALTHCARE INC","Health Care","Equity","99,800.80","0.58","99,800.80","484.00","60855R100","US60855R1005","2212706","206.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SBNY","SIGNATURE BANK","Financials","Equity","99,593.00","0.57","99,593.00","470.00","82669G104","US82669G1040","B00JQL9","211.90","United States","NASDAQ","USD","1.00","USD","-"
"GGG","GRACO INC","Industrials","Equity","99,307.71","0.57","99,307.71","1,381.00","384109104","US3841091040","2380443","71.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AXON","AXON ENTERPRISE INC","Industrials","Equity","98,313.54","0.57","98,313.54","523.00","05464C101","US05464C1018","BDT5S35","187.98","United States","NASDAQ","USD","1.00","USD","-"
"CDAY","CERIDIAN HCM HOLDING INC","Information Technology","Equity","97,471.71","0.56","97,471.71","1,071.00","15677J108","US15677J1088","BFX1V56","91.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TREX","TREX INC","Industrials","Equity","96,977.28","0.56","96,977.28","953.00","89531P105","US89531P1057","2483074","101.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FDS","FACTSET RESEARCH SYSTEMS INC","Financials","Equity","96,845.33","0.56","96,845.33","313.00","303075105","US3030751057","2329770","309.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RPM","RPM INTERNATIONAL INC","Materials","Equity","92,384.46","0.53","92,384.46","1,071.00","749685103","US7496851038","2756174","86.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XPO","XPO LOGISTICS INC","Industrials","Equity","92,257.56","0.53","92,257.56","753.00","983793100","US9837931008","B6Z1355","122.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DAR","DARLING INGREDIENTS INC","Consumer Staples","Equity","91,912.60","0.53","91,912.60","1,334.00","237266101","US2372661015","2250289","68.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CABO","CABLE ONE INC","Communication","Equity","91,787.52","0.53","91,787.52","44.00","12685J105","US12685J1051","BZ07DS4","2,086.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RGEN","REPLIGEN CORP","Health Care","Equity","90,715.68","0.52","90,715.68","414.00","759916109","US7599161095","2731654","219.12","United States","NASDAQ","USD","1.00","USD","-"
"WTRG","ESSENTIAL UTILITIES INC","Utilities","Equity","88,892.43","0.51","88,892.43","1,837.00","29670G102","US29670G1022","BLCF3J9","48.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TTC","TORO","Industrials","Equity","88,352.98","0.51","88,352.98","883.00","891092108","US8910921084","2897040","100.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BRO","BROWN & BROWN INC","Financials","Equity","87,545.36","0.50","87,545.36","1,942.00","115236101","US1152361010","2692687","45.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FIVE","FIVE BELOW INC","Consumer Discretionary","Equity","87,377.94","0.50","87,377.94","461.00","33829M101","US33829M1018","B85KFY9","189.54","United States","NASDAQ","USD","1.00","USD","-"
"SAM","BOSTON BEER INC CLASS A","Consumer Staples","Equity","84,624.00","0.49","84,624.00","75.00","100557107","US1005571070","2113393","1,128.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NDSN","NORDSON CORP","Industrials","Equity","84,328.92","0.49","84,328.92","444.00","655663102","US6556631025","2641838","189.93","United States","NASDAQ","USD","1.00","USD","-"
"OLED","UNIVERSAL DISPLAY CORP","Information Technology","Equity","83,015.01","0.48","83,015.01","353.00","91347P105","US91347P1057","2277880","235.17","United States","NASDAQ","USD","1.00","USD","-"
"CPT","CAMDEN PROPERTY TRUST REIT","Real Estate","Equity","82,942.84","0.48","82,942.84","802.00","133131102","US1331311027","2166320","103.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMED","AMEDISYS INC","Health Care","Equity","82,283.73","0.47","82,283.73","271.00","023436108","US0234361089","2024332","303.63","United States","NASDAQ","USD","1.00","USD","-"
"LII","LENNOX INTERNATIONAL INC","Industrials","Equity","82,280.03","0.47","82,280.03","287.00","526107107","US5261071071","2442053","286.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IIVI","II VI INC","Information Technology","Equity","80,617.60","0.46","80,617.60","854.00","902104108","US9021041085","2452698","94.40","United States","NASDAQ","USD","1.00","USD","-"
"SMG","SCOTTS MIRACLE GRO","Materials","Equity","80,235.85","0.46","80,235.85","335.00","810186106","US8101861065","2781518","239.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WSM","WILLIAMS SONOMA INC","Consumer Discretionary","Equity","80,225.34","0.46","80,225.34","631.00","969904101","US9699041011","2967589","127.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LAD","LITHIA MOTORS INC CLASS A","Consumer Discretionary","Equity","79,337.15","0.46","79,337.15","215.00","536797103","US5367971034","2515030","369.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EWBC","EAST WEST BANCORP INC","Financials","Equity","78,008.40","0.45","78,008.40","1,165.00","27579R104","US27579R1041","2487407","66.96","United States","NASDAQ","USD","1.00","USD","-"
"WEX","WEX INC","Information Technology","Equity","77,863.50","0.45","77,863.50","363.00","96208T104","US96208T1043","B8383P2","214.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PEN","PENUMBRA INC","Health Care","Equity","76,889.24","0.44","76,889.24","278.00","70975L107","US70975L1070","BZ0V201","276.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ATR","APTARGROUP INC","Materials","Equity","76,352.25","0.44","76,352.25","533.00","038336103","US0383361039","2045247","143.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SCI","SERVICE","Consumer Discretionary","Equity","76,045.12","0.44","76,045.12","1,423.00","817565104","US8175651046","2797560","53.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OC","OWENS CORNING","Industrials","Equity","75,766.48","0.44","75,766.48","892.00","690742101","US6907421019","B1FW7Q2","84.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JAZZ","JAZZ PHARMACEUTICALS PLC","Health Care","Equity","75,565.42","0.44","75,565.42","458.00","-","IE00B4Q5ZN47","B4Q5ZN4","164.99","United States","NASDAQ","USD","1.00","USD","-"
"QDEL","QUIDEL CORP","Health Care","Equity","74,733.75","0.43","74,733.75","315.00","74838J101","US74838J1016","2717591","237.25","United States","NASDAQ","USD","1.00","USD","-"
"MANH","MANHATTAN ASSOCIATES INC","Information Technology","Equity","74,401.98","0.43","74,401.98","523.00","562750109","US5627501092","2239471","142.26","United States","NASDAQ","USD","1.00","USD","-"
"DECK","DECKERS OUTDOOR CORP","Consumer Discretionary","Equity","74,107.11","0.43","74,107.11","231.00","243537107","US2435371073","2267278","320.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ARWR","ARROWHEAD PHARMACEUTICALS INC","Health Care","Equity","74,008.08","0.43","74,008.08","846.00","04280A100","US04280A1007","BYQBFJ8","87.48","United States","NASDAQ","USD","1.00","USD","-"
"CONE","CYRUSONE REIT INC","Real Estate","Equity","73,884.16","0.43","73,884.16","992.00","23283R100","US23283R1005","B7YRLH9","74.48","United States","NASDAQ","USD","1.00","USD","-"
"GNTX","GENTEX CORP","Consumer Discretionary","Equity","72,639.20","0.42","72,639.20","2,020.00","371901109","US3719011096","2366799","35.96","United States","NASDAQ","USD","1.00","USD","-"
"LEA","LEAR CORP","Consumer Discretionary","Equity","72,522.48","0.42","72,522.48","449.00","521865204","US5218652049","B570P91","161.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HUBB","HUBBELL INC","Industrials","Equity","72,234.16","0.42","72,234.16","446.00","443510607","US4435106079","BDFG6S3","161.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BLDR","BUILDERS FIRSTSOURCE INC","Industrials","Equity","72,146.10","0.42","72,146.10","1,690.00","12008R107","US12008R1077","B0BV2M7","42.69","United States","NASDAQ","USD","1.00","USD","-"
"FHN","FIRST HORIZON CORP","Financials","Equity","71,444.73","0.41","71,444.73","4,571.00","320517105","US3205171057","2341484","15.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CIEN","CIENA CORP","Information Technology","Equity","70,527.79","0.41","70,527.79","1,271.00","171779309","US1717793095","B1FLZ21","55.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IAA","IAA INC","Industrials","Equity","70,463.26","0.41","70,463.26","1,106.00","449253103","US4492531037","BJF8Q81","63.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"Y","ALLEGHANY CORP","Financials","Equity","70,431.66","0.41","70,431.66","117.00","017175100","US0171751003","2016801","601.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FSLR","FIRST SOLAR INC","Information Technology","Equity","69,616.36","0.40","69,616.36","697.00","336433107","US3364331070","B1HMF22","99.88","United States","NASDAQ","USD","1.00","USD","-"
"OHI","OMEGA HEALTHCARE INVESTORS REIT IN","Real Estate","Equity","69,470.23","0.40","69,470.23","1,871.00","681936100","US6819361006","2043274","37.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MKSI","MKS INSTRUMENTS INC","Information Technology","Equity","68,926.28","0.40","68,926.28","454.00","55306N104","US55306N1046","2404871","151.82","United States","NASDAQ","USD","1.00","USD","-"
"WSO","WATSCO INC","Industrials","Equity","68,207.99","0.39","68,207.99","271.00","942622200","US9426222009","2943039","251.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CHE","CHEMED CORP","Health Care","Equity","67,323.96","0.39","67,323.96","132.00","16359R103","US16359R1032","2190084","510.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EHC","ENCOMPASS HEALTH CORP","Health Care","Equity","67,149.62","0.39","67,149.62","818.00","29261A100","US29261A1007","BYX2YJ7","82.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EV","EATON VANCE COM NON VOTING CORP","Financials","Equity","67,121.53","0.39","67,121.53","941.00","278265103","US2782651036","2301057","71.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RNR","RENAISSANCERE HOLDING LTD","Financials","Equity","66,386.76","0.38","66,386.76","418.00","G7496G103","BMG7496G1033","2728429","158.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UGI","UGI CORP","Utilities","Equity","65,774.28","0.38","65,774.28","1,716.00","902681105","US9026811052","2910118","38.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACM","AECOM","Industrials","Equity","65,751.48","0.38","65,751.48","1,242.00","00766T100","US00766T1007","B1VZ431","52.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSL","CARLISLE COMPANIES INC","Industrials","Equity","65,128.80","0.38","65,128.80","440.00","142339100","US1423391002","2176318","148.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JLL","JONES LANG LASALLE INC","Real Estate","Equity","65,123.04","0.38","65,123.04","422.00","48020Q107","US48020Q1076","2040640","154.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PRAH","PRA HEALTH SCIENCES INC","Health Care","Equity","65,097.12","0.38","65,097.12","528.00","69354M108","US69354M1080","BSHZ3V5","123.29","United States","NASDAQ","USD","1.00","USD","-"
"RS","RELIANCE STEEL & ALUMINUM","Materials","Equity","65,021.25","0.37","65,021.25","525.00","759509102","US7595091023","2729068","123.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KSS","KOHLS CORP","Consumer Discretionary","Equity","64,874.04","0.37","64,874.04","1,298.00","500255104","US5002551043","2496113","49.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"STOR","STORE CAPITAL CORP","Real Estate","Equity","64,334.76","0.37","64,334.76","1,946.00","862121100","US8621211007","BSKRKJ5","33.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ARW","ARROW ELECTRONICS INC","Information Technology","Equity","64,010.02","0.37","64,010.02","622.00","042735100","US0427351004","2051404","102.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DCI","DONALDSON INC","Industrials","Equity","63,783.20","0.37","63,783.20","1,040.00","257651109","US2576511099","2276467","61.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RH","RH","Consumer Discretionary","Equity","63,746.56","0.37","63,746.56","128.00","74967X103","US74967X1037","BYXR425","498.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PCTY","PAYLOCITY HOLDING CORP","Information Technology","Equity","63,324.80","0.36","63,324.80","308.00","70438V106","US70438V1061","BKM4N88","205.60","United States","NASDAQ","USD","1.00","USD","-"
"STLD","STEEL DYNAMICS INC","Materials","Equity","63,129.60","0.36","63,129.60","1,644.00","858119100","US8581191009","2849472","38.40","United States","NASDAQ","USD","1.00","USD","-"
