Ticker,Name,Type,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Money Market","Cash and/or Derivatives","Money Market","440,000.00","4.62","440,000.00","440,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","USD","-"
"CLF","CLEVELAND CLIFFS INC","Equity","Materials","Equity","76,983.84","0.81","76,983.84","4,632.00","185899101","US1858991011","BYVZ186","16.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MSTR","MICROSTRATEGY INC CLASS A","Equity","Information Technology","Equity","71,137.04","0.75","71,137.04","73.00","594972408","US5949724083","2974329","974.48","United States","NASDAQ","USD","1.00","USD","-"
"NEO","NEOGENOMICS INC","Equity","Health Care","Equity","65,094.40","0.68","65,094.40","1,120.00","64049M209","US64049M2098","2598246","58.12","United States","NASDAQ","USD","1.00","USD","-"
"DDD","3D SYSTEMS CORP","Equity","Information Technology","Equity","64,504.44","0.68","64,504.44","1,253.00","88554D205","US88554D2053","2889768","51.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OMCL","OMNICELL INC","Equity","Health Care","Equity","56,534.52","0.59","56,534.52","428.00","68213N109","US68213N1090","2789523","132.09","United States","NASDAQ","USD","1.00","USD","-"
"PRLB","PROTO LABS INC","Equity","Industrials","Equity","56,403.00","0.59","56,403.00","270.00","743713109","US7437131094","B6T6J81","208.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IRDM","IRIDIUM COMMUNICATIONS INC","Equity","Communication","Equity","56,240.00","0.59","56,240.00","1,184.00","46269C102","US46269C1027","B2QH310","47.50","United States","NASDAQ","USD","1.00","USD","-"
"CROX","CROCS INC","Equity","Consumer Discretionary","Equity","53,615.13","0.56","53,615.13","681.00","227046109","US2270461096","B0T7Z62","78.73","United States","NASDAQ","USD","1.00","USD","-"
"POWI","POWER INTEGRATIONS INC","Equity","Information Technology","Equity","53,562.72","0.56","53,562.72","604.00","739276103","US7392761034","2133045","88.68","United States","NASDAQ","USD","1.00","USD","-"
"SAIA","SAIA INC","Equity","Industrials","Equity","53,367.60","0.56","53,367.60","264.00","78709Y105","US78709Y1055","2982399","202.15","United States","NASDAQ","USD","1.00","USD","-"
"GTLS","CHART INDUSTRIES INC","Equity","Industrials","Equity","52,773.44","0.55","52,773.44","356.00","16115Q308","US16115Q3083","B19HNF4","148.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
