Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Information Technology","Equity","518,628.58","7.17","518,628.58","4,021.00","037833100","US0378331005","2046251","128.98","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","413,665.98","5.72","413,665.98","1,902.00","594918104","US5949181045","2588173","217.49","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","333,220.47","4.61","333,220.47","107.00","023135106","US0231351067","2000019","3,114.21","United States","NASDAQ","USD","1.00","USD","-"
"FB","FACEBOOK CLASS A INC","Communication","Equity","155,388.20","2.15","155,388.20","605.00","30303M102","US30303M1027","B7TL820","256.84","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","131,721.75","1.82","131,721.75","75.00","02079K305","US02079K3059","BYVY8G0","1,756.29","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","128,970.56","1.78","128,970.56","73.00","02079K107","US02079K1079","BYY88Y7","1,766.72","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","114,380.70","1.58","114,380.70","490.00","084670702","US0846707026","2073390","233.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","105,884.35","1.46","105,884.35","767.00","46625H100","US46625H1005","2190385","138.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Information Technology","Equity","90,904.03","1.26","90,904.03","427.00","92826C839","US92826C8394","B2PZN04","212.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","86,219.25","1.19","86,219.25","239.00","91324P102","US91324P1021","2917766","360.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","86,018.40","1.19","86,018.40","624.00","742718109","US7427181091","2704407","137.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","84,453.30","1.17","84,453.30","155.00","67066G104","US67066G1040","2379504","544.86","United States","NASDAQ","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","81,485.95","1.13","81,485.95","455.00","254687106","US2546871060","2270726","179.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Information Technology","Equity","76,952.20","1.06","76,952.20","221.00","57636Q104","US57636Q1040","B121557","348.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","73,503.33","1.02","73,503.33","271.00","437076102","US4370761029","2434209","271.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PYPL","PAYPAL HOLDINGS INC","Information Technology","Equity","70,062.50","0.97","70,062.50","295.00","70450Y103","US70450Y1038","BYW36M8","237.50","United States","NASDAQ","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","63,329.05","0.88","63,329.05","1,915.00","060505104","US0605051046","2295677","33.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","59,815.86","0.83","59,815.86","1,041.00","92343V104","US92343V1044","2090571","57.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","59,196.48","0.82","59,196.48","1,149.00","20030N101","US20030N1019","2044545","51.52","United States","NASDAQ","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","56,908.80","0.79","56,908.80","120.00","00724F101","US00724F1012","2008154","474.24","United States","NASDAQ","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","55,899.20","0.77","55,899.20","112.00","64110L106","US64110L1061","2857817","499.10","United States","NASDAQ","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","54,145.00","0.75","54,145.00","637.00","58933Y105","US58933Y1055","2778844","85.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","53,137.74","0.74","53,137.74","1,031.00","458140100","US4581401001","2463247","51.54","United States","NASDAQ","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","52,802.46","0.73","52,802.46","1,398.00","717081103","US7170811035","2684703","37.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","51,763.91","0.72","51,763.91","1,793.00","00206R102","US00206R1023","2831811","28.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","50,821.65","0.70","50,821.65","99.00","883556102","US8835561023","2886907","513.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRM","SALESFORCE.COM INC","Information Technology","Equity","50,197.50","0.69","50,197.50","230.00","79466L302","US79466L3024","2310525","218.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","49,447.32","0.68","49,447.32","348.00","713448108","US7134481081","2681511","142.09","United States","NASDAQ","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","49,434.64","0.68","49,434.64","446.00","002824100","US0028241000","2002305","110.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","48,844.60","0.68","48,844.60","973.00","191216100","US1912161007","2206657","50.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
